Driver,WinDK,Top3DK
Josef Newgarden,500,115
Alexander Rossi,550,125
Scott Dixon,600,150
Will Power,650,175
Simon Pagenaud,750,200
Colton Herta,1200,275
James Hinchcliffe,1600,400
Ryan Hunter-Reay,1500,400
Graham Rahal,1600,400
Santino Ferrucci,2000,500
Takuma Sato,2800,550
Ed Carpenter,2500,600
Marco Andretti,3300,800
Marcus Ericsson,3300,800
Tony Kanaan,5000,1200
Patricio O'Ward,5000,1200
Felix Rosenqvist,5000,1200
Zach Veach,5000,1200
Oliver Askew,10000,2500
Conor Daly,10000,2500
Jack Harvey,10000,2500
Charlie Kimball,10000,2500
Alex Palou,10000,2500
Rinus VeeKay,10000,2500
