,driver,totalPoints,chamPos,season,current_date
0,Alex Palou,401.0,7.0,1,"February 07, 2022"
1,Alexander Rossi,457.0,6.0,1,"February 07, 2022"
2,Callum Ilott,317.0,15.0,1,"February 07, 2022"
3,Christian Lundgaard,256.0,21.0,1,"February 07, 2022"
4,Colton Herta,461.0,5.0,1,"February 07, 2022"
5,Conor Daly,296.0,16.0,1,"February 07, 2022"
6,Dalton Kellett,181.0,27.0,1,"February 07, 2022"
7,David Malukas,182.0,26.0,1,"February 07, 2022"
8,Delvin DeFrancesco,321.0,14.0,1,"February 07, 2022"
9,Ed Carpenter,40.0,30.0,1,"February 07, 2022"
10,Felix Rosenqvist,265.0,18.0,1,"February 07, 2022"
11,Graham Rahal,374.0,10.0,1,"February 07, 2022"
12,Helio Castroneves,395.0,8.0,1,"February 07, 2022"
13,Jack Harvey,357.0,11.0,1,"February 07, 2022"
14,Jimmie Johnson,203.0,24.0,1,"February 07, 2022"
15,Josef Newgarden,566.0,3.0,1,"February 07, 2022"
16,Juan Pablo Montoya,32.0,32.0,1,"February 07, 2022"
17,Kyle Kirkwood,262.0,20.0,1,"February 07, 2022"
18,Marcus Ericsson,280.0,17.0,1,"February 07, 2022"
19,Patricio O'Ward,346.0,12.0,1,"February 07, 2022"
20,Rinus VeeKay,231.0,22.0,1,"February 07, 2022"
21,Romain Grosjean,228.0,23.0,1,"February 07, 2022"
22,Sage Karam,12.0,33.0,1,"February 07, 2022"
23,Santino Ferrucci,56.0,29.0,1,"February 07, 2022"
24,Scott Dixon,535.0,4.0,1,"February 07, 2022"
25,Scott McLaughlin,265.0,19.0,1,"February 07, 2022"
26,Simon Pagenaud,619.0,1.0,1,"February 07, 2022"
27,Simon Pagenaud,619.0,2.0,1,"February 07, 2022"
28,TBA,133.0,28.0,1,"February 07, 2022"
29,Takuma Sato,377.0,9.0,1,"February 07, 2022"
30,Tatiana Calderon,190.0,25.0,1,"February 07, 2022"
31,Tony Kanaan,36.0,31.0,1,"February 07, 2022"
32,Will Power,327.0,13.0,1,"February 07, 2022"
0,Alex Palou,385.0,11.0,2,"February 07, 2022"
1,Alexander Rossi,327.0,14.0,2,"February 07, 2022"
2,Callum Ilott,185.0,27.0,2,"February 07, 2022"
3,Christian Lundgaard,250.0,22.0,2,"February 07, 2022"
4,Colton Herta,281.0,17.0,2,"February 07, 2022"
5,Conor Daly,191.0,25.0,2,"February 07, 2022"
6,Dalton Kellett,272.0,20.0,2,"February 07, 2022"
7,David Malukas,326.0,15.0,2,"February 07, 2022"
8,Delvin DeFrancesco,388.0,9.0,2,"February 07, 2022"
9,Ed Carpenter,22.0,31.0,2,"February 07, 2022"
10,Felix Rosenqvist,289.0,16.0,2,"February 07, 2022"
11,Graham Rahal,348.0,13.0,2,"February 07, 2022"
12,Helio Castroneves,402.0,7.0,2,"February 07, 2022"
13,Jack Harvey,449.0,6.0,2,"February 07, 2022"
14,Jimmie Johnson,276.0,19.0,2,"February 07, 2022"
15,Josef Newgarden,594.0,1.0,2,"February 07, 2022"
16,Juan Pablo Montoya,78.0,29.0,2,"February 07, 2022"
17,Kyle Kirkwood,260.0,21.0,2,"February 07, 2022"
18,Marcus Ericsson,472.0,5.0,2,"February 07, 2022"
19,Patricio O'Ward,387.0,10.0,2,"February 07, 2022"
20,Rinus VeeKay,352.0,12.0,2,"February 07, 2022"
21,Romain Grosjean,211.0,23.0,2,"February 07, 2022"
22,Sage Karam,10.0,33.0,2,"February 07, 2022"
23,Santino Ferrucci,28.0,30.0,2,"February 07, 2022"
24,Scott Dixon,481.0,4.0,2,"February 07, 2022"
