,driver,totalPoints,chamPos,season
0,test,0.0,0.0,0
0,Alex Palou,248.0,16.0,1
1,Alexander Rossi,318.0,10.0,1
2,Charlie Kimball,229.0,18.0,1
3,Colton Herta,424.0,3.0,1
4,Conor Daly,234.0,17.0,1
5,Felix Rosenqvist,306.0,11.0,1
6,Graham Rahal,374.0,6.0,1
7,Jack Harvey,327.0,9.0,1
8,Josef Newgarden,502.0,2.0,1
9,Marco Andretti,182.0,20.0,1
10,Marcus Ericsson,279.0,15.0,1
11,Max Chilton,136.0,22.0,1
12,Oliver Askew,200.0,19.0,1
13,Patricio O'Ward,393.0,5.0,1
14,Rinus VeeKay,281.0,14.0,1
15,Ryan Hunter-Reay,303.0,12.0,1
16,Santino Ferrucci,298.0,13.0,1
17,Scott Dixon,542.0,1.0,1
18,Sebastian Bourdais,11.0,23.0,1
19,Simon Pagenaud,335.0,8.0,1
20,Takuma Sato,351.0,7.0,1
21,Will Power,418.0,4.0,1
22,Zach Veach,175.0,21.0,1
0,Alex Palou,236.0,16.0,2
1,Alexander Rossi,329.0,9.0,2
2,Charlie Kimball,211.0,18.0,2
3,Colton Herta,434.0,3.0,2
4,Conor Daly,231.0,17.0,2
5,Felix Rosenqvist,307.0,11.0,2
6,Graham Rahal,374.0,6.0,2
7,Jack Harvey,299.0,13.0,2
8,Josef Newgarden,510.0,2.0,2
9,Marco Andretti,174.0,21.0,2
10,Marcus Ericsson,275.0,15.0,2
11,Max Chilton,144.0,22.0,2
12,Oliver Askew,193.0,19.0,2
13,Patricio O'Ward,406.0,5.0,2
14,Rinus VeeKay,287.0,14.0,2
15,Ryan Hunter-Reay,320.0,10.0,2
16,Santino Ferrucci,301.0,12.0,2
17,Scott Dixon,552.0,1.0,2
18,Sebastian Bourdais,11.0,23.0,2
19,Simon Pagenaud,337.0,8.0,2
20,Takuma Sato,353.0,7.0,2
21,Will Power,407.0,4.0,2
22,Zach Veach,175.0,20.0,2
0,Alex Palou,236.0,16.0,3
1,Alexander Rossi,355.0,7.0,3
2,Charlie Kimball,203.0,18.0,3
3,Colton Herta,442.0,3.0,3
4,Conor Daly,231.0,17.0,3
5,Felix Rosenqvist,308.0,11.0,3
6,Graham Rahal,374.0,6.0,3
7,Jack Harvey,294.0,13.0,3
8,Josef Newgarden,502.0,2.0,3
9,Marco Andretti,179.0,20.0,3
10,Marcus Ericsson,276.0,15.0,3
11,Max Chilton,144.0,22.0,3
12,Oliver Askew,203.0,19.0,3
13,Patricio O'Ward,411.0,4.0,3
14,Rinus VeeKay,297.0,12.0,3
15,Ryan Hunter-Reay,313.0,10.0,3
16,Santino Ferrucci,291.0,14.0,3
17,Scott Dixon,528.0,1.0,3
18,Sebastian Bourdais,19.0,23.0,3
19,Simon Pagenaud,341.0,8.0,3
20,Takuma Sato,337.0,9.0,3
21,Will Power,406.0,5.0,3
22,Zach Veach,176.0,21.0,3
0,Alex Palou,228.0,17.0,4
1,Alexander Rossi,340.0,8.0,4
