Drivers,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Alexander Rossi,0.30918,0.54774,0.11956,0.02352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colton Herta,0,0,0,0,2e-05,3e-04,0.00192,0.00572,0.0171,0.0414,0.08494,0.14546,0.21234,0.36136,0.10302,0.02262,0.00354,0.00024,2e-05,0,0,0,0
Ed Jones,0,0,0,0,0,0,0,0,0,0,0,4e-05,0.00024,0.0017,0.02206,0.05172,0.11664,0.23178,0.32908,0.19566,0.05036,0.00072,0
Felix Rosenqvist,0,0,0,0,0.00974,0.04928,0.1006,0.1701,0.27948,0.21932,0.11748,0.04126,0.01118,0.00152,4e-05,0,0,0,0,0,0,0,0
Graham Rahal,0,0,0,0,0.04714,0.17122,0.27486,0.2651,0.16004,0.06346,0.01588,0.00214,0.00014,2e-05,0,0,0,0,0,0,0,0,0
Jack Harvey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028,0.00356,0.00982,0.02372,0.0512,0.08682,0.20798,0.54514,0.06674,0.00474
James Hinchcliffe,0,0,0,0,0.00232,0.01552,0.04662,0.0951,0.1993,0.31076,0.20768,0.08818,0.02896,0.00548,8e-05,0,0,0,0,0,0,0,0
Josef Newgarden,0.66414,0.29636,0.03556,0.00394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Andretti,0,0,0,0,0,0,0,0,6e-05,0.00024,0.00116,0.00444,0.01262,0.04994,0.3046,0.33536,0.20192,0.07112,0.01666,0.00184,4e-05,0,0
Marcus Ericsson,0,0,0,0,0,0,2e-05,0,0.00018,0.00068,0.0024,0.00682,0.02022,0.07052,0.36472,0.30674,0.15938,0.05448,0.01252,0.00128,4e-05,0,0
Matheus Leist,0,0,0,0,0,0,0,0,0,0,2e-05,0,6e-05,0.00052,0.00494,0.01384,0.03214,0.07004,0.128,0.42762,0.31302,0.00972,8e-05
Max Chilton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-05,2e-04,0.00072,0.00162,0.00646,0.03918,0.51682,0.43498
Patricio O'Ward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-05,0.00024,0.00082,0.00346,0.0294,0.40584,0.5602
Ryan Hunter-Reay,0,0,0,6e-05,0.17146,0.4014,0.2438,0.1267,0.04552,0.0099,0.0011,6e-05,0,0,0,0,0,0,0,0,0,0,0
Santino Ferrucci,0,0,0,0,4e-05,4e-05,3e-04,0.00158,0.00742,0.02684,0.07948,0.1822,0.33218,0.32116,0.04512,0.00352,0.00012,0,0,0,0,0,0
Scott Dixon,0.01328,0.07302,0.38584,0.52644,0.00142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastien Bourdais,0,0,0,0,0.00024,0.00354,0.01468,0.03598,0.08936,0.18496,0.29904,0.21176,0.11522,0.04246,0.00272,4e-05,0,0,0,0,0,0,0
Simon Pagenaud,0.0134,0.08288,0.459,0.4444,0.00032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spencer Pigot,0,0,0,0,0,2e-04,0.00172,0.00636,0.025,0.07236,0.17552,0.31492,0.26368,0.12814,0.01168,0.00042,0,0,0,0,0,0,0
Takuma Sato,0,0,0,0,0.04522,0.15696,0.25686,0.27938,0.17454,0.06996,0.01522,0.00174,0.00012,0,0,0,0,0,0,0,0,0,0
Tony Kanaan,0,0,0,0,0,0,0,0,0,0,0,4e-05,0.00048,0.00254,0.0274,0.06016,0.13892,0.29694,0.32284,0.13018,0.02036,0.00014,0
Will Power,0,0,4e-05,0.00164,0.72208,0.20154,0.05862,0.01398,0.002,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Veach,0,0,0,0,0,0,0,0,0,2e-05,8e-05,0.00094,0.00256,0.01436,0.11006,0.19574,0.32338,0.22324,0.10162,0.02552,0.00246,2e-05,0
