Drivers,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Alexander Rossi,0.18928,0.24386,0.18688,0.12492,0.08464,0.05756,0.03834,0.02562,0.01758,0.01218,0.00762,0.00448,0.00286,0.00164,0.00122,0.00056,0.00046,0.00014,8e-05,6e-05,2e-05,0,0,0,0,0
Ben Hanley,4e-05,2e-05,6e-05,0.00018,0.00038,0.00076,0.00108,0.00172,0.00274,0.0033,0.00448,0.00722,0.00936,0.01194,0.0157,0.01896,0.02272,0.02998,0.03822,0.04714,0.06114,0.07736,0.09776,0.1339,0.1813,0.23254
Charlie Kimball,0,4e-05,4e-05,0.00012,0.00042,5e-04,9e-04,0.00154,0.00238,0.00302,0.00412,0.0068,0.00852,0.0114,0.0151,0.02014,0.0243,0.03034,0.0388,0.04944,0.06192,0.0791,0.10786,0.13916,0.1858,0.20824
Colton Herta,0.00994,0.02554,0.04258,0.05886,0.07014,0.0752,0.08154,0.08088,0.0788,0.07446,0.07118,0.06594,0.05586,0.04926,0.03964,0.0313,0.02576,0.02092,0.01436,0.01096,0.00746,0.00422,0.00304,0.00134,0.00064,0.00018
Ed Jones,0.00016,0.00032,7e-04,0.0013,0.00306,0.00472,0.00776,0.01052,0.01414,0.0179,0.02146,0.02808,0.03528,0.04202,0.0481,0.05868,0.06472,0.06986,0.0772,0.08196,0.08448,0.08666,0.08304,0.07346,0.05522,0.0292
Felix Rosenqvist,0.00342,0.00898,0.01906,0.03012,0.042,0.04992,0.0585,0.06724,0.07228,0.07514,0.0783,0.07606,0.0704,0.06562,0.06006,0.04972,0.04468,0.03606,0.0289,0.02284,0.0156,0.01162,0.00738,0.0043,0.00146,0.00034
Graham Rahal,0.00996,0.02932,0.0527,0.07098,0.08416,0.09102,0.09282,0.09064,0.08494,0.07784,0.06832,0.05918,0.04612,0.0382,0.03126,0.02252,0.01676,0.01222,0.00842,0.00538,0.00348,0.00222,0.00092,0.00042,0.00018,2e-05
Jack Harvey,0.00028,0.0013,0.00322,0.0066,0.01036,0.01394,0.0196,0.02446,0.0325,0.03962,0.0468,0.0556,0.05952,0.0664,0.0715,0.07468,0.07416,0.07196,0.06756,0.06366,0.05874,0.04966,0.0382,0.02738,0.01622,0.00608
James Hinchcliffe,0.00662,0.01966,0.03928,0.05476,0.07042,0.08328,0.08802,0.09194,0.08996,0.08446,0.0768,0.06516,0.05748,0.04686,0.03608,0.02802,0.01986,0.01564,0.01022,0.00656,0.00414,0.00264,0.00144,0.00048,0.00018,4e-05
Josef Newgarden,0.52692,0.2217,0.11194,0.06142,0.0327,0.01992,0.01062,0.00674,0.00374,0.00212,0.001,0.00068,0.00028,8e-05,8e-05,4e-05,2e-05,0,0,0,0,0,0,0,0,0
Kyle Kaiser,0,0,4e-05,0.00014,0.00024,0.00054,0.00052,0.00094,0.00146,0.00226,0.00332,0.0043,0.00624,0.00814,0.01098,0.01374,0.0181,0.02238,0.03044,0.0387,0.04976,0.06482,0.08788,0.12422,0.1876,0.32324
Marco Andretti,0.00076,0.00284,0.007,0.0127,0.0188,0.02766,0.03466,0.04306,0.05206,0.05892,0.069,0.0752,0.07882,0.07902,0.0746,0.07434,0.06628,0.0592,0.04702,0.03942,0.031,0.02092,0.01472,0.0079,0.00346,0.00064
Marcus Ericsson,0.00028,0.001,0.0027,0.00518,0.00816,0.01264,0.01716,0.02328,0.0295,0.03474,0.0432,0.05258,0.05862,0.0633,0.07062,0.0719,0.07504,0.07452,0.0716,0.06786,0.06134,0.05494,0.04266,0.0316,0.0189,0.00668
Matheus Leist,0,0.00016,0.00054,0.00114,0.0016,0.00288,0.00446,0.00652,0.00954,0.01194,0.01652,0.02034,0.02674,0.03136,0.03808,0.04502,0.05538,0.0615,0.06872,0.07634,0.086,0.0943,0.10054,0.09902,0.08604,0.05532
Max Chilton,6e-05,0.00024,0.00042,0.0012,0.00172,0.00284,0.0048,0.00662,0.00852,0.01188,0.01484,0.01992,0.02522,0.02934,0.03766,0.04486,0.05134,0.05742,0.06578,0.07568,0.08438,0.0931,0.10208,0.1056,0.09246,0.06202
Patricio O'Ward,0.00014,0.00076,0.00292,0.00512,0.00874,0.01246,0.01718,0.02376,0.0304,0.03742,0.04782,0.05286,0.06362,0.06954,0.07398,0.07712,0.0751,0.07624,0.07116,0.06722,0.05682,0.04826,0.0371,0.0256,0.0137,0.00496
Ryan Hunter-Reay,0.02216,0.05728,0.08674,0.1097,0.10866,0.11246,0.09762,0.08562,0.07156,0.06096,0.04866,0.03822,0.03008,0.02188,0.01586,0.01102,0.00772,0.00584,0.00368,0.0021,0.00102,0.00062,4e-04,0.00014,0,0
Santino Ferrucci,8e-05,0.00056,0.00126,0.0025,0.0041,0.007,0.01032,0.0134,0.0178,0.02418,0.02888,0.03414,0.04344,0.05078,0.05554,0.0622,0.07178,0.0763,0.07938,0.08032,0.07934,0.07438,0.06804,0.0559,0.04056,0.01782
Scott Dixon,0.15272,0.21174,0.18224,0.13302,0.09626,0.06774,0.05056,0.03478,0.02404,0.01642,0.01156,0.00734,0.00448,0.00294,0.00182,0.00108,0.00066,0.00018,0.00026,1e-04,6e-05,0,0,0,0,0
Sebastien Bourdais,0.00758,0.02086,0.03806,0.05424,0.06782,0.0744,0.08232,0.08572,0.08086,0.08042,0.07472,0.06684,0.05848,0.04964,0.041,0.03326,0.02516,0.01944,0.01404,0.0109,0.00654,0.0041,0.00206,0.00112,0.00034,8e-05
Simon Pagenaud,0.00384,0.01168,0.02276,0.03486,0.04844,0.05694,0.06636,0.0751,0.08158,0.0804,0.07894,0.07694,0.07114,0.06302,0.05514,0.04566,0.03712,0.02826,0.0206,0.0155,0.01132,0.00746,0.00386,0.00198,0.00084,0.00026
Spencer Pigot,0.00024,0.00104,0.00236,0.00432,0.0068,0.01024,0.01598,0.01968,0.02704,0.03398,0.04072,0.04722,0.0561,0.06368,0.07004,0.07282,0.07578,0.07634,0.07752,0.07224,0.06618,0.0556,0.04536,0.03358,0.01842,0.00672
Takuma Sato,0.04334,0.08656,0.11546,0.12568,0.12004,0.10386,0.0904,0.07294,0.06164,0.0483,0.0386,0.02826,0.02102,0.01462,0.0105,0.00732,0.00484,0.00284,0.00164,0.00124,0.00056,0.00022,1e-04,2e-05,0,0
Tony Kanaan,0.00014,0.00038,0.00116,0.0018,0.004,0.00554,0.00842,0.01162,0.01452,0.02014,0.02632,0.03174,0.03906,0.04728,0.05342,0.05988,0.06564,0.07382,0.0817,0.08092,0.08254,0.08188,0.07578,0.06406,0.04764,0.0206
Will Power,0.02194,0.05376,0.07902,0.09694,0.10302,0.10022,0.0925,0.0842,0.07504,0.0672,0.05186,0.04386,0.03388,0.0269,0.02024,0.0167,0.0117,0.00838,0.00574,0.00296,0.00202,0.00106,0.00052,0.00022,8e-05,4e-05
Zach Veach,1e-04,4e-04,0.00086,0.0022,0.00332,0.00576,0.00756,0.01146,0.01538,0.0208,0.02496,0.03104,0.03738,0.04514,0.05178,0.05846,0.06492,0.07022,0.07696,0.0805,0.08414,0.08486,0.07926,0.0686,0.04896,0.02498
