Drivers,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Alexander Rossi,0.07334,0.12674,0.1652,0.13472,0.11336,0.08976,0.07306,0.0571,0.04636,0.03666,0.0266,0.01978,0.01408,0.00932,0.00602,0.00362,0.00224,0.00116,0.00046,0.00028,0.00012,2e-05,0,0
Ben Hanley,0,0,0,2e-05,8e-05,0.00014,6e-05,0.00022,0.00054,7e-04,0.00106,0.00146,0.0022,0.0029,0.005,0.00628,0.00858,0.01296,0.01846,0.02732,0.04346,0.07222,0.15086,0.64548
Colton Herta,0.0058,0.01832,0.03536,0.0497,0.05838,0.06556,0.072,0.07158,0.07564,0.0749,0.07404,0.07178,0.06652,0.05758,0.05138,0.04084,0.03472,0.0266,0.01984,0.01352,0.00836,0.00528,0.00198,0.00032
Ed Jones,0.00014,0.00042,0.00168,0.00332,0.00542,0.00794,0.01088,0.01556,0.02118,0.02656,0.03406,0.0409,0.0516,0.06366,0.07106,0.08096,0.08724,0.08952,0.0944,0.08932,0.0816,0.06506,0.04422,0.0133
Felix Rosenqvist,0.0032,0.01116,0.02486,0.0388,0.04948,0.05772,0.06868,0.0756,0.07966,0.08104,0.08204,0.08014,0.0746,0.06602,0.05608,0.04448,0.03548,0.02686,0.0188,0.01244,0.00728,0.00412,0.00126,2e-04
Graham Rahal,0.01006,0.0305,0.0613,0.08406,0.0929,0.09792,0.0977,0.09532,0.08602,0.0771,0.06596,0.0547,0.04386,0.03506,0.024,0.01678,0.01098,0.00754,0.00422,0.00212,0.00114,0.00048,0.00028,0
Jack Harvey,0.0013,0.0046,0.01218,0.01918,0.02828,0.03622,0.04476,0.0513,0.05934,0.0663,0.07416,0.07782,0.07932,0.07842,0.07562,0.0666,0.0608,0.0516,0.03798,0.03146,0.02202,0.0137,0.00588,0.00116
James Hinchcliffe,0.00298,0.01062,0.0227,0.0355,0.0484,0.05938,0.06998,0.07684,0.08326,0.086,0.08664,0.08308,0.0779,0.06516,0.05464,0.04406,0.03362,0.02378,0.01652,0.0099,0.00568,0.00256,0.00074,6e-05
Josef Newgarden,0.4055,0.28822,0.13678,0.0735,0.04062,0.0235,0.01416,0.0074,0.00498,0.00224,0.00158,8e-04,0.00036,0.00022,8e-05,2e-05,2e-05,2e-05,0,0,0,0,0,0
Marco Andretti,0.00024,0.00146,0.00364,0.00708,0.0115,0.0161,0.02342,0.0286,0.03972,0.04786,0.05744,0.06458,0.07622,0.08612,0.08886,0.08892,0.08662,0.07678,0.06782,0.05364,0.03876,0.02204,0.0105,0.00208
Marcus Ericsson,0.00014,0.00034,0.00064,0.00202,0.00304,0.00504,0.00656,0.00988,0.01262,0.01722,0.0226,0.02966,0.03794,0.0482,0.05838,0.06918,0.07928,0.08824,0.09656,0.10146,0.10506,0.09736,0.08078,0.0278
Matheus Leist,6e-05,0.00044,0.00136,0.0028,0.00402,0.00608,0.00868,0.01308,0.01716,0.02172,0.0279,0.03534,0.0432,0.05428,0.06444,0.0738,0.08236,0.09174,0.09522,0.09792,0.08948,0.0858,0.06364,0.01948
Max Chilton,0,8e-05,0.00018,3e-04,0.00088,9e-04,0.00154,0.00238,0.00372,0.0049,0.00716,0.01056,0.01476,0.01854,0.02544,0.03244,0.04372,0.05502,0.0681,0.08402,0.11372,0.154,0.22348,0.13416
Patricio O'Ward,4e-05,0.00018,0.00076,0.00152,0.00274,0.00486,0.00704,0.0097,0.01424,0.01932,0.02662,0.03314,0.04188,0.05188,0.0617,0.07314,0.08148,0.09434,0.10016,0.10308,0.09832,0.08834,0.06584,0.01968
Ryan Hunter-Reay,0.0088,0.02718,0.05122,0.06752,0.07618,0.08288,0.08462,0.08486,0.0811,0.0768,0.07126,0.06458,0.0549,0.04482,0.03794,0.02862,0.02082,0.01518,0.00924,0.006,0.00326,0.0015,0.00062,1e-04
Santino Ferrucci,6e-05,0.00018,7e-04,0.00182,0.00394,0.00508,0.00772,0.01178,0.01506,0.02106,0.02786,0.03474,0.04156,0.05106,0.06366,0.07358,0.0832,0.08986,0.09536,0.10176,0.09882,0.08792,0.0638,0.01942
Scott Dixon,0.41046,0.28622,0.13464,0.07062,0.0424,0.02278,0.01336,0.00854,0.00442,0.0031,0.00184,0.00094,0.00028,2e-04,1e-04,6e-05,0,4e-05,0,0,0,0,0,0
Sebastien Bourdais,0.00496,0.01628,0.03788,0.05148,0.06612,0.0741,0.07878,0.08524,0.08432,0.08484,0.0784,0.07346,0.06302,0.05322,0.04306,0.03588,0.02494,0.0188,0.012,0.0077,0.00332,0.00162,5e-04,8e-05
Simon Pagenaud,0.02704,0.06218,0.10682,0.11838,0.11458,0.10736,0.09468,0.08242,0.07004,0.05926,0.0451,0.03552,0.02622,0.0193,0.01236,0.008,0.00482,0.0029,0.00188,0.00052,0.00046,0.00014,2e-05,0
Spencer Pigot,0.00036,0.00182,0.00466,0.00888,0.01366,0.02014,0.02574,0.03246,0.04052,0.05128,0.05846,0.06956,0.07874,0.08418,0.08568,0.08524,0.08012,0.07036,0.06068,0.04968,0.0377,0.02592,0.0122,0.00196
Takuma Sato,0.02298,0.05656,0.09818,0.11386,0.11124,0.1076,0.09508,0.08438,0.07274,0.05988,0.05194,0.03806,0.02942,0.02102,0.01442,0.00948,0.0061,0.00322,0.0024,0.00096,0.00038,4e-05,6e-05,0
Tony Kanaan,0,8e-05,0.00042,5e-04,0.00122,0.00186,0.00268,0.00422,0.00622,0.00778,0.01164,0.01518,0.02028,0.02618,0.03594,0.04544,0.05558,0.06718,0.0824,0.09832,0.12438,0.15066,0.16612,0.07572
Will Power,0.02254,0.05618,0.09832,0.11336,0.10926,0.10386,0.09434,0.0847,0.07154,0.05948,0.0484,0.0396,0.03094,0.0234,0.01644,0.01164,0.0066,0.00456,0.00278,0.00124,0.00052,0.00026,4e-05,0
Zach Veach,0,0.00024,0.00052,0.00106,0.0023,0.00322,0.00448,0.00684,0.0096,0.014,0.01724,0.02462,0.0302,0.03926,0.0477,0.06094,0.07068,0.08174,0.09472,0.10734,0.11616,0.12096,0.10718,0.039
