Drivers,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Alexander Rossi,0.08782,0.42748,0.294,0.1906,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colton Herta,0,0,0,0,0,8e-05,0.00076,0.00276,0.01228,0.02368,0.04224,0.07594,0.15204,0.55368,0.11606,0.01862,0.0018,6e-05,0,0,0,0,0
Ed Carpenter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e-05,0.00022,0.00724,0.01608,0.18992,0.59026,0.1962
Ed Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0.00148,0.00536,0.0145,0.03334,0.36418,0.48786,0.08964,0.00354,0
Felix Rosenqvist,0,0,0,0,4e-05,0.02318,0.05534,0.11834,0.24008,0.23346,0.17458,0.10568,0.04244,0.0068,6e-05,0,0,0,0,0,0,0,0
Graham Rahal,0,0,0,0,0.00226,0.34744,0.35884,0.20376,0.06924,0.0159,0.00238,0.00018,0,0,0,0,0,0,0,0,0,0,0
Jack Harvey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016,4e-04,0.00136,0.00342,0.04458,0.074,0.64374,0.22026,0.01208
James Hinchcliffe,0,0,0,0,0,0.00586,0.02162,0.06082,0.15366,0.22622,0.24864,0.17864,0.08714,0.0173,1e-04,0,0,0,0,0,0,0,0
Josef Newgarden,0.85744,0.12066,0.01962,0.00228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Andretti,0,0,0,0,0,0,0,0,2e-05,6e-05,0.00024,0.00084,0.00316,0.03694,0.271,0.37382,0.2275,0.0801,0.00618,0.00014,0,0,0
Marcus Ericsson,0,0,0,0,0,0,0,0,2e-05,0.00034,0.00068,0.00278,0.00994,0.07622,0.45336,0.29246,0.12994,0.03256,0.00166,4e-05,0,0,0
Matheus Leist,0,0,0,0,0,0,0,0,0,0,0,0,0,8e-05,0.00254,0.0071,0.01708,0.0388,0.46396,0.41484,0.05484,0.00076,0
Max Chilton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00032,0.00096,0.02182,0.18518,0.79172
Ryan Hunter-Reay,0,0,0,0,0.00574,0.47648,0.31312,0.15322,0.04316,0.0075,0.00078,0,0,0,0,0,0,0,0,0,0,0,0
Santino Ferrucci,0,0,0,0,0,0.00064,0.00334,0.01528,0.05786,0.11872,0.20404,0.31254,0.22352,0.06248,0.00158,0,0,0,0,0,0,0,0
Scott Dixon,0.02488,0.20938,0.3164,0.44826,0.00108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastien Bourdais,0,0,0,0,0,0.01182,0.03134,0.08578,0.20674,0.25064,0.21328,0.13776,0.0519,0.01064,1e-04,0,0,0,0,0,0,0,0
Simon Pagenaud,0.02986,0.24248,0.3699,0.3575,0.00026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spencer Pigot,0,0,0,0,0,1e-04,0.00072,0.00366,0.01864,0.04398,0.09176,0.18256,0.42826,0.21932,0.01052,0.00048,0,0,0,0,0,0,0
Takuma Sato,0,0,0,0,0.00048,0.12596,0.21484,0.35638,0.1983,0.0795,0.02128,0.00294,0.00032,0,0,0,0,0,0,0,0,0,0
Tony Kanaan,0,0,0,0,0,0,0,0,0,0,4e-05,6e-05,0.00044,0.00544,0.04714,0.11308,0.28172,0.48256,0.06632,0.00318,2e-05,0,0
Will Power,0,0,8e-05,0.00136,0.99004,0.00844,8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Veach,0,0,0,0,0,0,0,0,0,0,6e-05,8e-05,0.00084,0.011,0.0959,0.18868,0.32602,0.32894,0.04556,0.0029,2e-05,0,0
