Drivers,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Alexander Rossi,0.19692,0.2645,0.1983,0.12404,0.07784,0.04952,0.03136,0.02064,0.0128,0.00956,0.00532,0.00368,0.00212,0.00168,0.00058,0.00048,0.00034,0.00016,4e-05,8e-05,0,2e-05,2e-05,0,0,0
Ben Hanley,0,6e-05,6e-05,0.00016,0.00048,0.00072,0.00138,0.0019,0.00278,0.00382,0.00524,0.00714,0.00948,0.0125,0.01528,0.01944,0.02392,0.03164,0.0381,0.04762,0.06072,0.07588,0.098,0.12974,0.18026,0.23368
Charlie Kimball,0,0,0.00022,0.00038,0.00036,0.00048,0.00124,0.00174,0.00258,0.00404,0.00492,0.00746,0.00926,0.0119,0.0154,0.01896,0.02504,0.03178,0.03922,0.0505,0.06396,0.08062,0.10618,0.1405,0.18274,0.20052
Colton Herta,0.00488,0.01566,0.0293,0.04628,0.05604,0.06346,0.0692,0.07338,0.07004,0.07182,0.06914,0.06726,0.06248,0.05638,0.05176,0.0444,0.03586,0.0307,0.02478,0.0199,0.01476,0.0106,0.0068,0.00346,0.0012,0.00046
Ed Jones,2e-05,0.00036,0.00096,0.00204,0.00402,0.0057,0.00796,0.0099,0.01488,0.01894,0.02286,0.02892,0.034,0.04004,0.0473,0.05424,0.06172,0.06884,0.07302,0.07628,0.0839,0.08586,0.08504,0.07828,0.06158,0.03334
Felix Rosenqvist,0.00354,0.01106,0.02266,0.0372,0.0491,0.06132,0.06524,0.07048,0.07326,0.07294,0.0723,0.07072,0.06582,0.06086,0.05342,0.0464,0.04136,0.03372,0.02764,0.02086,0.01586,0.0116,0.00684,0.00406,0.0013,0.00044
Graham Rahal,0.00914,0.02642,0.04864,0.06566,0.07792,0.08486,0.08682,0.08456,0.07948,0.0751,0.06576,0.06062,0.05082,0.04236,0.0358,0.02922,0.02282,0.0181,0.0125,0.00942,0.00622,0.00408,0.00196,0.00128,0.00038,6e-05
Jack Harvey,0.00044,0.00144,0.0035,0.00876,0.01226,0.018,0.02406,0.02908,0.03578,0.04146,0.04904,0.05372,0.06266,0.06542,0.06922,0.06888,0.07098,0.07082,0.0659,0.0604,0.05654,0.04534,0.03812,0.02702,0.01548,0.00568
James Hinchcliffe,0.00716,0.02372,0.04614,0.07112,0.08438,0.09306,0.09304,0.09158,0.08474,0.07888,0.0689,0.05724,0.04786,0.03972,0.03086,0.02478,0.01986,0.01348,0.00944,0.00564,0.00446,0.00208,0.00116,0.00044,0.00026,0
Josef Newgarden,0.5366,0.22812,0.11384,0.05652,0.03044,0.01572,0.00858,0.0041,0.00266,0.00176,0.00072,0.00038,3e-04,0.00016,4e-05,2e-05,2e-05,2e-05,0,0,0,0,0,0,0,0
Kyle Kaiser,0,0,1e-04,0.00018,0.00022,0.00048,0.00078,0.00132,0.0016,0.00252,0.00338,0.00526,0.00618,0.0085,0.01142,0.0146,0.0181,0.02156,0.03054,0.03882,0.05028,0.06538,0.08838,0.12526,0.186,0.31914
Marco Andretti,0.00074,0.00346,0.0083,0.01496,0.02246,0.03336,0.04194,0.05102,0.05688,0.06324,0.06836,0.0755,0.07636,0.07456,0.07226,0.0682,0.05976,0.05404,0.04712,0.0378,0.02676,0.0191,0.01288,0.0073,0.0029,0.00074
Marcus Ericsson,0.00022,0.00118,0.00296,0.00616,0.00992,0.01402,0.01908,0.02444,0.0306,0.03638,0.04184,0.04792,0.0556,0.06058,0.06504,0.06836,0.07354,0.07244,0.06956,0.06792,0.0631,0.05628,0.04742,0.03576,0.02154,0.00814
Matheus Leist,0,0.00014,0.00068,0.00124,0.0026,0.00376,0.0053,0.0074,0.00972,0.01258,0.01672,0.02074,0.02622,0.03264,0.03544,0.04458,0.05166,0.05694,0.06748,0.07556,0.08328,0.09372,0.09936,0.10204,0.08944,0.06076
Max Chilton,6e-05,0.00014,0.00076,0.0014,0.0024,0.00358,0.00516,0.00702,0.00974,0.01276,0.01792,0.0222,0.0259,0.03198,0.03774,0.0445,0.05052,0.05668,0.06462,0.07472,0.08402,0.09446,0.09816,0.09968,0.09196,0.06192
Patricio O'Ward,0.00026,0.00114,0.00332,0.00704,0.01094,0.0158,0.02236,0.02926,0.03578,0.0438,0.05,0.05552,0.0629,0.06806,0.07032,0.07224,0.07268,0.0735,0.06672,0.06306,0.05434,0.04354,0.0359,0.02378,0.01278,0.00496
Ryan Hunter-Reay,0.01832,0.04674,0.07602,0.09498,0.10294,0.09768,0.08978,0.08432,0.07458,0.0625,0.05362,0.04486,0.03732,0.0306,0.02416,0.01786,0.0142,0.01082,0.00738,0.00518,0.00278,0.00174,0.001,4e-04,0.00018,4e-05
Santino Ferrucci,4e-05,0.00054,0.00146,0.00326,0.00548,0.0082,0.01206,0.01626,0.01974,0.02646,0.03204,0.03636,0.04326,0.048,0.05596,0.0642,0.06828,0.07274,0.07728,0.07794,0.07716,0.0754,0.06678,0.05468,0.03882,0.0176
Scott Dixon,0.16166,0.22534,0.19808,0.1341,0.08828,0.06386,0.04072,0.02916,0.01954,0.01448,0.00926,0.00616,0.00358,0.00248,0.00148,0.00098,0.00028,0.00032,1e-04,6e-05,8e-05,0,0,0,0,0
Sebastien Bourdais,0.00618,0.01906,0.0356,0.05458,0.06782,0.073,0.08034,0.07922,0.07834,0.07352,0.0711,0.06402,0.05852,0.05006,0.04168,0.03646,0.03038,0.02452,0.01906,0.0139,0.0102,0.00584,0.0038,0.00188,0.00078,0.00014
Simon Pagenaud,0.00424,0.01354,0.0278,0.04448,0.05776,0.06662,0.07484,0.07894,0.0817,0.07788,0.07702,0.07104,0.0625,0.05602,0.049,0.03934,0.03158,0.02568,0.02042,0.01556,0.01056,0.00666,0.00408,0.0019,0.00064,2e-04
Spencer Pigot,2e-04,0.00088,0.00236,0.00624,0.01006,0.01292,0.01882,0.0246,0.03092,0.03706,0.04242,0.05052,0.05582,0.06206,0.06698,0.07024,0.07286,0.0748,0.07468,0.0694,0.06192,0.05458,0.04386,0.03106,0.01786,0.00688
Takuma Sato,0.0329,0.07404,0.111,0.12856,0.1225,0.10794,0.0899,0.07382,0.06186,0.04992,0.03826,0.03074,0.02312,0.01746,0.01298,0.00922,0.0057,0.00414,0.0029,0.00148,9e-04,4e-04,2e-04,6e-05,0,0
Tony Kanaan,1e-04,0.00048,0.00142,0.0027,0.00468,0.00726,0.01074,0.01332,0.01812,0.02224,0.02786,0.03244,0.03892,0.0459,0.05416,0.05802,0.06586,0.0713,0.07624,0.08134,0.08016,0.08192,0.07562,0.06492,0.04354,0.02074
Will Power,0.01626,0.04166,0.06548,0.08532,0.09472,0.09136,0.08888,0.0802,0.07484,0.0655,0.05768,0.04802,0.04198,0.03608,0.03006,0.02406,0.01828,0.01234,0.00972,0.00636,0.00508,0.0035,0.00174,0.00056,0.00022,1e-04
Zach Veach,0.00012,0.00032,0.00104,0.00264,0.00438,0.00732,0.01042,0.01234,0.01704,0.02084,0.02832,0.03156,0.03702,0.044,0.05166,0.06032,0.0644,0.06892,0.07554,0.0802,0.08296,0.0814,0.0767,0.06594,0.05014,0.02446
