Car No.,Driver,Team,Engine,Rounds,year
2,Josef Newgarden,Team Penske,Chevy,Full Season,2022
3,Scott McLaughlin,Team Penske,Chevy,Full Season,2022
4,Dalton Kellett,AJ Foyt Racing,Chevy,Full Season,2022
5,Pato O'Ward,Arrow McLaren SP,Chevy,Full Season,2022
6,Juan Pablo Montoya,Arrow McLaren SP,Chevy,May IMS Races,2022
06,Helio Castroneves,Meyer Shank Racing,Honda,Full Season,2022
7,Felix Rosenqvist,Arrow McLaren SP,Chevy,Full Season,2022
8,Marcus Ericsson,Chip Ganassi Racing,Honda,Full Season,2022
9,Scott Dixon,Chip Ganassi Racing,Honda,Full Season,2022
10,Alex Palou,Chip Ganassi Racing,Honda,Full Season,2022
11,Tatiana Calderon,AJ Foyt Racing,Chevy,Road/Street,2022
11,TBA,AJ Foyt Racing,Chevy,Ovals,2022
12,Will Power,Team Penske,Chevy,Full Season,2022
14,Kyle Kirkwood,AJ Foyt Racing,Chevy,Full Season,2022
15,Graham Rahal,Rahal Letterman Lanigan Racing,Honda,Full Season,2022
18,David Malukas,Dale Coyne Racing/HMD Motorsports,Honda,Full Season,2022
20,Conor Daly,Ed Carpenter Racing,Chevy,Full Season,2022
21,Rinus VeeKay,Ed Carpenter Racing,Chevy,Full Season,2022
23,Santino Ferrucci,Dreyer & Reinbold Racing,Chevy,Indy 500,2022
24,Sage Karam,Dreyer & Reinbold Racing,Chevy,Indy 500,2022
26,Colton Herta,Andretti Autosport,Honda,Full Season,2022
27,Alexander Rossi,Andretti Autosport,Honda,Full Season,2022
28,Romain Grosjean,Andretti Autosport,Honda,Full Season,2022
29,Devlin DeFrancesco,Andretti Steinbrenner Autosport,Honda,Full Season,2022
30,Christian Lundgaard,Rahal Letterman Lanigan Racing,Honda,Full Season,2022
45,Jack Harvey,Rahal Letterman Lanigan Racing,Honda,Full Season,2022
48,Jimmie Johnson,Chip Ganassi Racing,Honda,Full Season,2022
51,Takuma Sato,Dale Coyne Racing/Rick Ware Racing,Honda,Full Season,2022
60,Simon Pagenaud,Meyer Shank Racing,Honda,Full Season,2022
77,Callum Ilott,Juncos Hollinger Racing,Chevy,Full Season,2022
98,Marco Andretti,Andretti Autosport,Honda,Indy 500,2022
TBA,Ed Carpenter,Ed Carpenter Racing,Chevy,Indy 500,2022
TBA,Tony Kanaan,Chip Ganassi Racing,Honda,Indy 500,2022
2,Josef Newgarden,Team Penske,Chevy,Full Season,2019
3,Helio Castroneves,Team Penske,Chevy,IMS Races,2019
4,Matheus Leist,A.J. Foyt Enterprises,Chevy,Full Season,2019
5,James Hinchcliffe,Arrow Schmidt Peterson Motorsports,Honda,Full Season,2019
6,Robert Wickens,Arrow Schmidt Peterson Motorsports,Honda,TBD*,2019
7,Marcus Ericsson,Arrow Schmidt Peterson Motorsports,Honda,Full Season,2019
9,Scott Dixon,Chip Ganassi Racing,Honda,Full Season,2019
10,Felix Rosenqvist,Chip Ganassi Racing,Honda,Full Season,2019
12,Will Power,Team Penske,Chevy,Full Season,2019
14,Tony Kanaan,A.J. Foyt Enterprises,Chevy,Full Season,2019
15,Graham Rahal,Rahal Letterman Lanigan Racing,Honda,Full Season,2019
