driver,EloRating
Sebastien Bourdais,1648.36070280927
Graham Rahal,1688.01183615727
Alexander Rossi,1838.54535063981
James Hinchcliffe,1588.07129678721
Ryan Hunter-Reay,1692.95496242471
Scott Dixon,1891.51867874183
Josef Newgarden,1866.16479456283
Ed Jones,1467.06455381296
Marco Andretti,1590.34506668328
Will Power,1708.61686717172
Tony Kanaan,1555.1985515369
Takuma Sato,1515.89641761736
Simon Pagenaud,1895.96577915989
Gabby Chaves,1473.8839757762
Spencer Pigot,1533.83126707112
Zach Veach,1455.54239881677
Zachary Claman De Melo,1447.67337556962
Robert Wickens,1608.05779233809
Max Chilton,1404.61281401225
Charlie Kimball,1521.5859455495
Jordan King,1464.87884308408
Rene Binder,1435.02662638651
Jack Harvey,1469.6145345028
Matheus Leist,1412.57065844904
Ed Carpenter,1549.7962023799
Kyle Kaiser,1424.13449585349
Pietro Fittipaldi,1467.65277897668
Helio Castroneves,1729.42127493811
Carlos Munoz,1597.31105934492
J.R. Hildebrand,1550.87689443088
Stefan Wilson,1493.70837591191
Oriol Servia,1569.6995915241
Conor Daly,1490.81717521928
Jay Howard,1352.59783287808
Sage Karam,1400.1538012181
Danica Patrick,1652.93262030705
James Davison,1477.46009645138
Santino Ferrucci,1537.84984193196
Alfonso Celis,1485.54277153958
Patricio O'Ward,1501.97995321438
Colton Herta,1497.20102940376
Mikhail Aleshin,1483.96672233155
Juan Pablo Montoya,1705.37190200308
Sebastian Saavedra,1375.69871381425
Pippa Mann,1417.27061944446
Fernando Alonso,1477.06176356074
Buddy Lazier,1409.83299974138
Esteban Gutierrez,1447.70159716266
Tristan Vautier,1425.67107625635
Jack Hawksworth,1379.00458140314
Luca Filippi,1404.82242664266
Matthew Brabham,1493.92254300063
Alex Tagliani,1484.20894059059
Townsend Bell,1510.15617545865
Bryan Clauson,1441.46403245428
R.C. Enerson,1482.01542537893
Simona de Silvestro,1496.52654532164
Stefano Coletti,1386.10100683655
James Jakes,1405.92172291378
Francesco Dracone,1393.22876877392
Carlos Huertas,1408.90912170091
Rodolfo Gonzalez,1453.27276895623
Justin Wilson,1580.16777908555
Ryan Briscoe,1666.14059476587
Mike Conway,1525.34134790405
Martin Plowman,1510.22449116602
Franck Montagny,1483.56552708227
Kurt Busch,1531.29854596473
Jacques Villeneuve,1516.24111126585
E.J. Viso,1489.13130863819
Ana Beatriz,1383.95192225051
Dario Franchitti,1738.81482988229
A.J. Allmendinger,1433.50249892993
Katherine Legge,1427.00095313353
Lucas Luhr,1483.47493172806
Rubens Barrichello,1559.77566866151
"Michel Jourdain, Jr.",1499.95233209689
Wade Cunningham,1446.19934398631
Jean Alesi,1469.30803800507
Giorgio Pantano,1476.72238565103
Bruno Junqueira,1425.67006152135
Raphael Matos,1473.29523679485
Vitor Meira,1574.54287250946
Paul Tracy,1514.73875718222
Dan Wheldon,1695.86505013797
Bertrand Baguette,1462.75388261917
Tomas Scheckter,1410.38329912677
Buddy Rice,1523.15421860623
Alex Lloyd,1445.64112136282
John Andretti,1467.79357131107
Davey Hamilton,1397.92251477258
Ho-Pin Tung,1474.60887637855
Hideki Mutoh,1452.74618418124
Joao Paulo de Oliveira,1473.1489835727
Dillon Battistini,1474.80796773856
Mario Romancini,1414.98839528838
Milka Duno,1204.74691588937
Mario Moraes,1413.77093509389
Sarah Fisher,1403.67427962157
Adam Carroll,1488.9698416953
Roger Yasukawa,1465.6095956614
Darren Manning,1542.10654193489
Robert Doornbos,1447.51981465797
Stanton Barrett,1454.71665026268
Scott Sharp,1510.4404216521
A.J. Foyt IV,1468.2617561756
Nelson Philippe,1446.20067607353
Jaques Lazier,1417.13471115876
Richard Antinucci,1437.1463279411
Kosuke Matsuura,1491.23499486178
Franck Perera,1495.77515470741
Enrique Bernoldi,1386.49405763445
Marty Roth,1284.78263282415
Mario Dominguez,1452.49261299192
David Martinez,1508.84903445756
Jimmy Vasser,1503.39796639786
Alex Figge,1493.75636449064
Antonio Pizzonia,1488.96178365139
Roberto Moreno,1487.29498181468
Juho Annala,1484.344833368
Jaime Camara,1366.50214195178
Jeff Simmons,1475.11961945829
Felix Rosenqvist,1597.58670924564
Ben Hanley,1450.85814825738
Marcus Ericsson,1494.11755383637
