st,EloRating
14,1512.80785840898
24,1454.99476127583
12,1488.29184335858
7,1607.9547300268
6,1616.15341510914
9,1518.68218541852
13,1490.39471018465
17,1450.43883410346
18,1477.54695375247
2,1700.00938719557
10,1480.04772769659
5,1656.42435571224
11,1516.78019223314
8,1578.22470192437
16,1480.19006088923
15,1474.32844243882
22,1457.55829332343
1,1744.9374243855
20,1463.36999661391
21,1444.48168085334
4,1658.80670470545
23,1429.9666255739
19,1470.11783054386
3,1645.76927134471
32,1431.60152028063
30,1394.94256778795
27,1398.21367143352
31,1485.89031851531
26,1361.17287804532
33,1376.6141489967
25,1424.34496229066
28,1428.96289721411
29,1379.97904836333
