driver,date,year,EloRating
Sebastien Bourdais,2021-01-01,2000,1500
Graham Rahal,2021-01-01,2000,1500
Alexander Rossi,2021-01-01,2000,1500
James Hinchcliffe,2021-01-01,2000,1500
Ryan Hunter-Reay,2021-01-01,2000,1500
Scott Dixon,2021-01-01,2000,1500
Josef Newgarden,2021-01-01,2000,1500
Ed Jones,2021-01-01,2000,1500
Marco Andretti,2021-01-01,2000,1500
Will Power,2021-01-01,2000,1500
Tony Kanaan,2021-01-01,2000,1500
Takuma Sato,2021-01-01,2000,1500
Simon Pagenaud,2021-01-01,2000,1500
Gabby Chaves,2021-01-01,2000,1500
Spencer Pigot,2021-01-01,2000,1500
Zach Veach,2021-01-01,2000,1500
Zachary Claman De Melo,2021-01-01,2000,1500
Robert Wickens,2021-01-01,2000,1500
Max Chilton,2021-01-01,2000,1500
Charlie Kimball,2021-01-01,2000,1500
Jordan King,2021-01-01,2000,1500
Rene Binder,2021-01-01,2000,1500
Jack Harvey,2021-01-01,2000,1500
Matheus Leist,2021-01-01,2000,1500
Ed Carpenter,2021-01-01,2000,1500
Kyle Kaiser,2021-01-01,2000,1500
Pietro Fittipaldi,2021-01-01,2000,1500
Helio Castroneves,2021-01-01,2000,1500
Carlos Munoz,2021-01-01,2000,1500
J.R. Hildebrand,2021-01-01,2000,1500
Stefan Wilson,2021-01-01,2000,1500
Oriol Servia,2021-01-01,2000,1500
Conor Daly,2021-01-01,2000,1500
Jay Howard,2021-01-01,2000,1500
Sage Karam,2021-01-01,2000,1500
Danica Patrick,2021-01-01,2000,1500
James Davison,2021-01-01,2000,1500
Santino Ferrucci,2021-01-01,2000,1500
Alfonso Celis,2021-01-01,2000,1500
Patricio O'Ward,2021-01-01,2000,1500
Colton Herta,2021-01-01,2000,1500
Mikhail Aleshin,2021-01-01,2000,1500
Juan Pablo Montoya,2021-01-01,2000,1500
Sebastian Saavedra,2021-01-01,2000,1500
Pippa Mann,2021-01-01,2000,1500
Fernando Alonso,2021-01-01,2000,1500
Buddy Lazier,2021-01-01,2000,1500
Esteban Gutierrez,2021-01-01,2000,1500
Tristan Vautier,2021-01-01,2000,1500
Jack Hawksworth,2021-01-01,2000,1500
Luca Filippi,2021-01-01,2000,1500
Matthew Brabham,2021-01-01,2000,1500
Alex Tagliani,2021-01-01,2000,1500
Townsend Bell,2021-01-01,2000,1500
Bryan Clauson,2021-01-01,2000,1500
R.C. Enerson,2021-01-01,2000,1500
Simona de Silvestro,2021-01-01,2000,1500
Stefano Coletti,2021-01-01,2000,1500
James Jakes,2021-01-01,2000,1500
Francesco Dracone,2021-01-01,2000,1500
Carlos Huertas,2021-01-01,2000,1500
Rodolfo Gonzalez,2021-01-01,2000,1500
Justin Wilson,2021-01-01,2000,1500
Ryan Briscoe,2021-01-01,2000,1500
Mike Conway,2021-01-01,2000,1500
Martin Plowman,2021-01-01,2000,1500
Franck Montagny,2021-01-01,2000,1500
Kurt Busch,2021-01-01,2000,1500
Jacques Villeneuve,2021-01-01,2000,1500
E.J. Viso,2021-01-01,2000,1500
Ana Beatriz,2021-01-01,2000,1500
Dario Franchitti,2021-01-01,2000,1500
A.J. Allmendinger,2021-01-01,2000,1500
Katherine Legge,2021-01-01,2000,1500
Lucas Luhr,2021-01-01,2000,1500
Rubens Barrichello,2021-01-01,2000,1500
"Michel Jourdain, Jr.",2021-01-01,2000,1500
Wade Cunningham,2021-01-01,2000,1500
Jean Alesi,2021-01-01,2000,1500
Giorgio Pantano,2021-01-01,2000,1500
Bruno Junqueira,2021-01-01,2000,1500
Raphael Matos,2021-01-01,2000,1500
Vitor Meira,2021-01-01,2000,1500
Paul Tracy,2021-01-01,2000,1500
Dan Wheldon,2021-01-01,2000,1500
Bertrand Baguette,2021-01-01,2000,1500
Tomas Scheckter,2021-01-01,2000,1500
Buddy Rice,2021-01-01,2000,1500
Alex Lloyd,2021-01-01,2000,1500
John Andretti,2021-01-01,2000,1500
Davey Hamilton,2021-01-01,2000,1500
Ho-Pin Tung,2021-01-01,2000,1500
Hideki Mutoh,2021-01-01,2000,1500
Joao Paulo de Oliveira,2021-01-01,2000,1500
Dillon Battistini,2021-01-01,2000,1500
Mario Romancini,2021-01-01,2000,1500
Milka Duno,2021-01-01,2000,1500
Mario Moraes,2021-01-01,2000,1500
Sarah Fisher,2021-01-01,2000,1500
Adam Carroll,2021-01-01,2000,1500
Roger Yasukawa,2021-01-01,2000,1500
Darren Manning,2021-01-01,2000,1500
Robert Doornbos,2021-01-01,2000,1500
Stanton Barrett,2021-01-01,2000,1500
Scott Sharp,2021-01-01,2000,1500
A.J. Foyt IV,2021-01-01,2000,1500
Nelson Philippe,2021-01-01,2000,1500
Jaques Lazier,2021-01-01,2000,1500
Richard Antinucci,2021-01-01,2000,1500
Kosuke Matsuura,2021-01-01,2000,1500
Franck Perera,2021-01-01,2000,1500
Enrique Bernoldi,2021-01-01,2000,1500
Marty Roth,2021-01-01,2000,1500
Mario Dominguez,2021-01-01,2000,1500
David Martinez,2021-01-01,2000,1500
Jimmy Vasser,2021-01-01,2000,1500
Alex Figge,2021-01-01,2000,1500
Antonio Pizzonia,2021-01-01,2000,1500
Roberto Moreno,2021-01-01,2000,1500
Juho Annala,2021-01-01,2000,1500
Jaime Camara,2021-01-01,2000,1500
Jeff Simmons,2021-01-01,2000,1500
Felix Rosenqvist,2021-01-01,2000,1500
Ben Hanley,2021-01-01,2000,1500
Marcus Ericsson,2021-01-01,2000,1500
Oliver Askew,2021-01-01,2000,1500
Rinus VeeKay,2021-01-01,2000,1500
Alex Palou,2021-01-01,2000,1500
A.J. Foyt IV,2008-03-29,2008,1514.60793164869
Bruno Junqueira,2008-03-29,2008,1477.90613538543
Buddy Rice,2008-03-29,2008,1505.55161297904
Dan Wheldon,2008-03-29,2008,1528.16088737804
Danica Patrick,2008-03-29,2008,1510.09238085785
Darren Manning,2008-03-29,2008,1501.80985316831
E.J. Viso,2008-03-29,2008,1492.2831872731
Ed Carpenter,2008-03-29,2008,1523.27312989947
Enrique Bernoldi,2008-03-29,2008,1490.97240277999
Franck Perera,2008-03-29,2008,1499.21711803072
Helio Castroneves,2008-03-29,2008,1516.93627141907
Hideki Mutoh,2008-03-29,2008,1469.03396725702
Jay Howard,2008-03-29,2008,1481.8642066499
Justin Wilson,2008-03-29,2008,1497.4247828363
Marco Andretti,2008-03-29,2008,1521.83432036619
Mario Moraes,2008-03-29,2008,1496.23254500797
Marty Roth,2008-03-29,2008,1477.83774653147
Milka Duno,2008-03-29,2008,1484.66683827279
Oriol Servia,2008-03-29,2008,1503.22724419468
Ryan Briscoe,2008-03-29,2008,1479.89370873301
Ryan Hunter-Reay,2008-03-29,2008,1515.46750752177
Scott Dixon,2008-03-29,2008,1520.74686880215
Tony Kanaan,2008-03-29,2008,1508.67636871276
Vitor Meira,2008-03-29,2008,1509.6731052493
Will Power,2008-03-29,2008,1472.60987904499
A.J. Foyt IV,2008-04-06,2008,1523.3251776967
Bruno Junqueira,2008-04-06,2008,1457.16733492576
Buddy Rice,2008-04-06,2008,1503.5311194063
Dan Wheldon,2008-04-06,2008,1528.12283477796
Danica Patrick,2008-04-06,2008,1520.82496983283
Darren Manning,2008-04-06,2008,1503.28332675446
E.J. Viso,2008-04-06,2008,1518.63691234497
Ed Carpenter,2008-04-06,2008,1514.57470309301
Enrique Bernoldi,2008-04-06,2008,1514.73909029674
Franck Perera,2008-04-06,2008,1484.99293831015
Graham Rahal,2008-04-06,2008,1531.46924514147
Helio Castroneves,2008-04-06,2008,1538.80360097192
Hideki Mutoh,2008-04-06,2008,1489.69192719199
Jay Howard,2008-04-06,2008,1484.190490175
Justin Wilson,2008-04-06,2008,1503.23203299331
Marco Andretti,2008-04-06,2008,1493.69617148157
Mario Moraes,2008-04-06,2008,1493.17020242953
Marty Roth,2008-04-06,2008,1454.87237496956
Oriol Servia,2008-04-06,2008,1515.47225801067
Ryan Briscoe,2008-04-06,2008,1451.00815773482
Ryan Hunter-Reay,2008-04-06,2008,1501.79235186349
Scott Dixon,2008-04-06,2008,1500.06213228777
Tony Kanaan,2008-04-06,2008,1524.71927660997
Townsend Bell,2008-04-06,2008,1485.51715255468
Vitor Meira,2008-04-06,2008,1498.82309105101
Will Power,2008-04-06,2008,1479.61428882157
A.J. Foyt IV,2008-04-20,2008,1508.3119234575
Buddy Rice,2008-04-20,2008,1498.58715290828
Dan Wheldon,2008-04-20,2008,1538.01888702446
Danica Patrick,2008-04-20,2008,1539.69769653562
Darren Manning,2008-04-20,2008,1509.24378165105
Ed Carpenter,2008-04-20,2008,1521.40066605134
Helio Castroneves,2008-04-20,2008,1550.7392589385
Hideki Mutoh,2008-04-20,2008,1487.62432148392
Jay Howard,2008-04-20,2008,1477.48070307792
Marco Andretti,2008-04-20,2008,1469.58407783702
Marty Roth,2008-04-20,2008,1440.99540510424
Roger Yasukawa,2008-04-20,2008,1491.39963406214
Ryan Briscoe,2008-04-20,2008,1456.52249084207
Ryan Hunter-Reay,2008-04-20,2008,1510.5577761669
Scott Dixon,2008-04-20,2008,1511.98283250089
Tony Kanaan,2008-04-20,2008,1532.54884873217
Townsend Bell,2008-04-20,2008,1487.28593032497
Vitor Meira,2008-04-20,2008,1484.85747175404
Alex Figge,2008-04-20,2008,1493.75636449064
Alex Tagliani,2008-04-20,2008,1503.55625729371
Antonio Pizzonia,2008-04-20,2008,1488.96178365139
Bruno Junqueira,2008-04-20,2008,1456.14245550365
David Martinez,2008-04-20,2008,1508.84903445756
E.J. Viso,2008-04-20,2008,1523.08590496628
Enrique Bernoldi,2008-04-20,2008,1529.5113192904
Franck Montagny,2008-04-20,2008,1518.95578918783
Franck Perera,2008-04-20,2008,1493.4368016909
Graham Rahal,2008-04-20,2008,1525.25588603394
Jimmy Vasser,2008-04-20,2008,1503.39796639786
Juho Annala,2008-04-20,2008,1484.344833368
Justin Wilson,2008-04-20,2008,1475.18105322056
Mario Dominguez,2008-04-20,2008,1521.26135658106
Mario Moraes,2008-04-20,2008,1472.51789563203
Nelson Philippe,2008-04-20,2008,1486.74396872772
Oriol Servia,2008-04-20,2008,1530.89939102346
Paul Tracy,2008-04-20,2008,1495.05057167364
Roberto Moreno,2008-04-20,2008,1487.29498181468
Will Power,2008-04-20,2008,1500.29068826885
A.J. Foyt IV,2008-04-27,2008,1516.50840517848
Bruno Junqueira,2008-04-27,2008,1462.99174303555
Buddy Rice,2008-04-27,2008,1487.19509892173
Dan Wheldon,2008-04-27,2008,1560.45679121496
Danica Patrick,2008-04-27,2008,1519.45607228086
Darren Manning,2008-04-27,2008,1485.6633142463
E.J. Viso,2008-04-27,2008,1525.25850769997
Ed Carpenter,2008-04-27,2008,1525.84358966835
Enrique Bernoldi,2008-04-27,2008,1505.11204321534
Graham Rahal,2008-04-27,2008,1531.71370180517
Helio Castroneves,2008-04-27,2008,1570.57949292527
Hideki Mutoh,2008-04-27,2008,1509.58435851969
Jaime Camara,2008-04-27,2008,1484.83363093888
Jay Howard,2008-04-27,2008,1483.17779329391
Justin Wilson,2008-04-27,2008,1491.77321645144
Marco Andretti,2008-04-27,2008,1493.83714970774
Mario Moraes,2008-04-27,2008,1471.9758283795
Marty Roth,2008-04-27,2008,1409.59206104614
Milka Duno,2008-04-27,2008,1483.43467479224
Oriol Servia,2008-04-27,2008,1541.16978164783
Ryan Briscoe,2008-04-27,2008,1476.11565609624
Ryan Hunter-Reay,2008-04-27,2008,1501.53094187108
Scott Dixon,2008-04-27,2008,1528.60984368048
Tomas Scheckter,2008-04-27,2008,1470.9668838975
Tony Kanaan,2008-04-27,2008,1561.12755716345
Vitor Meira,2008-04-27,2008,1467.4372811964
Will Power,2008-04-27,2008,1469.75930740339
A.J. Foyt IV,2008-05-25,2008,1506.38876482112
Alex Lloyd,2008-05-25,2008,1481.74690890742
Bruno Junqueira,2008-05-25,2008,1459.12851983758
Buddy Lazier,2008-05-25,2008,1503.96504860821
Buddy Rice,2008-05-25,2008,1513.31385252131
Dan Wheldon,2008-05-25,2008,1558.54616813337
Danica Patrick,2008-05-25,2008,1497.00550465524
Darren Manning,2008-05-25,2008,1505.77086391452
Davey Hamilton,2008-05-25,2008,1508.81763486566
E.J. Viso,2008-05-25,2008,1509.29652884867
Ed Carpenter,2008-05-25,2008,1555.52193270959
Enrique Bernoldi,2008-05-25,2008,1516.72575442233
Graham Rahal,2008-05-25,2008,1490.45446756339
Helio Castroneves,2008-05-25,2008,1590.27129125813
Hideki Mutoh,2008-05-25,2008,1532.96941962343
Jaime Camara,2008-05-25,2008,1456.74705351447
Jeff Simmons,2008-05-25,2008,1475.11961945829
John Andretti,2008-05-25,2008,1505.72507202219
Justin Wilson,2008-05-25,2008,1468.4135186329
Marco Andretti,2008-05-25,2008,1523.00941859681
Mario Moraes,2008-05-25,2008,1475.19191824165
Marty Roth,2008-05-25,2008,1384.13830231999
Milka Duno,2008-05-25,2008,1485.24260568652
Oriol Servia,2008-05-25,2008,1558.18250525765
Ryan Briscoe,2008-05-25,2008,1454.15426946985
Ryan Hunter-Reay,2008-05-25,2008,1531.07909998635
Sarah Fisher,2008-05-25,2008,1469.9718163944
Scott Dixon,2008-05-25,2008,1553.5387347083
Tomas Scheckter,2008-05-25,2008,1454.19474577083
Tony Kanaan,2008-05-25,2008,1521.10074858333
Townsend Bell,2008-05-25,2008,1506.21737729518
Vitor Meira,2008-05-25,2008,1502.3191085357
Will Power,2008-05-25,2008,1485.54428814455
A.J. Foyt IV,2008-06-01,2008,1500.82278549394
Bruno Junqueira,2008-06-01,2008,1453.42662424483
Buddy Rice,2008-06-01,2008,1525.27160636052
Dan Wheldon,2008-06-01,2008,1576.94571514481
Danica Patrick,2008-06-01,2008,1511.27634725205
Darren Manning,2008-06-01,2008,1510.90067058825
E.J. Viso,2008-06-01,2008,1525.97577222838
Ed Carpenter,2008-06-01,2008,1541.41742576457
Enrique Bernoldi,2008-06-01,2008,1508.42929760367
Graham Rahal,2008-06-01,2008,1455.27252335751
Helio Castroneves,2008-06-01,2008,1602.61802106285
Hideki Mutoh,2008-06-01,2008,1536.98488076759
Jaime Camara,2008-06-01,2008,1437.05095563865
John Andretti,2008-06-01,2008,1495.0658721038
Justin Wilson,2008-06-01,2008,1490.55925515179
