Driver,Rounds
Charlie Kimball,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Tony Kanaan,"1,5,6,8,9"
Dalton Kellett,"2,3,4,7,11,12,13"
Sebastian Bourdais,"10,14"
Zach Veach,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Alexander Rossi,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Ryan Hunter-Reay,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
James Hinchcliffe,"1,2,8"
Colton Herta,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Marco Andretti,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Patricio O'Ward,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Oliver Askew,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Fernando Alonso,8
Conor Daly,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Max Chilton,"2,3,4,7,8,10,11,12,13,14"
Marcus Ericsson,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Scott Dixon,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Felix Rosenqvist,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Alex Palou,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Santino Ferrucci,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Ed Carpenter,"1,5,6,8,9"
Rinus VeeKay,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Jack Harvey,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Graham Rahal,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Takuma Sato,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Spencer Pigot,"2,8"
Josef Newgarden,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Helio Castroneves,8
Will Power,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Simon Pagenaud,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
RC Enerson,8
