0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
6,6,6,6,6,6,20,20,20,20,20,6,6,6,6,6,6,6,6,6,6,6,6,6,6,18,18,18,18,18,18,18,18,18,18,18,18,18,18,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,27,27,27,18,18,18,18,18,18,18,18,18,18,18,18,18,18,6,6,6,6,6,27,27,28,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,18,18
12,4,20,20,20,20,6,6,6,6,6,20,20,27,27,27,27,27,27,27,27,27,27,20,20,21,21,21,21,21,21,21,21,21,21,6,6,6,6,18,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,5,18,18,15,15,6,6,6,6,6,6,6,6,6,6,6,6,27,27,27,27,27,28,28,6,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,15,15
4,20,4,4,4,4,4,27,27,27,27,4,27,20,20,20,20,20,20,20,20,20,20,27,18,6,6,6,6,6,6,6,6,6,6,21,27,27,27,27,98,98,98,98,98,98,98,98,98,98,98,98,5,5,5,5,5,5,5,5,6,15,15,6,6,15,15,15,15,15,15,15,15,15,15,27,27,5,5,5,5,28,6,6,27,28,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,5,27
20,30,5,5,5,5,27,4,4,4,4,27,4,4,4,30,30,30,30,30,30,30,18,18,21,19,19,19,19,19,19,19,19,19,27,27,19,19,19,98,18,18,5,5,5,5,5,5,5,5,5,5,28,28,28,28,28,28,88,18,18,6,6,10,10,10,10,27,27,27,27,27,27,27,27,15,15,15,28,28,28,5,18,18,18,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,27,5
30,5,30,30,30,30,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,88,21,21,19,60,60,60,27,27,27,27,27,27,19,19,60,60,98,19,19,19,28,28,28,28,28,28,28,28,28,28,21,21,21,21,21,21,28,15,15,10,10,27,27,27,27,10,5,5,5,5,5,5,5,5,5,28,18,18,18,18,15,15,15,15,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,28,28
28,9,9,27,27,27,30,30,30,30,30,30,30,30,30,9,9,9,9,9,9,22,19,19,60,15,15,27,60,60,60,60,60,60,60,60,98,98,60,15,15,15,21,21,21,21,21,21,21,21,21,21,14,14,88,88,88,88,18,10,10,5,5,5,5,5,5,5,10,10,10,10,10,10,10,10,10,18,98,12,12,15,5,5,5,5,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,9,9
5,22,27,22,22,22,22,22,22,22,22,9,9,9,9,88,88,88,88,88,88,14,22,60,15,27,27,15,15,15,15,15,15,15,98,98,15,15,15,5,5,5,14,14,14,14,14,14,14,14,14,14,12,12,26,18,18,18,15,19,19,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,12,15,15,14,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,1,1
88,27,22,88,88,88,9,9,9,9,9,88,88,88,88,22,22,22,22,22,22,18,60,15,27,26,26,26,26,26,20,20,20,20,15,15,5,5,5,12,28,28,15,12,12,12,12,12,12,12,12,12,88,88,18,15,15,15,10,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,15,14,14,12,10,1,1,1,1,1,1,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10
9,88,88,9,9,9,88,88,88,88,88,22,22,22,22,98,98,98,14,14,14,5,15,26,26,20,20,20,9,20,9,9,9,9,30,5,1,1,1,28,21,21,12,88,88,88,88,88,88,88,88,88,22,26,15,10,10,10,19,1,1,19,19,19,19,28,28,28,28,28,28,28,28,28,28,28,28,1,14,9,10,10,88,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98,98
14,10,10,10,10,10,1,1,1,1,98,98,98,98,98,14,14,14,10,1,18,9,26,32,9,9,9,9,20,9,26,98,98,98,5,1,12,12,12,21,12,14,88,22,22,22,22,22,22,22,22,22,30,18,10,19,19,19,9,28,28,28,28,28,28,19,19,19,19,19,98,98,98,98,98,98,98,98,9,98,88,88,22,22,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
22,12,12,12,1,1,98,98,98,98,1,10,14,14,14,10,10,10,1,18,19,21,30,9,32,32,32,98,98,98,98,30,30,30,9,12,10,10,10,10,14,12,22,30,30,30,30,30,30,30,30,30,98,15,12,9,9,9,1,98,98,98,98,98,98,98,98,98,98,98,19,19,12,12,12,12,12,12,10,10,22,22,1,12,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,14,14
27,1,1,1,12,26,10,10,10,10,10,14,10,10,10,1,1,1,28,19,21,19,32,98,98,98,98,32,30,30,30,5,5,5,1,10,28,28,28,14,10,10,30,26,26,26,26,26,26,26,26,26,26,10,19,1,1,1,98,12,12,12,12,12,12,12,12,12,12,12,12,12,19,14,14,14,14,14,88,88,30,1,9,98,21,21,21,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,30,30
1,26,26,26,26,21,21,14,14,14,14,1,1,1,1,28,28,28,18,21,60,60,9,30,30,30,30,30,5,5,5,1,1,1,12,28,14,14,14,88,88,88,26,59,59,59,18,18,18,18,18,18,18,19,9,26,98,98,12,88,14,14,14,14,14,14,14,14,14,14,14,14,14,19,19,19,19,88,22,22,9,9,12,14,14,14,14,21,21,21,21,21,21,21,21,88,88,88,88,88,88,88,88,88,88,88,88,88,88,22,22
18,21,21,21,21,98,26,26,28,28,28,28,28,28,28,18,18,18,19,59,15,15,98,5,5,5,5,5,1,1,1,12,12,12,10,14,88,88,88,22,22,22,10,18,18,18,59,15,15,15,15,15,15,9,1,98,12,12,21,14,21,21,21,21,21,21,21,21,21,21,21,88,88,88,88,88,88,22,30,30,1,98,98,21,88,88,88,88,88,88,88,88,88,88,88,22,22,22,22,22,22,22,22,22,30,30,30,30,30,88,88
26,60,60,98,98,15,15,28,26,59,59,18,18,18,18,19,19,19,21,60,26,26,5,10,10,10,10,10,12,12,12,10,10,10,28,88,22,22,22,30,30,30,59,15,15,15,15,59,10,10,10,10,10,22,14,12,14,14,14,21,88,88,88,88,88,88,88,88,88,88,88,22,22,22,22,22,22,30,1,1,98,26,26,88,22,22,22,22,22,22,22,22,22,22,22,30,30,30,30,30,30,30,30,30,22,22,22,22,22,21,
21,19,98,60,15,59,14,59,59,18,18,19,19,19,19,12,12,21,59,15,1,32,1,1,1,1,1,12,10,10,10,28,28,28,14,22,21,26,26,26,26,26,9,19,19,19,10,10,19,19,19,19,19,1,98,14,32,32,22,22,22,22,22,22,22,22,22,22,22,22,22,30,30,30,30,30,30,26,26,26,26,21,21,30,30,30,30,30,30,30,30,30,30,30,30,19,19,19,19,19,19,19,19,19,19,19,19,21,21,26,
10,98,19,19,59,14,28,18,18,19,19,59,12,12,12,21,21,59,60,26,32,98,14,12,12,12,12,1,28,28,28,14,14,14,22,26,26,21,21,59,9,9,18,10,10,10,19,19,59,9,9,9,9,59,32,32,22,22,32,30,30,30,30,30,30,30,30,30,30,30,30,32,32,32,26,26,26,21,21,21,21,30,30,26,19,19,19,19,19,19,19,19,19,19,19,21,26,26,26,26,26,21,21,21,21,21,21,26,26,19,
98,23,15,15,14,18,59,19,19,60,60,12,59,59,21,59,59,60,98,10,98,1,10,28,28,28,28,28,32,32,14,22,22,22,26,59,59,59,59,9,59,59,1,1,1,1,1,9,9,1,1,1,1,98,22,22,30,30,30,32,32,26,26,26,26,26,32,32,32,32,32,26,26,26,21,21,21,19,59,59,19,19,19,19,26,26,26,26,26,26,26,26,26,26,26,26,21,21,21,21,21,26,26,26,26,26,26,19,19,,
60,15,59,59,28,28,18,60,60,12,12,60,60,21,59,60,60,15,15,28,10,10,12,14,14,14,14,14,14,14,22,59,59,59,59,32,32,32,30,32,32,32,19,9,9,9,9,1,1,59,59,59,59,32,30,30,26,26,26,26,26,32,32,32,32,32,26,26,26,26,26,21,21,21,59,59,59,59,19,19,59,59,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,59,59,59,59,59,59,59,59,59,,
