0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,12,12,12,20,30,30,10,10,10,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,20,20,20,12,27,27,9,9,9,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,20,20,2,27,27,27,27,9,9,9,9,9,10,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,27,27,27,27,27,27,27,27,27,9,9,9,9,9,22,22,22,22,22,22,22,22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,19,12,12,12,30,21,21,21,21,27,27,27,27,27,27,22,22,22,22,22,22,22,22,22,22,22,27,22,22
20,20,20,20,20,20,20,20,20,20,20,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,20,20,20,21,9,9,22,22,22,22,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,20,20,12,12,12,27,12,9,22,22,22,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2,2,27,18,18,9,9,15,15,10,10,10,9,22,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,20,20,20,20,2,2,18,9,9,19,19,19,19,22,20,20,20,20,20,20,20,2,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,20,20,20,25,12,30,30,30,21,30,27,27,27,21,22,22,22,22,22,27,27,27,27,27,27,27,27,27,27,27,22,27,27
21,12,12,12,12,12,12,12,12,12,12,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,27,20,10,24,24,12,12,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,12,12,2,2,27,18,9,60,10,10,10,20,20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,27,27,18,25,9,15,15,10,10,5,60,60,22,27,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2,2,2,2,18,18,9,19,19,10,10,10,10,20,2,2,2,2,2,2,2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,27,25,25,19,20,21,21,21,12,27,22,22,22,22,20,20,20,20,20,20,2,2,2,30,30,30,30,30,30,30,30,30,30
63,21,21,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2,2,27,33,21,24,12,12,20,20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,27,27,18,20,18,15,20,20,20,2,2,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,18,18,25,9,7,19,10,27,5,15,22,22,27,20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,18,18,18,25,25,19,7,10,14,14,14,26,2,18,18,18,18,18,18,18,18,18,25,25,25,25,25,25,25,25,25,25,27,27,27,27,27,27,25,18,23,28,30,60,22,22,22,22,20,20,20,20,2,2,2,2,2,2,30,30,30,2,2,2,2,2,2,2,2,2,2
88,2,2,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,27,27,18,30,27,22,20,20,2,2,18,18,18,18,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,18,18,63,63,15,22,2,2,2,27,27,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,25,25,9,7,15,14,4,4,60,60,20,20,20,2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,25,25,25,25,20,9,7,10,14,26,26,26,5,18,27,27,27,27,27,27,25,25,25,18,18,18,18,18,18,27,27,27,27,25,25,25,25,25,25,18,15,19,12,25,19,27,27,27,20,2,2,2,2,30,30,30,30,30,30,20,20,20,20,20,20,20,20,12,12,12,12,12
12,88,88,88,63,63,63,63,63,63,63,18,18,18,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,18,18,63,3,42,12,2,2,18,18,27,27,27,27,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,22,63,25,9,19,10,27,27,27,18,18,12,12,12,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,25,25,25,21,21,7,15,19,10,5,5,22,22,2,2,2,18,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,22,9,9,9,9,19,10,14,26,5,5,5,63,27,25,25,25,25,25,25,27,27,27,27,27,27,27,27,27,18,18,18,18,18,18,18,18,18,18,15,23,28,30,21,22,20,20,20,2,25,25,25,30,25,25,25,25,25,28,12,12,12,12,12,12,12,12,20,20,20,20,20
18,27,27,27,18,18,18,18,18,18,27,27,27,27,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,63,63,33,9,33,20,18,18,27,27,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,25,7,14,5,20,18,18,18,12,12,21,21,21,9,9,25,9,9,25,25,25,25,25,25,25,25,25,25,25,25,25,21,21,21,9,9,15,19,14,4,63,60,20,20,18,27,18,25,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,19,19,19,19,7,14,18,5,63,63,63,22,25,28,28,28,28,28,28,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,19,5,21,60,27,2,2,2,25,30,30,30,25,19,19,19,19,19,19,28,28,28,28,28,28,28,28,28,28,28,19,19
2,63,63,63,27,27,27,27,27,27,18,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,33,33,25,19,3,2,27,27,21,21,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,7,9,15,4,2,12,12,12,21,21,9,9,9,7,7,9,25,25,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,19,14,23,18,12,63,2,2,27,18,25,7,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,28,25,23,63,22,22,22,14,63,15,15,15,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,19,28,12,60,28,20,18,18,18,19,9,9,9,9,28,28,28,28,28,25,19,19,19,19,19,19,19,19,19,19,19,28,28
27,18,18,18,25,25,25,25,25,25,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,25,25,30,12,10,18,21,21,63,63,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,9,14,19,42,18,24,21,21,9,9,7,7,7,25,25,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,15,15,14,28,10,5,14,12,18,18,25,25,7,9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,28,28,28,28,10,23,26,22,4,4,20,20,28,9,9,9,15,15,15,28,28,28,28,28,28,28,28,28,28,19,19,19,19,19,19,19,19,19,28,5,30,2,22,2,15,15,15,9,19,19,19,19,12,12,12,12,12,12,25,25,25,25,14,14,14,14,14,14,14,14,14
98,25,25,25,3,3,3,3,3,3,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,30,30,3,15,15,27,63,63,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14,15,5,60,19,21,7,7,7,7,25,25,25,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,19,19,28,23,4,63,60,22,27,27,5,7,19,19,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,15,15,15,15,14,12,5,4,20,20,2,2,15,10,10,10,9,9,9,9,19,19,19,19,19,19,19,19,19,28,28,28,28,28,28,28,28,28,9,10,21,23,27,18,25,25,25,28,28,28,28,28,9,21,21,21,21,5,14,14,14,14,25,25,25,25,25,25,25,25,25
