0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,12,12,2,30,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,27,2,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,27,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2,15,30,88,12,12,12,12,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15,22,88,27,9,9,9,9,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12,15,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,9,9,9,9
22,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,22,30,15,12,15,15,15,15,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,22,22,28,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28,28,28,28
15,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,22,9,88,22,9,28,28,28,28,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,12,15,9,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
28,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,30,30,59,27,15,22,22,22,22,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,10,28,22,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,88,88,27,9,28,30,30,30,30,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,30,10,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
31,31,31,31,31,31,31,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,10,19,4,28,22,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,18,30,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
88,88,88,88,88,88,88,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,28,31,9,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,18,28,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
98,10,10,10,10,10,10,98,98,98,98,98,98,18,18,18,18,18,18,18,18,18,18,18,18,19,59,28,5,5,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,5,59,59,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
10,98,98,98,98,98,98,31,18,18,18,18,18,98,19,19,19,19,19,19,19,19,19,19,19,18,4,31,59,18,20,20,20,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,98,98,98,98,31,5,4,20,20,98,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,
19,19,19,19,19,19,19,18,31,19,19,19,19,19,98,98,98,5,5,5,5,5,5,5,98,31,10,10,18,20,88,88,88,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,31,31,31,31,59,4,18,59,98,31,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,
18,18,18,18,18,18,18,19,19,5,5,5,5,5,5,5,5,98,98,98,98,98,98,98,31,59,28,5,4,98,98,98,98,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,88,26,26,59,4,31,20,4,31,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,59,59,59,
5,5,5,5,5,5,5,5,5,20,31,31,31,31,31,31,31,31,31,31,31,31,31,31,5,4,5,18,20,31,31,31,31,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,59,59,4,98,20,98,98,26,20,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,4,4,4,
59,59,59,59,20,20,20,20,20,31,14,14,26,26,26,26,26,26,26,26,26,26,26,26,59,98,18,20,98,26,26,26,26,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,4,4,26,20,98,31,31,59,59,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20,20,20,
20,20,20,20,14,14,14,14,14,14,26,26,59,59,59,59,59,59,59,59,59,59,59,59,4,5,20,19,31,59,59,59,59,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20,20,20,26,26,26,26,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,26,26,26,
60,14,14,14,26,26,26,26,26,26,59,59,4,4,4,4,4,4,4,4,4,4,4,4,26,20,98,98,26,14,14,14,14,4,4,4,14,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,14,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,
7,26,26,26,59,59,59,59,59,59,4,4,14,20,20,20,20,20,20,20,20,20,20,20,20,26,26,26,14,4,4,4,4,20,20,20,20,14,14,14,14,14,14,14,14,14,14,21,21,21,21,14,14,14,14,14,21,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,
4,4,4,4,4,4,4,4,4,4,20,20,20,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,21,7,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,14,14,14,14,7,7,7,7,19,19,19,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,
