0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,9,9,9,9,10,18,18,18,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,88,12,12,12,18,4,9,9,12,12,12,12,12,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
9,60,60,60,60,60,60,60,60,60,60,60,60,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,27,27,27,4,59,12,12,10,10,10,10,10,10,10,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2,18,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
60,12,12,12,12,12,12,12,12,12,12,12,12,60,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,10,10,10,2,10,10,10,27,27,27,27,27,27,27,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,88,88,88,88,88,2,18,27,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
10,28,28,28,28,28,28,28,28,28,28,28,28,28,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,88,2,2,9,9,27,27,2,2,2,2,2,2,2,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,2,2,2,2,2,21,27,88,18,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
28,27,27,27,27,27,27,27,27,27,27,27,27,27,14,14,14,14,98,98,98,98,98,98,98,98,98,98,98,98,21,21,21,21,21,21,21,2,2,21,98,59,12,2,2,19,88,88,88,88,88,88,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,21,21,98,88,2,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
27,10,10,10,10,10,10,10,10,10,10,10,10,10,98,98,98,98,14,14,14,2,2,2,2,2,2,2,21,21,98,98,98,2,2,2,2,21,21,98,18,12,27,19,19,88,98,98,98,98,98,98,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,98,98,18,4,19,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
5,19,19,19,19,19,19,19,19,23,14,14,14,14,23,23,23,23,23,23,2,14,14,14,14,14,21,21,2,2,2,2,2,98,98,98,98,98,98,18,4,27,2,88,88,98,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,88,19,21,22,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,4,4,4,4
7,14,14,14,14,14,14,14,14,14,23,23,23,98,2,2,2,2,2,2,4,4,21,21,21,21,14,14,14,14,18,18,18,18,18,18,18,18,18,4,59,98,19,98,98,22,14,14,21,21,21,21,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,18,18,18,4,21,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,18,18,18,18
21,98,98,98,98,98,98,98,98,98,98,98,98,23,22,22,22,22,4,4,21,21,4,18,18,18,18,18,18,18,4,4,4,4,22,22,22,22,4,59,20,19,98,22,22,14,21,21,14,14,14,23,14,14,14,14,14,18,18,18,18,18,18,18,18,18,18,18,18,23,23,23,19,98,23,19,14,14,14,14,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,23,23,23,23
26,18,18,18,18,18,18,18,18,2,2,2,2,2,4,4,4,4,22,18,18,18,18,4,4,4,4,4,4,4,22,22,22,22,4,4,4,4,23,88,21,88,88,4,14,21,23,23,23,23,23,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,59,22,4,14,4,4,4,4,4,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,59,59,59,59,59,59,59,59,59,
18,23,23,23,23,23,23,23,23,18,19,22,22,22,59,59,59,59,18,22,23,23,23,23,23,23,23,23,23,22,23,23,23,23,23,23,23,23,59,20,19,20,22,14,21,23,4,4,4,4,4,4,18,18,18,18,18,59,59,59,59,59,59,59,59,59,59,59,59,59,59,19,22,23,14,4,19,19,19,19,19,19,59,59,59,59,59,59,59,59,59,59,59,59,59,59,14,14,14,14,14,14,14,14,14,
2,4,4,4,4,4,4,4,2,19,18,18,59,59,18,18,18,18,59,21,22,22,22,22,22,22,22,22,22,23,59,59,59,59,59,59,59,59,20,19,88,22,14,21,23,4,18,18,18,18,18,18,59,59,59,59,59,19,19,19,19,19,19,19,19,19,19,19,19,19,19,59,23,14,59,59,59,59,59,59,59,59,14,14,14,14,14,14,14,14,14,14,14,14,14,14,98,98,98,98,98,98,98,98,98,
19,20,20,20,20,20,20,20,4,22,22,59,18,4,21,21,21,21,21,59,59,59,59,59,59,59,59,19,59,59,20,20,20,20,20,20,20,20,22,22,22,14,21,23,4,18,59,59,59,59,59,59,19,19,19,19,19,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,59,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,20,20,20,20,20,20,20,20,20,
15,30,59,59,59,59,59,59,20,4,4,4,4,18,20,20,20,20,20,20,20,20,20,19,19,19,19,59,20,20,14,14,14,14,19,19,19,19,19,23,14,21,23,59,59,59,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,30,30,30,30,30,30,30,,
98,59,21,21,21,21,21,21,59,59,59,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,19,19,19,19,19,19,14,14,14,14,14,14,23,23,20,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,9,9,9,9,9,9,,,
30,21,2,2,2,2,2,2,22,20,20,21,21,21,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,,,,,,,,
22,2,22,22,22,22,22,22,21,21,21,20,20,20,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,
