0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,60,15,15,15,15,15,15,15,15,15,12,12,12,12,12,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15,15,9,9,9,9,9,9,9,45,8,1,1,1,1,26,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,15,20,20,20,20,45,45,45,45,12,1,1,1,1,1,1,1,1,1,1,1,15,45,45,45,45,45,45,9,9,9,15,15,15,15,15,15,45,9,1,29,26,26,26,9,26,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
88,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12,45,45,45,45,20,20,20,20,1,60,60,60,60,60,60,60,60,60,60,60,1,20,20,20,9,9,9,45,45,45,45,45,45,45,45,45,88,88,88,26,9,9,9,1,15,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
15,88,88,88,88,88,88,88,88,88,88,88,88,88,88,20,20,20,18,18,18,18,18,18,18,18,60,15,15,15,15,15,15,15,15,15,15,15,45,9,9,9,88,88,88,88,88,88,88,88,88,88,88,88,21,8,29,8,15,15,15,15,22,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
7,1,1,1,1,1,1,1,1,1,1,1,1,1,20,7,7,45,60,24,12,12,12,12,12,12,9,9,9,9,9,9,9,27,7,59,59,59,20,88,88,88,20,21,21,21,21,21,21,21,21,21,21,21,8,29,26,9,45,45,45,22,88,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
1,9,9,9,9,9,9,9,9,9,20,20,20,20,7,88,45,18,24,12,1,1,1,1,1,1,88,88,88,88,88,88,88,8,59,45,45,45,9,21,21,21,21,20,20,22,22,22,22,22,22,22,22,22,5,1,30,14,22,22,22,88,21,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
9,7,20,20,20,20,20,20,20,20,7,7,7,7,59,45,18,24,12,1,60,60,60,60,60,60,45,21,21,21,21,27,27,7,45,20,20,20,88,27,18,18,18,22,22,20,20,20,20,20,20,20,20,5,12,26,45,59,88,88,88,45,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,20,7,7,7,7,7,7,7,7,59,59,59,59,28,18,24,7,1,60,88,88,88,9,9,9,21,27,27,27,27,5,8,9,8,30,26,9,59,18,22,22,22,18,5,5,5,5,5,5,5,5,5,8,29,30,14,15,21,21,21,21,45,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,28,28,28,59,59,59,59,59,59,28,28,28,28,45,24,14,1,88,88,9,9,9,88,88,88,20,5,5,5,5,8,7,59,27,26,9,88,21,22,5,5,5,5,18,29,29,29,29,29,29,29,8,29,1,14,9,45,59,8,8,8,1,45,45,20,20,20,20,18,18,18,18,18,18,18,18,18,18,18,18
59,59,59,59,28,28,28,28,28,28,45,45,45,45,18,59,1,14,14,9,14,21,21,21,21,21,27,8,8,8,8,7,59,88,20,9,88,21,27,5,29,29,29,29,29,8,8,8,8,8,8,8,29,12,60,12,59,22,29,20,20,5,5,20,20,18,18,18,18,20,20,20,20,20,20,30,30,30,30,30,30
27,27,27,27,27,45,45,45,45,45,27,18,18,18,1,28,88,88,9,14,21,27,27,27,27,27,5,7,7,7,7,10,45,45,30,88,21,26,18,29,8,8,8,8,8,18,12,12,12,12,12,12,12,1,26,59,55,88,8,5,5,20,20,18,18,26,26,26,26,26,30,30,30,30,30,20,29,29,29,29,29
28,18,18,45,45,27,27,27,27,27,18,24,24,24,24,14,9,9,21,21,27,14,14,5,5,5,8,10,10,10,10,59,28,20,26,21,27,27,22,98,98,98,98,98,12,12,18,1,1,1,1,1,1,60,22,21,15,21,20,60,60,60,60,60,26,30,30,30,30,30,29,29,29,29,29,29,20,20,20,20,20
