0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,27,27,27,27,27,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,88,88,88,88,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,15,15,15,15,88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,21,12,12,12,55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,20,20,20,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,20,27,15,88,88,88,88,15,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1,88,15,18,55,55,1,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
20,28,28,28,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,27,15,88,18,18,18,18,21,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,10,28,21,12,55,1,1,27,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
60,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,10,88,18,21,21,21,21,12,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,10,18,18,1,27,27,15,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
27,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,28,10,21,12,12,12,12,1,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,27,60,59,59,27,15,15,28,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,15,15,15,9,9,59,59,59,59,28,15,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,88,55,55,59,28,28,10,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,88,88,88,18,59,55,55,1,1,59,60,8,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,9,1,15,10,10,60,88,88,88,88,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
21,98,98,98,98,98,98,18,18,18,18,18,18,18,88,88,88,9,9,9,21,55,1,1,28,28,8,21,20,9,9,9,9,9,9,9,9,9,9,9,9,88,88,88,88,88,9,5,27,28,60,60,88,21,21,21,21,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
22,21,21,21,21,21,18,98,88,88,88,88,88,88,18,18,9,18,18,18,59,1,26,28,55,8,10,20,9,88,88,88,88,88,88,88,88,88,88,88,88,9,21,21,21,21,5,1,28,10,18,21,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,9
