0,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,,27,28,,29,,,30,31,32,,33,,34,,35,,36,,37,,38,,39,,40,,41,,42,,43,,44,,45,,46,,47,,48,,49,,50,,51,,52,,53,,54,,55,,56,,57,,58,,59,,60,,61,,62,,63,,64,,65,,66,,,67,68,,69,,,70,71,72,,73,,74,,75,,76,,77,,78,,79,,80,,81,,82,,83,,84,,85,,86,,87,,88,,89,,90
30,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,15,,5,,27,,18,,18,,18,,18,,18,,18,,18,,,18,30,,30,,,30,30,30,,30,,30,,30,,30,,9,,5,,27,,27,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,9,,30,,30,,30,,30,,30,,30,,30,,30,,30,,,30,30,,30,,,30,30,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30
15,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,9,,27,,18,,27,,21,,21,,21,,21,,30,,30,,,30,9,,9,,,9,9,9,,9,,9,,9,,9,,5,,27,,30,,30,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,27,,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,9,,9,,,9,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9
9,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,5,,9,,21,,21,,60,,60,,30,,30,,9,,9,,,9,5,,5,,,5,5,5,,5,,5,,5,,5,,27,,9,,5,,18,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,30,,18,,18,,18,,18,,18,,18,,18,,18,,18,,,18,18,,18,,,18,18,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18
5,20,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,27,,18,,60,,60,,30,,30,,9,,9,,21,,21,,,5,27,,27,,,27,27,27,,27,,27,,27,,27,,30,,30,,18,,9,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,18,,5,,5,,5,,5,,5,,5,,5,,5,,27,,,27,27,,27,,,27,27,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,2,,2,,2,,2
18,5,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,18,,21,,5,,30,,9,,9,,60,,60,,5,,5,,,27,60,,2,,,2,2,28,,28,,28,,18,,18,,18,,18,,9,,5,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,5,,27,,27,,27,,27,,27,,27,,27,,27,,5,,,2,2,,2,,,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,27,,27,,27,,27
21,27,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,21,,60,,30,,9,,5,,5,,5,,5,,27,,27,,,21,2,,28,,,28,28,2,,7,,19,,31,,31,,31,,31,,14,,14,,14,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,2,,,5,5,,5,,,5,5,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5
12,18,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,30,,30,,9,,5,,12,,12,,27,,27,,60,,60,,,60,28,,7,,,7,7,7,,19,,18,,28,,14,,14,,14,,21,,28,,28,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,28,,,7,7,,7,,,7,7,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7
27,21,,88,,88,,88,,88,,88,,88,,88,,88,,28,,28,,60,,60,,60,,60,,60,,60,,12,,12,,12,,27,,27,,12,,12,,12,,2,,,2,7,,19,,,19,19,19,,22,,22,,14,,98,,21,,21,,28,,21,,7,,21,,21,,21,,21,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,60,,60,,60,,60,,2,,2,,2,,2,,7,,,28,28,,28,,,28,28,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28
88,88,,28,,28,,28,,28,,12,,12,,12,,12,,60,,60,,31,,31,,31,,31,,31,,31,,2,,2,,2,,2,,2,,2,,2,,2,,28,,,28,18,,22,,,22,22,22,,18,,31,,10,,21,,28,,28,,7,,7,,21,,12,,2,,2,,2,,21,,21,,21,,21,,21,,21,,21,,21,,22,,22,,22,,60,,2,,2,,2,,2,,22,,22,,22,,22,,22,,,22,22,,22,,,22,22,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22
19,12,,12,,12,,12,,12,,28,,28,,28,,28,,22,,31,,28,,14,,14,,14,,14,,14,,28,,28,,28,,28,,28,,28,,28,,28,,7,,,7,19,,18,,,18,18,18,,31,,10,,98,,28,,98,,12,,12,,12,,12,,2,,12,,12,,12,,12,,12,,12,,12,,22,,22,,22,,22,,21,,21,,19,,10,,10,,10,,10,,10,,21,,21,,12,,12,,12,,,12,12,,12,,,12,12,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,10,,10
28,28,,60,,60,,60,,60,,60,,60,,60,,60,,31,,14,,14,,81,,81,,12,,12,,12,,7,,7,,7,,7,,7,,7,,7,,7,,19,,,19,22,,31,,,31,31,31,,10,,14,,21,,12,,12,,7,,2,,2,,2,,22,,22,,22,,22,,22,,22,,22,,22,,15,,15,,15,,15,,15,,15,,10,,19,,19,,19,,19,,19,,12,,12,,14,,14,,14,,,10,10,,10,,,10,10,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,12,,12
60,60,,98,,98,,98,,19,,19,,19,,19,,98,,12,,81,,81,,12,,12,,81,,81,,2,,15,,81,,19,,19,,19,,19,,19,,19,,12,,,22,10,,10,,,10,10,10,,15,,98,,12,,2,,2,,2,,22,,22,,22,,15,,15,,15,,15,,15,,15,,15,,15,,19,,19,,19,,19,,19,,19,,60,,22,,22,,22,,22,,22,,14,,14,,10,,10,,10,,,14,14,,14,,,14,14,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,26,,26,,26,,26,,26,,26,,26
98,98,,19,,19,,19,,98,,98,,98,,98,,22,,4,,12,,12,,2,,2,,2,,2,,28,,81,,19,,81,,22,,22,,22,,22,,22,,22,,,10,31,,15,,,15,15,15,,14,,21,,22,,7,,7,,22,,15,,15,,15,,19,,19,,19,,19,,19,,19,,19,,19,,10,,10,,10,,10,,10,,10,,21,,31,,31,,31,,31,,31,,10,,10,,60,,60,,60,,,60,60,,26,,,26,26,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,60,,60,,60,,60,,60,,60,,60
22,19,,22,,22,,22,,22,,22,,22,,22,,31,,88,,22,,2,,28,,28,,28,,28,,81,,19,,22,,22,,81,,10,,10,,10,,10,,10,,,31,15,,98,,,98,98,98,,98,,7,,4,,22,,22,,15,,31,,19,,19,,10,,10,,10,,10,,10,,10,,31,,31,,60,,60,,60,,60,,60,,60,,12,,21,,21,,21,,21,,21,,60,,60,,26,,26,,26,,,26,26,,60,,,60,60,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,98,,98,,98,,98,,98,,98,,98
4,22,,2,,2,,2,,2,,2,,2,,10,,4,,14,,2,,7,,7,,7,,7,,7,,7,,22,,10,,10,,10,,15,,15,,15,,15,,15,,,15,21,,14,,,14,14,14,,21,,26,,2,,19,,19,,19,,19,,10,,10,,31,,31,,31,,31,,31,,31,,10,,10,,12,,14,,14,,14,,14,,14,,31,,12,,12,,12,,12,,12,,26,,26,,19,,19,,19,,,98,98,,98,,,98,98,98,,98,,98,,98,,98,,98,,98,,98,,98,,98,,98,,98,,19,,19,,19,,19,,19,,19,,19
2,4,,4,,10,,10,,10,,10,,10,,31,,26,,81,,88,,88,,19,,19,,19,,19,,19,,31,,15,,15,,15,,98,,31,,31,,31,,31,,,12,98,,26,,,26,26,26,,2,,59,,19,,15,,15,,10,,10,,31,,31,,60,,60,,60,,60,,60,,60,,60,,60,,14,,59,,59,,59,,59,,59,,14,,14,,14,,14,,14,,14,,19,,19,,98,,98,,98,,,19,19,,19,,,19,19,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,31,,31,,31,,31,,31,,31,,31
10,2,,10,,4,,31,,31,,31,,31,,4,,14,,98,,7,,19,,88,,22,,22,,22,,22,,10,,98,,98,,98,,31,,98,,98,,98,,98,,,98,14,,60,,,21,21,21,,26,,4,,7,,10,,10,,60,,60,,60,,60,,14,,14,,14,,14,,14,,14,,14,,14,,59,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,98,,98,,31,,31,,31,,,31,31,,31,,,31,31,31,,31,,31,,31,,31,,31,,31,,31,,31,,31,,31,,31,,21,,21,,21,,21,,21,,21,,21
31,10,,31,,31,,4,,4,,4,,4,,26,,81,,2,,4,,22,,22,,88,,10,,10,,10,,98,,26,,26,,26,,26,,26,,26,,26,,26,,,14,26,,21,,,4,4,59,,59,,12,,20,,60,,60,,98,,26,,26,,26,,26,,26,,26,,26,,26,,59,,59,,59,,26,,12,,12,,12,,12,,12,,98,,98,,98,,98,,98,,98,,31,,31,,21,,21,,21,,,21,21,,21,,,21,21,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,14,,14,,14,,14,,14,,14,,
14,31,,7,,7,,7,,7,,26,,26,,14,,10,,7,,19,,10,,10,,10,,88,,98,,98,,14,,31,,31,,31,,14,,14,,14,,14,,14,,,26,4,,4,,,59,59,4,,4,,2,,15,,4,,26,,26,,59,,59,,59,,59,,59,,59,,59,,59,,26,,26,,26,,31,,98,,98,,98,,98,,98,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,,20,20,,20,,,20,20,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,
7,7,,14,,26,,26,,26,,14,,14,,81,,19,,19,,10,,98,,98,,98,,98,,88,,26,,26,,4,,4,,14,,4,,4,,4,,4,,4,,,4,59,,59,,,20,12,12,,12,,15,,60,,26,,59,,59,,98,,98,,98,,98,,98,,98,,98,,98,,98,,98,,98,,98,,4,,4,,4,,4,,31,,20,,81,,81,,81,,81,,20,,20,,20,,20,,20,,20,,,81,81,,81,,,81,81,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,4,,4,,4,,4,,
20,14,,26,,14,,14,,14,,59,,59,,20,,2,,26,,98,,4,,26,,26,,26,,26,,88,,4,,14,,14,,4,,59,,59,,59,,59,,59,,,59,20,,20,,,12,20,20,,20,,20,,26,,59,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,31,,31,,31,,31,,4,,81,,20,,20,,20,,20,,81,,81,,81,,81,,81,,81,,,4,4,,4,,,4,4,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,81,,81,,81,,,,
59,26,,59,,59,,59,,59,,81,,81,,2,,7,,10,,26,,26,,4,,4,,4,,4,,4,,88,,59,,59,,59,,20,,20,,20,,20,,20,,,20,12,,12,,,60,60,60,,60,,60,,59,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,,59,59,,59,,,59,59,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,,,
26,59,,20,,81,,81,,81,,20,,20,,59,,20,,59,,59,,59,,59,,59,,59,,59,,59,,59,,20,,20,,20,,88,,88,,88,,88,,88,,,88,88,,88,,,88,81,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,81,,81,,20,,20,,20,,7,,7,,7,,59,,20,,20,,20,,20,,20,,20,,20,,20,,20,,88,,88,,88,,81,,81,,81,,81,,81,,,81,81,,81,,,81,88,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
