0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
2,2,9,9,9,9,9,9,9,9,9,9,9,9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,9,9,9,9,9,9,9,9,9,9,9,7,7,12,12,12,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
27,27,21,21,21,21,21,21,21,21,21,21,21,19,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,5,9,9,7,7,7,7,7,7,7,7,7,7,7,30,30,9,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
26,26,12,12,12,19,19,19,19,19,19,19,19,15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,15,7,7,30,30,30,30,30,30,30,30,30,30,30,9,12,7,7,7,20,20,20,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
88,88,19,19,19,15,15,15,15,15,15,15,15,21,27,27,27,27,27,27,27,27,27,27,27,27,27,5,9,9,9,9,30,30,28,28,28,28,28,28,28,28,28,28,28,98,10,20,20,20,12,12,12,20,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
5,5,15,15,15,59,59,59,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,88,30,7,7,7,28,28,98,98,98,98,98,98,98,98,98,98,98,27,9,30,30,30,28,28,28,28,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
9,9,88,59,59,2,2,2,59,59,59,59,27,27,88,88,88,88,88,88,88,88,88,88,88,88,88,9,7,30,30,30,98,98,15,15,15,15,15,15,15,15,15,15,15,10,27,28,28,28,27,27,27,27,30,30,30,30,30,30,98,98,98,98,98,98,98,98,98,98,98
10,18,59,2,2,27,27,27,27,27,27,27,59,5,7,7,7,10,10,10,10,10,10,10,10,10,9,30,28,28,28,28,5,18,18,18,18,18,18,18,18,18,18,18,27,12,98,27,27,27,30,30,30,30,98,10,10,10,10,10,10,10,10,10,10,15,15,15,15,15,15
31,7,18,27,27,5,5,5,5,5,5,5,5,88,10,10,10,26,26,26,26,26,26,26,26,9,30,7,88,98,98,98,18,15,10,10,10,10,10,10,10,27,27,27,10,15,20,98,98,98,98,98,98,98,10,98,98,98,98,98,15,15,15,15,15,26,26,26,26,26,26
18,30,7,5,5,88,88,88,88,88,88,88,88,18,30,30,30,9,9,9,9,9,9,9,9,30,7,28,98,20,18,18,15,10,27,27,27,27,27,27,27,10,10,10,26,59,28,10,10,10,10,10,10,10,15,15,15,15,15,15,26,26,26,26,26,18,18,18,18,18,18
21,21,30,88,88,18,18,18,18,18,18,18,18,7,98,98,98,7,20,20,20,30,30,30,30,7,28,98,20,18,20,2,2,27,59,59,59,59,59,59,26,26,26,26,12,20,15,15,15,15,15,15,15,15,26,26,26,26,26,26,18,18,18,18,18,88,88,88,88,19,19
12,12,10,18,18,7,7,7,7,7,7,7,7,10,28,28,28,20,7,7,7,7,7,7,7,28,98,20,2,59,59,27,27,59,26,26,26,26,26,26,59,12,12,12,59,28,26,26,26,26,26,26,26,26,18,18,18,18,18,18,88,88,88,88,88,19,19,19,19,31,31
7,19,2,7,7,10,10,10,10,10,10,10,10,30,9,26,26,30,30,30,30,28,28,28,28,98,10,18,18,2,2,59,10,26,12,12,12,12,12,12,12,88,88,88,18,26,18,18,18,18,18,18,18,18,20,88,88,88,88,88,19,19,19,19,19,31,31,31,31,88,88
20,28,20,10,10,26,26,26,30,30,30,30,30,98,26,9,9,12,28,28,28,98,98,12,98,20,20,27,59,27,27,10,59,12,88,88,88,88,88,88,88,59,19,59,88,18,88,88,88,88,88,88,88,88,88,19,59,19,19,19,31,31,31,31,31,20,20,20,20,20,30
22,10,27,26,26,30,30,30,26,98,98,98,98,26,18,20,20,28,98,98,98,12,12,98,20,18,18,59,27,10,10,20,26,88,20,20,20,19,19,19,19,19,59,20,20,88,59,19,19,19,19,19,19,19,19,59,19,20,20,20,20,20,20,20,20,59,59,59,30,30,20
28,98,5,30,30,28,28,28,98,26,26,26,26,28,20,59,59,98,59,12,12,20,20,20,59,59,59,10,10,26,26,26,12,20,19,19,19,20,20,20,20,20,20,19,19,19,19,59,59,59,59,59,59,59,59,20,20,59,59,59,59,59,59,59,59,30,30,30,59,59,59
30,20,26,28,28,98,98,98,28,28,28,28,28,59,59,12,12,59,12,59,59,59,59,59,18,26,26,26,26,12,12,12,88,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,30,30,30,30,,,,,,
19,15,28,98,98,4,4,4,4,20,20,20,20,20,12,18,18,18,18,18,18,18,18,18,12,12,12,12,12,88,88,88,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,22,22,22,22,22,22,,,,,,,,,,,,
14,59,98,4,4,20,20,20,20,4,12,12,12,12,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,,,,,,,,,,,,,,,,,
