0,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,,30,31,,32,,33,,34,,35
13,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,,13,13,,13,,13,,13,,13
2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,2,,2,,2,,2,,2
28,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,,28,28,,28,,28,,28,,28
79,21,,79,,79,,79,,79,,79,,79,,79,,79,,79,,79,,79,,79,,79,,79,,79,,79,,79,,79,,79,,79,,79,,79,,79,,79,,79,,79,,79,,79,,,79,79,,79,,79,,79,,79
27,79,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,,21,21,,21,,21,,21,,21
21,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,,27,27,,27,,27,,27,,27
48,48,,48,,48,,48,,48,,48,,48,,48,,48,,48,,48,,48,,48,,48,,48,,48,,48,,48,,48,,48,,48,,48,,48,,48,,48,,48,,48,,48,,48,,,48,48,,48,,48,,48,,48
4,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,,4,4,,4,,4,,4,,4
67,67,,67,,67,,67,,67,,67,,67,,67,,67,,67,,67,,67,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,,5,5,,5,,5,,5,,5
5,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,67,,67,,67,,67,,67,,67,,67,,67,,67,,67,,67,,67,,67,,67,,67,,67,,67,,,67,67,,67,,67,,67,,
