0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,30,26,26,26,26,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,26,22,22,22,22,26,26,26,26,26,26,26,26,19,19,19,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,27,27,27,27,27,27,27,27,27,27,27,27,27,27,20,10,30,22,19,19,19,19,19,19,19,19,19,19,19,19,15,15,9,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2,2,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
27,10,10,10,10,20,20,20,20,20,20,20,20,20,20,10,30,88,19,15,15,15,15,15,15,15,15,15,15,15,15,9,9,27,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30,30,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,20,20,20,20,10,10,10,10,10,10,10,10,10,10,2,18,26,15,28,28,28,28,28,28,28,28,28,28,28,28,27,27,2,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,18,18,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30,88,59,28,31,9,9,9,9,9,9,9,9,9,9,9,2,2,30,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
98,18,18,18,18,18,18,18,18,18,18,18,30,30,30,18,26,19,9,9,31,27,27,27,27,27,27,27,27,27,27,30,30,18,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,88,18,18,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
18,30,30,30,30,30,30,30,30,30,30,30,18,18,18,5,59,15,31,27,27,31,2,2,2,2,2,2,2,2,2,18,18,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,88,27,19,10,5,5,5,5,5,5,5,5,5,5,5,5,5,88,88,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
21,5,5,5,5,5,5,5,5,5,5,5,5,5,5,88,19,28,27,30,2,2,31,30,30,30,30,30,30,30,30,10,10,5,21,21,21,21,21,21,21,21,21,21,21,21,21,88,88,12,15,10,5,88,88,88,88,88,88,88,88,88,88,88,88,88,18,18,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,15,15,15
30,88,88,88,88,88,88,21,21,21,21,21,21,88,88,98,15,31,2,2,30,30,30,31,10,10,10,10,10,10,10,5,5,21,88,88,88,88,88,88,88,88,88,88,88,88,88,12,12,27,20,5,88,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,15,15,15,12,12,12,98,98
