0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,14,14,14,5,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,14,21,5,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,15,21,21,21,10,10,10,10,10,27,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,12,5,27,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,8,51,14,10,5,5,27,27,27,27,27,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,15,21,27,10,12,12,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,8,8,8,8,8,8,8,8,8,8,8,8,51,15,21,5,10,10,12,12,12,12,12,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,9,5,10,12,9,9,8,8,8,8,8,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,51,51,51,51,51,51,51,51,51,51,51,51,51,15,14,10,15,27,27,9,9,9,9,9,9,27,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,21,27,14,9,8,8,5,5,5,5,5,5,5,8,8,8,14,14,14,14,14,14,14,14,14,14,14,14,14,14
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,20,20,20,20,20,20,3,29,15,15,15,15,15,14,21,5,27,12,12,14,8,8,8,8,8,5,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,21,5,15,12,21,27,14,14,14,14,14,14,14,14,14,14,14,21,21,21,21,21,21,21,21,21,21,21,21,21,21
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,3,3,3,3,3,3,29,15,14,14,14,14,14,10,10,60,12,4,4,21,14,14,14,14,14,14,5,5,21,21,21,21,21,21,21,21,21,21,21,21,21,21,5,10,10,9,8,14,21,21,21,21,21,21,21,21,21,21,21,8,8,8,8,8,8,8,8,8,8,8,8,15,15
2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,18,18,18,18,18,29,15,14,21,21,21,21,21,21,60,27,60,9,9,8,15,15,15,15,15,15,21,21,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27,27,9,8,14,21,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,8,8
26,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,30,29,29,29,29,15,14,21,60,60,60,60,60,60,5,4,4,8,8,15,3,3,3,3,21,21,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,8,51,8,15,15,15,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
20,60,60,60,60,60,60,60,60,60,60,18,18,18,18,18,18,18,5,15,15,15,15,14,21,60,4,4,4,4,4,4,4,9,9,22,22,3,21,21,21,21,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,8,22,22,3,3,18,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
60,18,18,18,18,18,18,18,18,18,18,22,22,22,22,30,30,30,29,60,14,14,14,21,60,4,5,5,5,5,5,5,27,8,8,15,15,20,20,20,20,51,29,29,29,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,3,3,30,30,51,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
3,30,30,30,30,30,30,30,22,22,22,30,30,30,30,22,29,29,15,14,60,21,21,60,4,5,27,27,27,27,27,27,8,22,22,3,3,30,30,30,18,29,60,60,60,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,51,30,18,18,60,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
18,22,22,22,22,22,22,22,14,14,14,29,29,29,29,29,15,15,60,21,21,60,60,4,5,27,22,22,22,22,22,22,22,51,3,20,20,18,18,18,51,60,3,22,22,29,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,30,18,22,51,3,18,3,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
21,14,14,14,14,14,14,14,30,30,30,15,15,15,15,15,60,60,14,4,4,4,4,5,27,3,3,3,3,3,3,3,3,3,20,30,30,51,51,51,29,4,4,4,4,4,3,3,3,3,30,30,30,30,30,30,30,30,30,30,30,30,60,20,51,60,30,3,30,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
22,29,29,29,29,29,29,29,29,29,29,60,60,60,60,60,14,14,21,5,5,5,5,27,20,22,20,20,20,20,20,20,20,20,30,60,51,29,29,29,60,22,22,3,3,3,30,30,30,30,4,18,18,18,18,18,18,18,18,18,18,18,18,51,60,22,22,30,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
14,15,15,48,48,48,48,48,15,15,15,4,4,14,14,14,21,21,4,27,27,27,27,18,22,20,30,30,30,30,30,30,30,30,51,51,18,4,60,60,4,18,30,30,30,30,18,18,18,18,18,4,4,4,4,20,20,20,20,20,20,20,20,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
28,21,48,21,21,21,15,15,48,21,21,14,14,4,4,21,4,4,27,30,22,22,22,22,30,30,18,18,18,18,18,18,18,18,18,18,29,60,4,4,30,20,18,18,18,18,29,20,20,20,20,20,20,20,20,4,4,4,4,4,4,4,4,4,4,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,
15,48,4,15,15,15,4,4,21,4,4,21,21,21,21,4,22,22,22,22,30,30,30,30,18,18,29,29,29,29,29,29,29,29,29,29,60,22,22,22,22,30,20,20,20,20,20,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
30,4,21,4,4,4,21,21,4,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,,
59,26,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,,,,
48,59,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
