0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,45,45,22,22,22,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,26,5,22,22,22,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,26,22,2,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,51,45,45,5,22,7,59,59,5,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,12,26,45,45,12,59,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,12,26,22,12,26,26,26,26,26,26,26,51,51,51,51,51,51,51,51,51,51,51,51,51,51
51,51,51,51,51,51,51,51,51,51,51,51,51,45,10,10,22,7,59,7,12,26,5,5,5,51,51,51,51,51,51,51,51,51,51,51,51,5,15,5,2,59,26,59,59,59,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,27,27,12,26,51,51,51,51,51,51,51,26,26,26,26,26,26,26,26,26,26,26,26,26,26
45,26,26,26,26,26,26,26,26,26,26,26,26,10,22,22,7,59,2,2,5,51,51,51,51,5,5,5,5,5,5,5,5,5,5,5,5,10,22,2,12,2,51,51,51,51,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,22,2,26,51,10,10,10,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
26,45,45,45,45,45,45,45,45,45,45,45,45,22,15,15,10,2,45,12,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,10,10,15,45,12,59,26,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,51,12,51,10,27,27,27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,60,60,60,60,60,60,60,60,60,60,60,60,15,18,18,59,12,12,5,2,60,60,60,60,60,60,60,60,60,60,60,60,60,10,27,15,51,10,59,26,51,10,10,10,10,60,60,60,60,60,60,60,60,60,60,60,60,27,27,27,15,51,10,27,5,5,5,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
60,10,10,10,10,10,10,10,10,10,10,10,10,12,7,7,2,5,5,26,51,10,10,10,10,10,10,10,10,10,10,10,10,10,60,15,22,22,2,15,51,45,60,60,60,60,27,27,27,27,27,27,27,27,27,27,27,27,60,60,22,10,15,27,5,60,60,60,22,22,22,22,15,15,15,15,15,15,15,15,15,15,15,15,15,15
20,27,27,27,27,27,27,27,27,27,27,27,22,18,51,59,15,26,26,51,27,15,15,15,15,15,15,15,15,15,15,15,15,15,15,22,45,45,7,26,5,5,27,27,27,27,22,22,22,22,22,22,22,22,22,22,22,22,22,22,15,5,10,5,60,22,22,22,15,15,15,15,30,30,30,30,30,30,30,30,30,30,30,30,2,2
21,21,20,20,20,20,20,20,20,20,20,20,15,7,59,2,12,51,51,27,60,22,22,22,22,22,22,22,22,22,22,22,22,22,22,45,2,2,12,51,10,10,22,22,22,22,15,15,15,15,15,15,15,15,15,15,15,15,15,15,20,2,5,60,22,15,15,15,30,30,30,30,2,2,2,2,2,2,2,2,2,2,2,2,8,8
27,20,22,22,22,22,22,22,22,22,22,22,18,26,2,12,18,27,27,60,10,45,45,45,45,45,45,45,45,45,45,45,45,45,45,20,7,7,59,7,60,60,15,15,15,15,20,20,20,20,20,20,20,20,20,20,20,20,30,30,8,9,60,15,15,30,30,30,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,30,30
8,22,21,21,21,21,15,15,15,15,15,15,7,60,4,26,26,60,60,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,8,27,59,51,10,27,27,45,20,20,20,30,30,30,30,30,30,30,30,30,30,30,30,20,20,2,6,30,30,30,2,2,2,20,20,20,20,22,20,20,20,20,20,20,20,20,20,20,20,20,20
22,8,8,15,15,15,21,18,18,18,18,18,27,59,12,51,51,10,10,20,15,8,8,8,8,8,8,8,8,8,8,8,8,8,8,21,6,60,60,60,15,15,20,45,45,30,8,8,8,8,8,8,8,8,8,8,8,8,8,8,60,20,20,20,20,20,20,20,8,8,8,8,20,22,22,22,22,22,22,22,22,45,45,45,45,45
28,30,15,18,18,18,18,21,21,21,21,21,59,2,26,27,27,20,20,45,45,18,18,18,18,18,18,18,18,18,18,18,18,18,18,60,3,27,27,27,20,20,30,30,30,45,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,45,45,45,45,45,7,7,7,7,7
14,15,18,8,8,8,8,8,8,8,8,8,2,3,27,60,60,15,15,15,8,59,7,7,7,7,7,7,7,7,7,7,7,30,21,7,59,3,20,20,30,30,8,8,8,8,45,45,45,45,45,45,45,45,45,45,45,45,45,9,14,60,6,9,9,9,9,9,28,28,28,28,28,45,45,45,9,9,9,9,9,22,18,18,18,18
30,28,30,28,28,28,28,28,28,28,28,7,3,4,52,20,20,8,8,8,18,7,30,30,30,30,30,30,30,30,30,30,30,7,7,2,20,6,30,30,8,8,2,2,2,2,21,21,21,21,21,21,21,21,21,21,9,9,9,28,7,7,9,28,28,28,28,28,45,45,45,45,45,21,21,21,21,7,7,7,7,18,22,14,14,14
15,18,28,30,30,30,30,30,30,30,7,14,4,52,60,52,8,18,18,18,7,30,21,21,21,21,21,21,21,21,21,21,21,21,2,28,8,20,8,8,21,21,21,21,21,21,59,9,9,9,9,9,9,9,9,9,21,21,28,21,30,30,28,45,45,45,45,45,14,14,14,14,14,7,7,7,7,18,18,18,18,14,14,22,22,22
18,14,2,7,7,7,7,7,7,7,14,6,20,27,20,8,52,52,30,30,30,21,28,28,28,28,28,28,28,28,28,28,28,28,28,14,21,30,21,21,9,9,9,9,9,9,9,28,28,28,28,28,28,28,28,28,28,28,21,14,6,14,45,14,14,14,14,14,21,21,21,21,21,3,3,3,3,14,14,14,14,9,9,9,9,9
59,7,7,14,14,14,14,14,14,14,2,59,8,20,8,30,30,30,52,21,21,28,9,9,9,9,9,9,2,2,2,2,2,2,14,6,60,8,9,9,7,7,28,28,28,28,28,14,14,14,14,14,14,14,14,14,14,14,14,7,28,28,14,21,21,21,21,21,7,7,7,7,7,6,6,6,6,28,28,28,28,28,28,28,28,28
7,2,14,2,2,2,2,2,2,2,59,2,52,8,3,28,28,28,28,28,28,9,14,14,14,14,2,2,9,9,9,9,9,9,6,3,28,21,18,28,28,28,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,21,45,21,7,7,7,7,7,3,3,3,3,3,18,18,18,18,3,59,59,59,59,48,48,48,48
2,3,3,59,6,6,59,59,59,59,6,3,21,30,30,21,21,21,21,9,9,14,2,2,2,2,14,14,14,14,14,14,14,14,3,59,14,9,28,18,18,14,14,14,14,14,14,3,3,3,3,3,3,3,3,3,3,3,3,6,3,21,7,3,3,3,3,3,6,6,6,6,6,59,59,59,14,59,48,48,48,48,59,59,59,59
3,6,6,6,59,59,6,6,6,6,3,4,14,28,28,9,9,9,9,52,14,2,6,6,6,6,6,6,6,6,6,6,6,6,59,18,30,18,14,14,14,18,18,18,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,18,45,3,3,6,6,6,6,6,59,59,59,59,18,48,48,14,59,48,29,29,6,6,6,6,6,6
48,29,59,3,3,3,3,3,3,3,4,52,6,21,21,14,14,14,14,14,6,6,3,3,3,3,3,3,3,3,3,3,3,3,9,30,9,28,3,3,3,3,3,3,18,6,6,18,18,18,18,18,18,18,18,18,18,18,18,59,59,59,59,59,59,59,59,59,18,18,18,18,59,14,14,48,28,29,3,6,29,29,29,29,29,29
6,59,29,29,9,9,9,9,9,29,52,28,30,9,9,4,6,6,6,6,3,3,59,59,59,59,59,59,59,59,59,59,59,59,48,9,18,14,6,6,6,6,6,6,6,18,18,59,59,59,59,59,59,59,59,59,59,59,59,45,18,18,18,18,18,18,18,18,48,48,48,48,48,28,28,28,48,6,6,21,21,21,21,21,3,3
29,75,75,9,29,29,29,29,29,48,29,30,28,14,14,6,29,29,29,3,48,48,48,48,48,48,48,48,48,48,48,48,48,48,30,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,29,48,48,48,48,48,48,48,29,29,29,29,29,29,29,29,29,21,21,3,3,3,3,3,21,21
75,48,9,75,48,48,48,48,48,4,30,9,9,6,6,29,3,3,3,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,48,29,29,29,29,29,29,29,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
9,9,48,48,75,4,4,4,4,52,48,29,29,29,29,3,48,48,48,48,4,4,4,4,4,4,4,4,4,4,4,4,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,
52,4,4,4,4,75,75,75,75,9,9,48,48,48,48,48,4,4,4,4,52,52,52,52,52,52,52,52,52,52,52,52,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,
4,52,52,52,52,52,52,52,52,75,75,75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
