0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,51,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,51,51,51,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
27,27,12,12,12,12,12,12,12,12,10,10,10,10,10,10,51,51,51,26,30,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,51,51,26,26,26,51,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
12,12,10,10,10,10,10,10,10,10,9,9,9,9,9,51,18,18,18,18,10,10,30,30,14,5,5,5,5,5,5,5,5,5,5,5,5,5,22,15,15,51,51,51,51,51,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,15,15,51,51,51,51,51,51,51,51,51,51,51,51
10,10,9,9,9,9,9,9,9,9,8,8,8,8,51,9,15,15,30,30,14,14,14,14,5,14,8,8,8,8,8,8,8,8,8,8,8,22,15,51,51,18,18,18,18,18,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,15,22,45,45,2,2,2,15,5,5,5,5,5,5,5,5,51,51,51,15,15,15,15,15,15,15,15,15,15,15,15
45,9,5,5,5,8,8,8,8,8,22,22,51,51,45,18,30,30,10,10,2,2,2,5,8,8,14,22,22,22,22,22,22,22,22,22,22,15,51,45,45,15,5,5,5,5,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,8,51,15,2,15,15,15,5,8,8,8,8,8,8,8,51,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,8,8,8,5,22,22,22,22,51,51,45,45,18,15,10,14,14,14,5,5,5,8,22,22,22,28,28,28,28,28,28,15,15,15,15,51,45,18,18,5,8,8,8,8,2,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,2,15,5,5,5,8,22,22,22,22,22,22,51,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,22,22,22,22,5,5,5,5,5,5,18,18,15,30,14,10,2,2,8,8,8,22,3,28,28,15,15,15,15,15,15,3,3,3,51,45,5,22,5,8,2,2,2,2,22,28,28,28,28,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,45,8,5,8,8,8,22,51,51,51,51,51,51,22,22,22,22,22,22,22,22,22,22,2,2,2,2,2,2,2
9,22,45,45,45,45,45,51,51,51,45,45,15,15,30,14,2,2,5,5,22,22,22,2,28,3,15,14,14,14,14,3,3,51,51,51,3,60,18,5,8,2,15,15,15,15,51,3,3,3,3,28,28,28,28,28,45,45,45,45,45,45,45,45,45,45,5,22,8,22,22,22,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,2,22,22,22,22,22,22,22
22,45,51,51,51,51,51,45,45,45,18,18,59,59,29,2,5,5,8,8,3,3,3,3,15,15,3,3,3,3,3,51,51,45,45,45,45,8,8,8,2,22,22,22,22,22,28,51,51,51,51,3,3,3,3,45,28,28,28,28,28,2,2,2,2,2,2,5,22,45,45,45,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,45,45,45,45,45,45,45,45
59,51,3,3,3,3,3,3,18,18,3,3,28,30,14,4,9,8,22,22,51,28,28,28,9,9,9,9,9,9,51,14,45,9,9,9,30,18,2,2,22,9,9,9,28,28,3,45,45,45,45,45,45,45,45,3,3,3,3,3,3,28,3,3,3,3,18,18,18,9,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
29,3,59,59,59,59,18,18,3,3,15,15,29,29,7,7,8,22,3,3,28,15,15,15,51,51,51,51,51,51,9,9,14,60,30,30,9,2,9,9,9,28,28,28,3,3,45,14,14,14,14,14,14,14,14,14,14,14,14,2,2,3,28,18,18,18,9,9,9,18,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
15,59,15,15,15,18,15,15,15,15,59,59,30,14,4,5,7,3,15,28,18,9,9,9,45,45,45,45,45,45,45,45,9,30,60,60,60,9,59,28,28,45,3,3,45,45,14,60,60,60,60,60,60,60,2,2,2,2,2,14,18,18,18,28,60,60,48,48,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,9,9,9,9,9,9,9,9,9,9,9,3,3
51,15,18,18,18,15,59,59,59,59,28,28,14,7,8,8,22,7,28,7,15,51,51,51,30,60,60,60,60,60,60,60,60,59,18,18,18,59,28,59,48,3,45,45,14,14,18,2,2,2,2,2,2,2,60,18,18,18,18,18,14,14,14,14,20,9,3,14,28,28,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,9
18,29,29,29,29,28,28,28,28,28,60,60,7,4,2,22,3,28,7,15,7,60,60,60,60,59,59,59,59,59,59,59,30,18,59,59,2,3,48,48,3,21,21,21,60,60,60,18,18,18,18,18,18,18,18,60,60,60,60,60,60,60,60,60,9,21,60,21,21,21,21,60,60,60,60,60,60,9,9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,14,
7,18,28,28,28,2,2,2,60,60,20,20,4,48,77,3,77,9,9,9,9,45,45,45,59,6,6,6,6,6,6,30,59,6,6,2,59,28,7,7,21,14,14,14,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,48,21,28,3,3,60,20,20,20,20,9,9,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
3,2,2,2,2,20,20,20,20,20,29,29,5,2,5,45,28,77,60,60,60,59,59,59,6,20,20,20,20,20,30,6,18,28,2,6,6,48,3,3,7,7,7,60,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,14,14,14,3,60,60,9,9,9,9,9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
