0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,10,9,9,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,28,28,28,28,21,21,21,21,21,21,21,21,21,21,21,21,51,51,51,51,9,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
2,60,60,60,60,60,60,60,60,60,60,60,60,2,10,10,10,10,10,10,10,10,10,10,10,51,51,51,60,60,60,60,60,60,60,60,60,10,10,10,10,28,28,28,9,9,21,21,51,51,51,51,51,51,51,51,51,51,51,51,10,10,10,9,21,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
60,2,2,2,2,2,2,2,2,2,2,2,2,10,18,18,18,18,18,18,18,28,28,28,9,9,60,60,9,10,10,10,10,10,10,10,10,60,2,2,28,9,9,9,21,21,51,51,10,10,10,10,10,10,10,10,10,10,10,10,2,2,2,21,51,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10,10,18,28,28,28,28,28,28,28,9,9,9,60,60,10,10,10,21,21,21,21,21,21,21,2,2,18,28,9,21,21,21,51,51,10,10,28,2,2,2,2,2,2,2,2,2,2,2,21,9,9,10,10,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,3,3,3,3,3,3,3,3,3,3,3,3,26,2,9,9,9,9,9,9,18,15,60,15,21,21,21,21,15,2,2,2,2,2,2,3,18,5,9,21,10,10,10,10,10,9,2,2,15,15,15,15,15,15,15,15,15,22,22,22,18,21,2,2,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
20,21,21,21,21,21,21,21,21,21,21,21,18,22,9,5,11,11,11,11,11,11,60,15,21,15,15,15,15,2,3,3,3,3,3,3,22,5,28,5,2,2,2,2,2,2,2,15,15,3,3,3,3,3,3,3,3,3,3,3,3,21,18,15,15,15,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
26,26,26,26,26,26,18,18,18,18,18,18,26,28,5,11,5,15,15,15,15,15,21,21,28,2,2,2,2,3,26,26,26,26,26,26,21,28,9,21,15,15,15,15,15,15,15,3,3,22,22,22,22,22,22,22,22,22,26,26,26,22,15,22,22,22,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
18,22,22,22,22,18,26,26,26,26,26,26,22,60,26,15,15,60,60,60,60,60,2,2,2,3,3,3,3,26,22,22,22,22,22,22,26,3,21,15,3,3,3,3,3,3,3,22,22,26,26,26,26,26,26,26,26,26,27,8,8,3,22,27,27,27,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
22,18,18,18,18,22,22,22,22,22,22,22,28,9,22,2,2,2,2,21,21,21,3,3,3,26,26,26,26,22,8,8,8,8,8,8,8,9,15,18,22,22,22,22,22,22,22,26,26,27,27,27,27,27,27,27,27,27,8,28,28,26,27,3,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
15,12,12,12,12,12,12,12,12,12,12,28,12,5,4,60,60,21,21,2,2,2,26,26,26,22,22,22,22,8,27,27,27,27,27,27,27,22,3,3,26,26,26,26,26,26,26,27,27,8,8,8,8,8,8,8,8,8,28,12,9,5,3,26,26,26,26,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
12,7,7,7,7,7,7,28,28,28,28,12,7,3,11,21,21,3,3,3,3,3,22,22,22,18,8,8,8,27,18,18,18,18,18,18,18,26,22,22,27,27,27,27,27,27,27,8,8,28,28,28,28,28,28,28,28,28,12,9,18,8,26,12,12,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
7,8,8,8,8,8,28,7,7,7,7,7,8,4,15,3,3,26,26,26,26,26,18,18,18,8,27,27,27,18,12,12,12,12,12,12,12,12,26,26,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,9,18,5,28,12,8,8,12,12,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
27,28,28,28,28,28,8,8,8,8,8,8,9,11,60,26,26,22,22,22,22,22,12,8,8,27,18,18,18,12,15,7,7,7,30,7,7,21,27,27,11,11,11,11,12,12,12,9,9,9,9,9,9,9,9,9,9,9,15,5,14,15,8,28,28,28,28,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
8,30,30,30,30,27,27,27,27,27,27,27,5,12,3,22,22,12,12,12,12,12,8,12,27,12,12,12,12,7,7,30,30,30,7,5,5,27,8,8,12,12,12,12,11,18,18,18,18,18,18,18,18,18,18,18,18,18,18,30,12,14,28,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
9,29,15,29,29,30,30,30,30,30,30,9,21,48,21,4,12,8,8,8,8,8,27,27,12,7,7,7,7,30,30,5,5,5,5,28,28,8,11,11,5,5,18,18,18,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14,30,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
30,27,29,27,27,29,29,29,29,9,9,5,29,15,12,12,8,27,27,27,27,27,7,7,7,30,30,30,30,5,5,28,28,28,28,9,9,4,12,12,18,18,5,5,5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,7,15,27,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
5,11,27,9,11,11,4,4,9,29,5,29,4,8,8,8,27,7,7,7,7,7,30,30,30,28,5,5,5,28,28,9,9,9,9,29,29,15,48,30,30,30,30,30,30,14,14,14,14,14,14,14,14,14,14,14,14,14,14,29,4,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
