,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
0,6,6,6,6,6,6,20,20,20,20,20,6,6,6,6,6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,27.0,27.0,27.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,6.0,6.0,6.0,6.0,6.0,27.0,27.0,28.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,18.0,18.0
1,12,4,20,20,20,20,6,6,6,6,6,20,20,27,27,27,27,27.0,27.0,27.0,27.0,27.0,27.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,6.0,6.0,6.0,6.0,18.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,5.0,18.0,18.0,15.0,15.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,6.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,15.0,15.0
2,4,20,4,4,4,4,4,27,27,27,27,4,27,20,20,20,20,20.0,20.0,20.0,20.0,20.0,20.0,27.0,18.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,21.0,27.0,27.0,27.0,27.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,15.0,15.0,6.0,6.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,27.0,27.0,5.0,5.0,5.0,5.0,28.0,6.0,6.0,27.0,28.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,5.0,27.0
3,20,30,5,5,5,5,27,4,4,4,4,27,4,4,4,30,30,30.0,30.0,30.0,30.0,30.0,18.0,18.0,21.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,27.0,27.0,19.0,19.0,19.0,98.0,18.0,18.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,28.0,28.0,28.0,28.0,28.0,28.0,88.0,18.0,18.0,6.0,6.0,10.0,10.0,10.0,10.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,15.0,15.0,15.0,28.0,28.0,28.0,5.0,18.0,18.0,18.0,18.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,27.0,5.0
4,30,5,30,30,30,30,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,88.0,21.0,21.0,19.0,60.0,60.0,60.0,27.0,27.0,27.0,27.0,27.0,27.0,19.0,19.0,60.0,60.0,98.0,19.0,19.0,19.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,21.0,21.0,21.0,21.0,21.0,21.0,28.0,15.0,15.0,10.0,10.0,27.0,27.0,27.0,27.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,28.0,18.0,18.0,18.0,18.0,15.0,15.0,15.0,15.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,28.0,28.0
5,28,9,9,27,27,27,30,30,30,30,30,30,30,30,30,9,9,9.0,9.0,9.0,9.0,22.0,19.0,19.0,60.0,15.0,15.0,27.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,98.0,98.0,60.0,15.0,15.0,15.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,14.0,14.0,88.0,88.0,88.0,88.0,18.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,18.0,98.0,12.0,12.0,15.0,5.0,5.0,5.0,5.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,9.0,9.0
6,5,22,27,22,22,22,22,22,22,22,22,9,9,9,9,88,88,88.0,88.0,88.0,88.0,14.0,22.0,60.0,15.0,27.0,27.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,98.0,98.0,15.0,15.0,15.0,5.0,5.0,5.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,12.0,12.0,26.0,18.0,18.0,18.0,15.0,19.0,19.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,12.0,15.0,15.0,14.0,14.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1.0,1.0
7,88,27,22,88,88,88,9,9,9,9,9,88,88,88,88,22,22,22.0,22.0,22.0,22.0,18.0,60.0,15.0,27.0,26.0,26.0,26.0,26.0,26.0,20.0,20.0,20.0,20.0,15.0,15.0,5.0,5.0,5.0,12.0,28.0,28.0,15.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,88.0,88.0,18.0,15.0,15.0,15.0,10.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,15.0,14.0,14.0,12.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
8,9,88,88,9,9,9,88,88,88,88,88,22,22,22,22,98,98,98.0,14.0,14.0,14.0,5.0,15.0,26.0,26.0,20.0,20.0,20.0,9.0,20.0,9.0,9.0,9.0,9.0,30.0,5.0,1.0,1.0,1.0,28.0,21.0,21.0,12.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,22.0,26.0,15.0,10.0,10.0,10.0,19.0,1.0,1.0,19.0,19.0,19.0,19.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,1.0,14.0,9.0,10.0,10.0,88.0,9.0,9.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,98.0,98.0
9,14,10,10,10,10,10,1,1,1,1,98,98,98,98,98,14,14,14.0,10.0,1.0,18.0,9.0,26.0,32.0,9.0,9.0,9.0,9.0,20.0,9.0,26.0,98.0,98.0,98.0,5.0,1.0,12.0,12.0,12.0,21.0,12.0,14.0,88.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,30.0,18.0,10.0,19.0,19.0,19.0,9.0,28.0,28.0,28.0,28.0,28.0,28.0,19.0,19.0,19.0,19.0,19.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,9.0,98.0,88.0,88.0,22.0,22.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
