,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
0,27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,12.0,12.0,12.0,12.0,12.0,12.0,28.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,18.0,18.0,18.0,18.0,1.0,1.0,1.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
1,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,9.0,9.0,9.0,9.0,9.0,18.0,27.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,18.0,18.0,18.0,18.0,18.0,18.0,9.0,18.0,27.0,9.0,9.0,9.0,18.0,14.0,14.0,9.0,9.0,9.0,9.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
2,22,15.0,15.0,15.0,15.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,18.0,18.0,18.0,18.0,18.0,28.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,9.0,9.0,9.0,9.0,9.0,9.0,18.0,9.0,9.0,12.0,12.0,1.0,14.0,18.0,27.0,12.0,12.0,12.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
3,9,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,27.0,20.0,20.0,28.0,28.0,9.0,1.0,12.0,12.0,12.0,12.0,18.0,18.0,1.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,12.0,60.0,60.0,18.0,10.0,10.0,10.0,10.0,10.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
4,15,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,18.0,18.0,18.0,18.0,14.0,14.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,20.0,20.0,28.0,28.0,27.0,27.0,27.0,12.0,18.0,18.0,18.0,18.0,12.0,12.0,12.0,1.0,14.0,28.0,28.0,28.0,28.0,28.0,28.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,14.0,14.0,9.0,5.0,9.0,26.0,26.0,26.0,26.0,26.0,98.0,98.0,98.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
5,1,28.0,28.0,5.0,5.0,18.0,18.0,18.0,18.0,18.0,18.0,14.0,14.0,14.0,14.0,6.0,6.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,28.0,28.0,30.0,30.0,20.0,1.0,1.0,18.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,28.0,14.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,20.0,20.0,20.0,20.0,20.0,14.0,14.0,14.0,20.0,20.0,60.0,5.0,27.0,12.0,98.0,98.0,98.0,98.0,98.0,15.0,15.0,15.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
6,28,5.0,5.0,18.0,18.0,6.0,6.0,14.0,14.0,14.0,14.0,6.0,6.0,6.0,6.0,1.0,20.0,14.0,26.0,26.0,28.0,28.0,28.0,28.0,26.0,30.0,27.0,27.0,1.0,60.0,60.0,60.0,10.0,10.0,10.0,10.0,28.0,28.0,28.0,28.0,30.0,30.0,20.0,20.0,20.0,20.0,20.0,26.0,26.0,14.0,14.0,14.0,14.0,14.0,20.0,20.0,20.0,60.0,60.0,5.0,27.0,9.0,5.0,15.0,15.0,15.0,15.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,14.0,14.0,14.0,1.0,1.0,1.0,1.0,1.0
7,5,18.0,18.0,6.0,6.0,14.0,14.0,6.0,6.0,6.0,6.0,5.0,20.0,20.0,20.0,20.0,26.0,26.0,28.0,28.0,26.0,26.0,26.0,26.0,30.0,26.0,23.0,1.0,23.0,14.0,14.0,14.0,28.0,28.0,28.0,28.0,10.0,20.0,30.0,30.0,20.0,20.0,26.0,26.0,26.0,26.0,26.0,14.0,14.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,60.0,23.0,5.0,27.0,12.0,12.0,20.0,23.0,23.0,23.0,23.0,1.0,23.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,1.0,1.0,1.0,1.0,14.0,14.0,14.0,14.0,14.0
8,18,6.0,6.0,28.0,14.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,5.0,26.0,26.0,26.0,28.0,28.0,59.0,30.0,30.0,30.0,30.0,30.0,6.0,23.0,1.0,23.0,60.0,10.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.0,26.0,26.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,23.0,5.0,27.0,20.0,20.0,20.0,10.0,1.0,1.0,1.0,1.0,23.0,14.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,5.0,5.0,5.0,5.0,5.0,5.0
9,6,14.0,14.0,14.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,26.0,4.0,4.0,59.0,59.0,59.0,30.0,59.0,59.0,59.0,21.0,21.0,59.0,1.0,60.0,60.0,14.0,20.0,20.0,20.0,5.0,5.0,5.0,30.0,30.0,26.0,26.0,26.0,1.0,1.0,14.0,14.0,14.0,14.0,14.0,60.0,60.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,5.0,27.0,23.0,10.0,10.0,10.0,26.0,14.0,14.0,14.0,14.0,14.0,18.0,18.0,18.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,23.0,23.0,23.0,23.0,23.0,23.0
