,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
0,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,18.0,18.0,18.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,18.0,18.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,12,12,12,12,12,12,12,12,12,12,12,12.0,12.0,12.0,12.0,12.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,28.0,28.0,1.0,1.0,1.0,9.0,9.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,1.0,28.0,1.0,1.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
2,18,18,18,18,18,18,18,18,18,18,18,18.0,18.0,18.0,18.0,18.0,12.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,5.0,5.0,9.0,9.0,9.0,18.0,18.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,1.0,9.0,9.0,18.0,5.0,5.0,5.0,5.0,5.0,5.0
3,28,28,28,28,28,28,28,28,28,28,28,28.0,28.0,28.0,28.0,28.0,28.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,5.0,5.0,5.0,6.0,1.0,30.0,28.0,28.0,28.0,28.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,27.0,28.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0
4,5,9,9,9,9,9,9,9,9,9,9,9.0,9.0,9.0,9.0,9.0,27.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,27.0,6.0,6.0,1.0,9.0,28.0,5.0,5.0,5.0,5.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,28.0,5.0,6.0,18.0,18.0,18.0,18.0,18.0,18.0
5,9,5,27,27,27,27,27,27,27,27,27,27.0,27.0,27.0,27.0,27.0,5.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,27.0,9.0,9.0,30.0,5.0,10.0,27.0,27.0,27.0,10.0,6.0,6.0,6.0,6.0,6.0,6.0,20.0,20.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,15.0,98.0,21.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
6,98,27,98,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,9.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,26.0,26.0,26.0,26.0,9.0,9.0,9.0,9.0,30.0,30.0,15.0,15.0,27.0,10.0,10.0,10.0,6.0,20.0,20.0,20.0,20.0,20.0,20.0,9.0,9.0,20.0,22.0,22.0,22.0,22.0,15.0,15.0,27.0,21.0,6.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
7,27,98,5,6,6,6,6,6,6,6,6,6.0,6.0,6.0,6.0,6.0,6.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,9.0,9.0,9.0,26.0,26.0,30.0,30.0,22.0,15.0,6.0,26.0,98.0,98.0,98.0,6.0,20.0,22.0,22.0,22.0,22.0,22.0,9.0,27.0,22.0,22.0,4.0,4.0,4.0,4.0,19.0,27.0,98.0,15.0,27.0,21.0,30.0,30.0,30.0,30.0,30.0,30.0
8,22,6,6,22,22,22,22,22,22,22,22,22.0,22.0,26.0,26.0,26.0,30.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,20.0,20.0,20.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,30.0,30.0,30.0,30.0,30.0,22.0,22.0,27.0,26.0,26.0,10.0,6.0,6.0,6.0,98.0,22.0,9.0,9.0,9.0,9.0,9.0,22.0,22.0,4.0,4.0,15.0,15.0,15.0,15.0,27.0,98.0,5.0,6.0,15.0,30.0,22.0,22.0,22.0,22.0,22.0,22.0
9,6,22,22,26,26,26,26,26,26,26,26,26.0,26.0,10.0,10.0,10.0,26.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,26.0,26.0,15.0,19.0,10.0,98.0,21.0,20.0,20.0,20.0,9.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,15.0,15.0,19.0,19.0,19.0,19.0,30.0,21.0,21.0,5.0,98.0,22.0,98.0,98.0,98.0,98.0,98.0,98.0
