0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,21,21,21,20,20,20,20,20,20,20,20,20,20,20,20.0,20.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,14.0,14.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,20.0,20.0,12.0,12.0,12.0,64.0,18.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,19.0,19.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,28.0,18.0,18.0,18.0,1.0,1.0,15.0,15.0,15.0,29.0,29.0,29.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,20.0,20.0,27.0,22.0,29.0,64.0,64.0,6.0,6.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,25.0,25.0,25.0,12.0,12.0,12.0,12.0,12.0
22,12,12,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1,12,4,19,15,14,14,14,14,14,14,14,14,14,14,14,14.0,14.0,14.0,14.0,14.0,20.0,20.0,20.0,20.0,20.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,20.0,20.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,12.0,12.0,22.0,3.0,3.0,18.0,15.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,22.0,28.0,12.0,64.0,1.0,1.0,15.0,15.0,6.0,6.0,29.0,12.0,12.0,12.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,27.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,27.0,27.0,22.0,29.0,22.0,6.0,6.0,64.0,64.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,64.0,60.0,60.0,64.0,20.0,20.0,20.0,20.0
12,22,22,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,22,21,1,4,20,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,14.0,14.0,14.0,14.0,14.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,22.0,22.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,22.0,22.0,3.0,28.0,9.0,60.0,6.0,1.0,1.0,1.0,1.0,29.0,29.0,29.0,29.0,29.0,20.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,28.0,22.0,9.0,60.0,15.0,15.0,6.0,6.0,29.0,29.0,12.0,19.0,19.0,19.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,20.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,22.0,22.0,29.0,64.0,64.0,25.0,25.0,25.0,25.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,12.0,12.0,20.0,9.0,9.0,9.0,9.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,18,12,29,14,22,22,22,22,22,22,22,22,22,22,22,22.0,22.0,22.0,22.0,22.0,12.0,12.0,12.0,12.0,12.0,1.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,12.0,12.0,12.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,3.0,3.0,28.0,22.0,64.0,15.0,1.0,29.0,29.0,29.0,29.0,66.0,66.0,66.0,19.0,19.0,22.0,22.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,3.0,9.0,18.0,1.0,6.0,6.0,29.0,29.0,12.0,12.0,19.0,25.0,25.0,25.0,19.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,28.0,15.0,20.0,6.0,6.0,19.0,19.0,60.0,60.0,9.0,9.0,9.0,9.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,64.0,64.0,9.0,27.0,27.0,27.0,27.0
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,9,18,32,1,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,22.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,12.0,12.0,12.0,12.0,12.0,12.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,28.0,28.0,20.0,21.0,27.0,6.0,29.0,66.0,66.0,66.0,66.0,19.0,19.0,19.0,12.0,12.0,28.0,28.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20.0,3.0,27.0,28.0,29.0,29.0,18.0,12.0,66.0,19.0,25.0,20.0,20.0,20.0,28.0,3.0,3.0,3.0,3.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,15.0,29.0,64.0,25.0,25.0,60.0,60.0,19.0,9.0,19.0,19.0,12.0,12.0,12.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,20.0,20.0,27.0,28.0,28.0,28.0,28.0
21,21,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,21,98,9,25,22,12,12,12,12,12,12,12,12,12,12,12,12.0,12.0,12.0,12.0,12.0,22.0,22.0,22.0,22.0,22.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,3.0,3.0,3.0,3.0,3.0,3.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,98.0,98.0,21.0,9.0,18.0,1.0,66.0,19.0,19.0,19.0,19.0,12.0,12.0,12.0,25.0,25.0,3.0,3.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,9.0,9.0,9.0,18.0,64.0,15.0,66.0,12.0,12.0,66.0,19.0,25.0,20.0,22.0,22.0,22.0,3.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,64.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,64.0,6.0,19.0,19.0,9.0,9.0,9.0,19.0,12.0,12.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,9.0,9.0,28.0,22.0,22.0,22.0,22.0
13,14,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,3,28,98,15,3,7,21,21,21,21,21,21,21,21,21,21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,19.0,19.0,19.0,19.0,19.0,19.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,98.0,98.0,98.0,98.0,98.0,14.0,21.0,9.0,64.0,60.0,29.0,19.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,20.0,20.0,98.0,98.0,19.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,9.0,9.0,9.0,9.0,18.0,18.0,18.0,27.0,60.0,6.0,12.0,66.0,66.0,19.0,25.0,20.0,22.0,28.0,28.0,28.0,98.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,9.0,64.0,64.0,9.0,9.0,9.0,4.0,4.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,14.0,29.0,6.0,25.0,60.0,60.0,29.0,12.0,12.0,12.0,20.0,20.0,19.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,22.0,29.0,29.0,29.0,29.0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,20,19,27,19,21,18,18,18,18,18,18,18,18,18,18,18.0,18.0,18.0,18.0,18.0,9.0,9.0,9.0,9.0,9.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,28.0,28.0,28.0,28.0,28.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,21.0,21.0,21.0,21.0,21.0,21.0,9.0,64.0,27.0,15.0,66.0,25.0,12.0,12.0,12.0,12.0,20.0,20.0,20.0,22.0,22.0,15.0,23.0,23.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,18.0,18.0,18.0,18.0,4.0,4.0,27.0,64.0,1.0,29.0,19.0,19.0,19.0,25.0,1.0,22.0,28.0,3.0,3.0,3.0,23.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,98.0,9.0,9.0,4.0,4.0,4.0,15.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,12.0,25.0,19.0,9.0,9.0,12.0,20.0,20.0,20.0,27.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,29.0,1.0,1.0,1.0,1.0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,98,22,6,64,7,18,9,9,9,9,9,9,9,9,9,9,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,3.0,3.0,9.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,21.0,21.0,21.0,21.0,21.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,64.0,27.0,18.0,6.0,19.0,12.0,18.0,17.0,17.0,17.0,1.0,22.0,22.0,3.0,3.0,23.0,9.0,9.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,24.0,24.0,24.0,24.0,27.0,27.0,64.0,60.0,15.0,9.0,25.0,25.0,25.0,20.0,20.0,28.0,3.0,98.0,98.0,98.0,24.0,27.0,27.0,27.0,27.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,15.0,15.0,15.0,1.0,1.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,88.0,64.0,19.0,60.0,27.0,12.0,20.0,27.0,27.0,27.0,28.0,28.0,28.0,19.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,1.0,15.0,6.0,6.0,6.0
14,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,28,4,29,20,12,9,98,98,98,98,98,98,98,98,98,98,98.0,98.0,98.0,98.0,98.0,18.0,18.0,18.0,18.0,18.0,28.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,9.0,18.0,18.0,18.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,27.0,4.0,60.0,1.0,25.0,17.0,17.0,26.0,26.0,26.0,22.0,3.0,3.0,28.0,28.0,9.0,18.0,18.0,4.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,4.0,4.0,4.0,4.0,98.0,64.0,60.0,1.0,6.0,66.0,20.0,20.0,20.0,22.0,22.0,3.0,98.0,23.0,23.0,23.0,9.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,1.0,1.0,1.0,29.0,29.0,66.0,66.0,66.0,66.0,66.0,66.0,29.0,29.0,64.0,4.0,14.0,9.0,12.0,23.0,27.0,28.0,28.0,28.0,22.0,22.0,22.0,22.0,19.0,19.0,19.0,19.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,29.0,19.0,6.0,15.0,15.0,15.0
