0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,9,15,15,28,28,28,28,28,28,9,9,9,9,9,9,9,9,9,9,9,9,9,28,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,15,9,28,9,9,9,9,9,9,15,15,15,15,15,15,15,15,15,15,15,15,15,9,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
6,6,6,6,6,6,6,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,15,10,28,9,15,15,15,15,15,15,28,28,28,28,28,28,28,28,28,28,28,28,28,98,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
27,27,27,27,27,27,27,6,30,30,30,30,30,15,15,15,15,15,15,15,15,15,27,12,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,10,10.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
28,28,28,28,28,28,28,30,28,15,15,15,15,30,30,30,30,30,30,30,12,12,12,98,1,6,6,6,6,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
12,30,30,30,30,30,30,28,15,12,12,12,12,12,12,12,12,12,12,12,10,10,10,28,6,27,27,27,27,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,21.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
30,15,15,15,15,15,15,15,12,21,21,21,10,10,10,10,10,10,10,10,21,21,21,21,27,14,14,14,14,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,15,30.0,23.0,23.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
15,12,12,12,12,12,12,12,21,10,10,10,21,21,21,21,21,21,21,21,30,28,28,1,10,1,10,10,10,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,23.0,12.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
5,5,5,5,5,5,5,21,10,22,22,22,22,22,22,22,22,22,26,26,28,23,23,6,14,10,30,30,30,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,12.0,14.0,14.0,21.0,21.0,21.0,21.0,21.0,21.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,21,21,21,21,21,21,10,6,26,26,26,26,26,26,26,26,26,23,23,23,1,1,27,30,30,12,12,12,12,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,6,14.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
10,10,10,10,10,10,10,14,22,18,18,18,18,23,23,23,23,23,28,28,1,6,6,14,12,12,5,5,59,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,23,1.0,21.0,21.0,14.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
21,1,1,1,1,1,14,22,26,19,19,19,19,19,19,19,28,28,22,1,6,14,14,30,5,5,4,59,5,21,26,26,26,26,26,26,26,26,26,23,23,23,23,23,23,14,6.0,6.0,6.0,5.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
22,22,14,14,14,14,22,26,18,23,23,23,23,18,28,28,19,19,1,6,14,30,30,4,4,4,59,1,1,26,14,14,14,14,14,14,23,23,23,14,14,14,14,14,14,1,4.0,4.0,4.0,26.0,19.0,19.0,19.0,19.0,19.0,19.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,18.0,18.0
1,14,22,22,22,22,26,18,19,28,28,28,28,28,18,18,1,1,6,14,4,4,4,5,59,59,1,21,21,22,22,23,23,23,23,23,14,14,14,26,26,26,26,26,26,4,59.0,59.0,59.0,19.0,18.0,18.0,18.0,18.0,18.0,14.0,23.0,23.0,23.0,23.0,23.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,14.0,14.0
14,59,26,26,26,26,18,19,23,6,1,1,1,1,1,1,6,6,14,4,5,5,5,59,21,21,21,26,26,23,23,22,22,22,22,22,22,22,22,22,22,5,5,5,5,59,20.0,20.0,20.0,18.0,14.0,14.0,14.0,14.0,14.0,18.0,18.0,18.0,18.0,18.0,18.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
26,26,59,18,18,18,19,5,14,32,6,6,6,6,6,6,18,14,4,5,26,59,59,23,26,26,26,22,22,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,5,88.0,88.0,88.0,20.0,23.0,23.0,23.0,23.0,23.0,23.0,4.0,4.0,4.0,4.0,4.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
18,18,18,19,19,19,59,59,32,1,32,32,14,14,14,14,14,4,5,22,59,26,26,26,22,22,22,88,23,59,5,5,5,4,4,4,4,4,4,4,4,19,19,19,59,20,5.0,5.0,5.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,20.0,20.0,20.0,20.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
19,19,19,59,59,59,1,23,1,14,14,14,32,4,4,4,4,5,59,59,22,22,22,22,88,88,88,4,4,5,19,19,19,19,19,19,19,19,19,19,19,22,18,18,20,88,22.0,22.0,22.0,23.0,20.0,20.0,20.0,20.0,4.0,4.0,22.0,22.0,22.0,22.0,22.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0
88,20,20,20,88,88,88,32,59,4,4,4,4,32,5,5,5,18,19,88,88,88,88,88,20,20,23,23,19,19,18,18,18,18,18,18,18,18,18,18,18,18,59,59,18,26,26.0,26.0,26.0,4.0,4.0,4.0,4.0,4.0,20.0,20.0,88.0,88.0,88.0,88.0,88.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,23.0,23.0,23.0
20,88,88,88,4,4,23,1,5,59,5,5,5,5,32,32,59,59,88,20,20,20,20,20,23,23,19,19,18,18,59,59,59,59,59,59,59,59,59,59,59,59,20,20,88,22,19.0,19.0,19.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,59.0,59.0,59.0,59.0,59.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,59.0,59.0,59.0
4,4,4,4,23,23,32,88,4,5,59,59,59,59,59,59,88,88,20,32,32,32,19,19,19,19,20,18,88,20,20,20,20,20,20,20,20,20,20,20,20,20,88,88,19,19,18.0,18.0,18.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,,,
23,23,23,23,32,32,4,4,88,88,88,88,88,88,88,88,32,20,32,19,19,19,18,18,18,18,18,20,20,88,88,88,88,88,88,88,88,88,88,88,88,88,22,22,22,18,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,,,,,,,,,,,,,,,
32,32,32,32,20,20,20,20,20,20,20,20,20,20,20,20,20,32,18,18,18,18,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,
