0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,28,28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,1.0,1.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
28,27,27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
27,30,30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,6.0,27.0,27.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,6.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,30.0,30.0,30.0,30.0,10.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
6,18,18,18.0,18.0,18.0,18.0,18.0,18.0,6.0,6.0,6.0,6.0,9.0,6.0,30.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,6.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,15.0,15.0,15.0,15.0,98.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
18,6,6,6.0,6.0,6.0,6.0,6.0,6.0,9.0,9.0,9.0,9.0,98.0,98.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,30.0,10.0,6.0,6.0,6.0,6.0,6.0,15.0,15.0,15.0,15.0,6.0,6.0,6.0,6.0,5.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
30,9,9,9.0,9.0,9.0,9.0,9.0,9.0,15.0,15.0,15.0,15.0,30.0,10.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,10.0,98.0,15.0,15.0,15.0,15.0,15.0,6.0,6.0,6.0,6.0,22.0,22.0,22.0,10.0,30.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0
9,15,15,15.0,15.0,15.0,15.0,15.0,15.0,21.0,21.0,21.0,21.0,10.0,5.0,15.0,15.0,15.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,98.0,5.0,14.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,98.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,22.0,22.0,22.0,21.0
15,26,98,98.0,98.0,98.0,21.0,21.0,21.0,98.0,98.0,98.0,98.0,5.0,19.0,98.0,98.0,21.0,98.0,98.0,98.0,98.0,98.0,22.0,22.0,22.0,22.0,15.0,30.0,22.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,10.0,10.0,10.0,5.0,15.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,10.0,10.0,10.0,10.0
21,98,22,21.0,21.0,21.0,98.0,98.0,98.0,22.0,22.0,22.0,22.0,15.0,59.0,21.0,21.0,98.0,22.0,22.0,22.0,22.0,22.0,98.0,98.0,98.0,10.0,22.0,15.0,21.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,98.0,98.0,98.0,22.0,14.0,14.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
26,20,26,22.0,22.0,22.0,22.0,22.0,22.0,10.0,10.0,10.0,10.0,21.0,30.0,23.0,23.0,22.0,14.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,98.0,21.0,14.0,10.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,27.0,5.0,5.0,21.0,21.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
10,22,21,26.0,14.0,10.0,10.0,10.0,10.0,26.0,26.0,5.0,5.0,19.0,32.0,22.0,22.0,23.0,23.0,88.0,88.0,88.0,88.0,20.0,20.0,20.0,20.0,5.0,22.0,98.0,14.0,88.0,88.0,5.0,5.0,5.0,5.0,5.0,5.0,20.0,20.0,14.0,22.0,5.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
20,14,14,14.0,26.0,14.0,14.0,26.0,26.0,5.0,5.0,26.0,20.0,22.0,15.0,10.0,10.0,10.0,10.0,20.0,20.0,20.0,20.0,19.0,19.0,19.0,5.0,20.0,21.0,88.0,88.0,5.0,5.0,88.0,88.0,19.0,19.0,19.0,19.0,19.0,4.0,20.0,59.0,20.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
22,21,20,20.0,10.0,26.0,26.0,5.0,5.0,20.0,20.0,20.0,26.0,59.0,14.0,88.0,88.0,88.0,88.0,19.0,19.0,19.0,19.0,5.0,5.0,5.0,4.0,59.0,59.0,5.0,5.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,4.0,14.0,59.0,23.0,18.0,19.0,19.0,19.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
98,5,5,10.0,20.0,20.0,20.0,20.0,20.0,4.0,4.0,4.0,4.0,32.0,21.0,20.0,20.0,20.0,20.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,59.0,4.0,88.0,23.0,23.0,20.0,20.0,20.0,20.0,18.0,18.0,18.0,18.0,14.0,19.0,4.0,20.0,19.0,14.0,14.0,14.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
5,4,4,5.0,5.0,5.0,5.0,4.0,4.0,88.0,88.0,19.0,19.0,20.0,23.0,19.0,19.0,19.0,19.0,5.0,5.0,4.0,4.0,88.0,59.0,59.0,19.0,14.0,23.0,19.0,19.0,18.0,18.0,18.0,18.0,88.0,4.0,4.0,4.0,18.0,59.0,23.0,18.0,4.0,4.0,4.0,4.0,19.0,19.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
19,10,10,4.0,4.0,4.0,4.0,88.0,88.0,19.0,19.0,32.0,59.0,4.0,22.0,4.0,4.0,4.0,4.0,23.0,18.0,18.0,18.0,18.0,18.0,14.0,14.0,88.0,19.0,20.0,20.0,23.0,4.0,4.0,4.0,4.0,14.0,14.0,14.0,59.0,23.0,19.0,19.0,23.0,27.0,27.0,27.0,27.0,27.0,19.0,59.0,59.0,59.0,59.0,59.0,59.0
14,88,88,88.0,88.0,88.0,88.0,19.0,19.0,18.0,32.0,59.0,32.0,26.0,88.0,59.0,59.0,5.0,5.0,18.0,59.0,59.0,59.0,59.0,14.0,88.0,88.0,23.0,20.0,18.0,18.0,4.0,14.0,14.0,14.0,14.0,59.0,59.0,59.0,23.0,18.0,18.0,4.0,27.0,59.0,59.0,59.0,59.0,59.0,59.0,19.0,23.0,23.0,23.0,23.0,23.0
