0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,20,20,20,20,20,20,1,1,1,9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,22.0,14.0,23.0,21.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,20,15,15,15,15,15,15,9,9,9,22,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,22.0,98.0,23.0,21.0,9.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
22,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,12,15,1,1,1,1,1,1,30,30,30,6,22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,98.0,14.0,21.0,9.0,22.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,20,1,9,9,9,9,9,9,22,22,22,5,30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,14.0,23.0,9.0,22.0,6.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,5.0,5.0
27,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,22,22,15,9,12,12,12,28,30,30,6,6,6,1,5,98.0,98.0,98.0,98.0,98.0,98.0,98.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,14.0,14.0,23.0,21.0,22.0,6.0,98.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,23.0,23.0
28,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,22,22,14,14,28,21,21,21,28,30,12,12,5,5,5,30,98,5.0,5.0,5.0,5.0,5.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,5.0,23.0,21.0,88.0,6.0,98.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,14.0,14.0
30,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,14,14,20,20,21,28,28,28,30,12,27,27,98,98,98,98,14,14.0,14.0,14.0,14.0,14.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,23.0,21.0,88.0,20.0,98.0,4.0,30.0,23.0,5.0,4.0,23.0,23.0,23.0,23.0,30.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,26.0,26.0
20,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,98,98,20,20,15,15,88,30,30,30,21,27,21,21,14,14,14,14,23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,26.0,88.0,20.0,9.0,4.0,30.0,23.0,5.0,23.0,23.0,14.0,14.0,14.0,14.0,14.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0
5,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,14,14,15,15,4,21,23,27,27,27,27,21,22,22,4,4,4,4,88,88.0,88.0,88.0,88.0,88.0,88.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,21.0,20.0,6.0,6.0,30.0,14.0,14.0,14.0,14.0,14.0,4.0,21.0,21.0,21.0,21.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,1.0,1.0
6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14,20,20,4,4,21,88,30,22,22,22,22,22,6,6,88,88,88,88,19,19.0,19.0,19.0,19.0,19.0,26.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,21.0,21.0,21.0,88.0,1.0,4.0,4.0,5.0,5.0,5.0,21.0,21.0,21.0,21.0,4.0,26.0,26.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,98.0,98.0
88,20,14,14,14,14,14,14,14,14,14,14,14,14,14,20,18,18,21,21,88,23,27,6,6,6,6,6,26,26,23,23,23,23,32,32.0,32.0,32.0,32.0,32.0,19.0,19.0,19.0,19.0,19.0,20.0,21.0,21.0,21.0,88.0,88.0,88.0,20.0,27.0,30.0,30.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,18,15,15,88,88,23,30,22,32,32,26,26,26,5,5,19,19,19,19,20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,1.0,4.0,5.0,5.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
15,14,4,4,4,4,4,4,4,4,4,4,18,18,18,15,4,4,23,23,30,27,32,26,26,5,5,5,98,98,32,32,32,32,1,1.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,30.0,26.0,26.0,88.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0
98,88,88,88,88,18,18,18,18,18,18,18,4,15,15,4,21,21,32,32,32,32,6,5,5,98,98,98,14,14,59,59,59,59,21,21.0,26.0,26.0,26.0,26.0,1.0,1.0,1.0,1.0,1.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,4.0,5.0,27.0,27.0,20.0,88.0,88.0,88.0,88.0,88.0,88.0,20.0,88.0,10.0,10.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
14,15,18,18,18,15,15,15,15,15,15,15,15,4,4,21,88,88,27,27,27,6,26,98,98,14,14,14,4,4,20,20,20,20,26,26.0,27.0,4.0,10.0,10.0,10.0,27.0,27.0,27.0,27.0,19.0,19.0,10.0,10.0,10.0,10.0,10.0,30.0,26.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0,88.0,10.0,88.0,88.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
21,18,15,15,15,10,10,10,10,10,10,10,21,21,21,88,23,23,26,26,6,26,5,14,14,4,4,4,88,88,15,15,15,15,10,10.0,4.0,10.0,1.0,1.0,27.0,10.0,10.0,10.0,10.0,10.0,10.0,19.0,19.0,19.0,19.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,19.0,19.0,19.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,
