0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,27,27,27,27,27,27,27,27,27,27,27,6,6,6,6,6,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27.0,27.0
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1,1,1,6,6,6,12,12,12,12,12,12,12,12,12,12,1,1,27,27,27,27,27,27,27,12,6,6,6,6,6,6,6,6,6,6,27,27,27,27,27,6,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0,6.0
28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,12,12,12,28,28,28,28,28,28,28,28,28,28,27,27,1,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.0,12.0
1,28,28,28,28,28,28,28,28,28,28,28,28,28,6,9,9,9,9,9,9,9,9,9,12,6,6,28,28,28,1,1,1,1,1,1,1,1,1,1,28,9,6,1,1,1,1,1,1,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,28,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,6,6,6,6,6,6,6,6,6,6,12,12,1,1,1,27,27,27,27,27,27,27,27,27,27,9,22,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1,98,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.0,9.0
59,30,59,59,9,9,9,9,9,9,9,9,9,9,15,15,28,28,28,28,28,28,28,28,28,28,28,9,9,9,9,9,9,9,9,9,9,9,9,9,22,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,22,22,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,18,18,18,18,18,18.0,18.0
15,59,9,9,15,15,15,15,15,15,15,15,15,15,28,20,32,32,32,32,32,32,32,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,22,6,28,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,9,26,9,22,22,22,22,22,22,22,22,22,18,18,18,18,18,18,18,18,18,28,28,28,28,28,28.0,28.0
30,9,15,15,20,20,20,20,20,20,20,20,20,20,20,22,88,15,15,15,15,15,15,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,15,20,15,15,15,15,15,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,15,15,26,18,18,18,18,18,18,18,18,18,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22.0,22.0
9,15,20,20,10,10,10,10,10,10,26,26,26,22,22,88,15,22,22,22,22,22,22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,15,18,18,18,18,18,18,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,26,98,22,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15.0,15.0
5,10,10,10,59,26,26,26,26,26,5,5,5,5,88,23,22,20,20,20,20,20,20,26,26,26,26,26,26,26,26,26,26,26,18,18,18,26,26,98,18,20,20,20,20,20,20,20,20,20,26,26,26,26,26,26,26,26,26,26,26,26,26,98,9,18,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26.0,26.0
