0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,12.0,12.0,12.0,12.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,30.0,30.0,30.0,30.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
1,27.0,27.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,1.0,1.0,26.0,12.0,12.0,27.0,27.0,27.0,27.0,30.0,30.0,28.0,28.0,28.0,28.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,18.0,18.0,18.0,18.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
27,28.0,28.0,28.0,28.0,28.0,28.0,28.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,26.0,20.0,39.0,39.0,28.0,30.0,30.0,30.0,28.0,28.0,1.0,1.0,1.0,1.0,28.0,28.0,28.0,28.0,28.0,28.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,9.0,9.0,9.0,21.0,18.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,20.0,20.0,12.0,27.0,27.0,30.0,28.0,28.0,28.0,1.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,21.0,21.0,21.0,22.0,28.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
28,26.0,26.0,26.0,26.0,26.0,26.0,26.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,27.0,12.0,39.0,30.0,30.0,1.0,1.0,1.0,9.0,9.0,20.0,60.0,60.0,60.0,60.0,60.0,60.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,4.0,4.0,4.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,39.0,21.0,9.0,9.0,9.0,9.0,9.0,9.0,21.0,21.0,21.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
26,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,21.0,21.0,21.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,88.0,12.0,4.0,27.0,26.0,22.0,9.0,9.0,9.0,1.0,20.0,60.0,26.0,26.0,26.0,26.0,26.0,26.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,26.0,30.0,30.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,39.0,39.0,39.0,23.0,27.0,21.0,21.0,21.0,21.0,21.0,21.0,9.0,9.0,9.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,59.0,59.0,59.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,12.0,4.0,39.0,1.0,20.0,9.0,60.0,60.0,60.0,20.0,60.0,26.0,18.0,21.0,21.0,21.0,21.0,21.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,30.0,18.0,18.0,27.0,6.0,6.0,6.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,23.0,23.0,23.0,19.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
10,21.0,21.0,21.0,21.0,21.0,21.0,21.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,88.0,88.0,88.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,4.0,39.0,27.0,30.0,22.0,1.0,20.0,20.0,20.0,60.0,26.0,18.0,21.0,6.0,6.0,6.0,6.0,6.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,18.0,9.0,9.0,6.0,39.0,39.0,39.0,6.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,19.0,19.0,19.0,14.0,9.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
98,59.0,59.0,59.0,59.0,59.0,59.0,59.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,88.0,12.0,12.0,12.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,39.0,30.0,30.0,22.0,9.0,60.0,26.0,26.0,26.0,26.0,12.0,6.0,6.0,12.0,12.0,4.0,4.0,4.0,88.0,88.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,9.0,21.0,21.0,39.0,19.0,19.0,19.0,23.0,6.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,14.0,14.0,14.0,9.0,23.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,27.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
15,6.0,6.0,6.0,6.0,6.0,6.0,6.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,12.0,4.0,4.0,4.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,30.0,22.0,22.0,9.0,1.0,26.0,18.0,18.0,18.0,18.0,18.0,21.0,12.0,4.0,4.0,59.0,59.0,59.0,30.0,30.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,21.0,22.0,22.0,19.0,23.0,23.0,23.0,19.0,19.0,6.0,6.0,6.0,14.0,14.0,14.0,14.0,14.0,59.0,59.0,59.0,59.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
