,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,3.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,3.0,3.0,10.0,12.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1,12,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,12,12,12,12,12.0,12.0,12.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,21.0,21.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,3.0,3.0,3.0,3.0,3.0,10.0,10.0,12.0,10.0,12.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2,26,21,21,21,21,21,21,21,21,21,21,21,21,21,21,12,12,12,12,12,26,26,26,26,26.0,26.0,26.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,60.0,29.0,21.0,21.0,21.0,21.0,77.0,77.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,10.0,10.0,10.0,10.0,10.0,26.0,12.0,15.0,9.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
3,21,12,12,12,12,12,12,12,12,12,12,12,12,12,12,21,21,21,8,8,8,8,8,8,8.0,8.0,8.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,60.0,60.0,60.0,60.0,7.0,21.0,77.0,77.0,77.0,77.0,5.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,26.0,26.0,26.0,26.0,26.0,12.0,15.0,30.0,15.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,21.0,21.0,21.0,21.0,21.0,12.0,12.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,26.0,26.0,26.0,26.0
4,28,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,21,28,28,28,28,28,28.0,28.0,28.0,12.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,14.0,14.0,14.0,14.0,29.0,4.0,3.0,3.0,3.0,3.0,3.0,10.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,12.0,12.0,12.0,12.0,12.0,15.0,30.0,28.0,30.0,10.0,21.0,21.0,21.0,21.0,21.0,21.0,12.0,12.0,12.0,12.0,12.0,21.0,21.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,21.0,28.0,28.0,28.0
5,60,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,10,10,10,10,10,10.0,10.0,10.0,26.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,7.0,7.0,7.0,7.0,21.0,77.0,10.0,10.0,10.0,10.0,10.0,26.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,15.0,15.0,15.0,15.0,15.0,30.0,28.0,3.0,6.0,21.0,12.0,12.0,12.0,12.0,12.0,12.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,21.0,21.0,21.0
6,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,15,15,15,15,15,15.0,15.0,15.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,29.0,29.0,29.0,29.0,4.0,3.0,26.0,26.0,26.0,26.0,26.0,12.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,30.0,30.0,30.0,30.0,30.0,28.0,51.0,51.0,8.0,60.0,60.0,26.0,26.0,26.0,26.0,26.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,15.0,15.0,15.0
7,8,10,10,10,10,10,10,10,10,10,10,5,15,15,15,15,15,15,15,21,27,27,27,27,27.0,27.0,27.0,2.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,21.0,21.0,21.0,21.0,77.0,10.0,12.0,12.0,12.0,12.0,12.0,15.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,28.0,28.0,28.0,28.0,28.0,51.0,9.0,9.0,5.0,26.0,26.0,15.0,15.0,15.0,15.0,15.0,5.0,28.0,28.0,28.0,28.0,28.0,28.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
8,2,5,5,5,5,5,5,5,5,5,5,15,27,27,27,27,27,27,27,27,51,51,51,51,51.0,51.0,51.0,60.0,4.0,4.0,4.0,4.0,4.0,4.0,21.0,21.0,21.0,4.0,4.0,4.0,4.0,3.0,26.0,15.0,15.0,15.0,15.0,15.0,30.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,51.0,51.0,51.0,51.0,51.0,9.0,26.0,45.0,3.0,15.0,15.0,28.0,28.0,28.0,28.0,28.0,28.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,8.0,8.0,8.0
9,10,60,60,60,60,60,60,60,60,60,60,27,51,51,51,51,51,51,51,51,30,30,30,30,30.0,30.0,30.0,10.0,45.0,45.0,45.0,21.0,21.0,21.0,4.0,4.0,4.0,77.0,77.0,77.0,77.0,10.0,12.0,30.0,30.0,30.0,30.0,30.0,28.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,9.0,9.0,9.0,9.0,9.0,21.0,45.0,6.0,28.0,8.0,28.0,7.0,30.0,30.0,30.0,30.0,30.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,8.0,8.0,8.0,8.0,8.0,51.0,51.0,51.0
10,15,2,2,2,2,2,2,2,2,15,15,4,30,30,30,30,30,30,30,30,20,20,20,20,20.0,20.0,20.0,15.0,21.0,21.0,21.0,77.0,77.0,77.0,77.0,77.0,77.0,3.0,3.0,3.0,3.0,26.0,15.0,28.0,28.0,28.0,28.0,28.0,51.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,45.0,45.0,45.0,45.0,45.0,45.0,6.0,8.0,21.0,2.0,7.0,30.0,51.0,51.0,51.0,51.0,51.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,51.0,51.0,51.0,51.0,51.0,30.0,30.0,30.0
11,14,15,15,15,15,15,15,15,15,14,27,51,5,20,20,20,20,20,20,20,21,48,48,48,48.0,48.0,48.0,14.0,77.0,77.0,77.0,3.0,3.0,3.0,3.0,3.0,3.0,10.0,10.0,10.0,10.0,12.0,60.0,51.0,51.0,51.0,51.0,51.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,5.0,60.0,28.0,30.0,77.0,8.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
12,27,14,14,14,14,14,14,14,14,27,4,30,20,77,77,77,77,77,77,48,48,9,9,9,9.0,9.0,9.0,7.0,3.0,3.0,3.0,12.0,12.0,12.0,10.0,10.0,10.0,12.0,26.0,26.0,26.0,15.0,30.0,48.0,48.0,48.0,48.0,48.0,20.0,20.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,27.0,26.0,7.0,77.0,20.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
13,4,27,27,27,27,27,27,27,27,4,51,9,77,18,18,18,18,48,48,18,9,5,5,5,5.0,5.0,5.0,29.0,12.0,12.0,12.0,10.0,10.0,10.0,12.0,12.0,12.0,26.0,12.0,12.0,12.0,2.0,28.0,20.0,20.0,20.0,20.0,20.0,45.0,45.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,77.0,5.0,5.0,5.0,5.0,5.0,27.0,21.0,2.0,30.0,20.0,51.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
14,30,4,4,4,4,4,4,4,4,51,30,20,18,48,48,48,48,18,18,9,5,2,2,2,2.0,2.0,2.0,30.0,10.0,10.0,10.0,26.0,26.0,26.0,15.0,26.0,26.0,15.0,15.0,15.0,15.0,30.0,51.0,45.0,45.0,45.0,45.0,45.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,27.0,27.0,27.0,27.0,27.0,21.0,60.0,51.0,77.0,51.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
15,5,29,29,29,29,29,29,29,29,30,20,77,48,11,11,11,11,9,9,5,2,60,60,60,60.0,60.0,60.0,4.0,26.0,26.0,26.0,8.0,8.0,15.0,26.0,15.0,15.0,28.0,28.0,28.0,30.0,28.0,48.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,48.0,48.0,48.0,60.0,60.0,60.0,60.0,26.0,7.0,20.0,29.0,29.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
16,6,6,6,6,6,7,7,7,51,20,77,60,11,9,9,9,9,5,5,2,18,14,14,14,14.0,14.0,14.0,45.0,8.0,8.0,8.0,15.0,15.0,28.0,28.0,28.0,28.0,30.0,30.0,30.0,28.0,51.0,20.0,8.0,8.0,8.0,8.0,8.0,5.0,5.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,60.0,60.0,2.0,2.0,2.0,2.0,2.0,77.0,51.0,2.0,8.0,77.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
