resultID,deleted,marker,rank,diff,gap,overallRank,startPosition,bestLapTime,bestLap,lastLapTime,laps,totalTime,status,onTrack,pitStops,lastPitLap,sincePitLap,flagStatus,no,firstName,lastName,className,equipment,license,team,totalEntrantPoints,totalDriverPoints,comment,oldRank,OverTake_Remain,OverTake_Active,Tire,BestSpeed,LastSpeed,AverageSpeed,NTRank,NTLap,NTBestTime,NTBestSpeed,Passes,Passed,Best_S1,Best_I1,Best_L4,Best_P2,Best_S2,Best_L5,Best_L7,Best_L3,Best_S3,Best_T3_SPD,Best_S4A,Best_S4,Best_S4B,Best_S5A,Best_S5,Best_I2,Best_S5B,Best_T5_SPD,Best_S6A,Best_S6,Best_S6B,Best_S7,Best_L6,Best_I3,Best_S8,Best_P1,Best_L2,S1,I1,L4,P2,S2,L5,L7,L3,S3,T3_SPD,S4A,S4,S4B,S5A,S5,I2,S5B,T5_SPD,S6A,S6,S6B,S7,L6,I3,S8,P1,L2,EntrantID,TeamID,DriverID,T5,T3,time_stamp,Best_T5,Best_T3
6,0,1,1,0.0000,0.0000,1,7,1:01.7808,40,1:01.8663,42,50:35.2408,Active,TRUE,1,11,31,Green,9,Scott,Dixon,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,51,51,"",1,85,0,P,104.887,104.742,89.667,2,42,1:01.7808,104.887,4,11,2.8829,28.5582,59.1606,19.9973,6.1516,3.8309,995.634,58.2045,6.4996,158.624,4.6033,12.9292,8.3035,3.7419,10.3245,20.2778,6.5505,156.74,4.9526,9.9533,4.9955,8.4772,9.4442,12.6615,4.0784,13.4901,33.4874,2.9105,28.5582,,,6.1988,,,,6.5197,157.585,4.6257,12.9292,8.3035,3.7419,10.3245,20.2778,6.5826,156.74,4.9526,9.9533,5.0007,,,,,,,8,25,326,,,2022-02-27T18:22:05.309269Z,,
15,0,1,2,2.6776,2.6776,2,16,1:02.0274,42,1:02.0274,42,50:37.9184,Active,TRUE,1,12,30,Green,5,Pato,O'Ward,IndyCar,D/C/F,Veteran,Arrow McLaren SP,40,40,"",2,99,0,P,104.47,104.47,89.588,0,0,-0.0001,,8,10,2.8805,28.693,58.7359,19.4621,6.1426,3.8809,1049.09,58.1144,6.5023,157.524,4.7098,13.1155,8.3716,3.756,10.3717,20.2871,6.5817,159.148,4.9351,9.9154,4.9803,8.5682,9.6694,12.7642,4.112,13.4372,32.8993,2.9082,28.693,,,6.1426,,,,6.5191,157.131,4.7098,13.1231,8.4133,3.7794,10.4985,20.4573,6.7191,155.726,4.973,9.9588,4.9858,,,,,,,4,24,852,,,2022-02-27T18:22:05.309269Z,,
17,0,4,3,7.0898,4.4122,3,18,1:02.0309,15,1:02.3257,42,50:42.3306,Active,TRUE,1,9,33,Green,29,Devlin,DeFrancesco,IndyCar,D/H/F,Rookie,Andretti Steinbrenner Autosport,35,35,"",5,85,0,P,104.464,103.97,89.458,0,0,-0.0001,,3,1,2.8295,28.6889,60.1711,10.5685,6.2504,3.868,864.595,58.3699,6.551,158.901,4.6128,12.9894,8.3766,3.777,10.3973,20.4296,6.515,160.838,4.967,9.9749,4.9791,8.5204,10.0805,12.6942,4.0704,24.501,35.0695,2.8328,29.0234,,,6.2769,,,,6.551,158.901,4.7669,13.3627,8.5958,3.8453,10.4002,,6.5549,159.148,5.0951,,,,,,,,,20,3,2020,,,2022-02-27T18:22:05.309269Z,,
3,0,4,4,8.5944,1.5046,4,4,1:01.9747,3,1:02.6092,42,50:43.8352,Active,TRUE,1,20,22,Green,21,Rinus,VeeKay,IndyCar,D/C/F,Veteran,Ed Carpenter Racing,32,32,"",6,112,0,P,104.559,103.499,89.414,0,0,-0.0001,,10,10,2.9067,28.6211,64.9439,21.5031,6.0765,4.2119,1575.18,60.1775,6.5239,155.518,4.6455,13.0498,8.393,3.7836,10.5167,20.501,6.5906,155.844,4.9244,9.9741,5.0155,8.5114,10.6043,12.7431,4.1167,13.5062,35.0093,3.0155,29.1516,,,6.2138,,,,6.6208,149.358,4.7515,13.3015,8.55,3.8251,10.6106,,6.7855,146.785,,,,,,,,,,16,139,1010,,,2022-02-27T18:22:05.309269Z,,
13,0,4,5,9.7617,1.1673,5,14,1:02.2357,16,1:02.8560,42,50:45.0025,Active,TRUE,1,12,30,Green,4,Dalton,Kellett,IndyCar,D/C/F,Veteran,AJ Foyt Enterprises,30,30,"",7,69,0,P,104.12,103.093,89.379,0,0,-0.0001,,1,4,2.796,28.81,59.9559,10.5966,6.1865,4.1082,1057.82,59.376,6.5268,158.194,4.7372,13.155,8.3904,3.7775,10.4807,20.5341,6.5624,158.194,4.9253,9.9903,5.012,8.6302,10.104,12.8112,4.0902,24.2543,34.8509,2.9058,29.2947,,,6.386,,,,6.5793,156.89,4.8731,13.4236,8.5505,3.9218,10.4842,,6.5624,158.133,,,,,,,,,,3,2,719,,,2022-02-27T18:22:05.309269Z,,
18,0,4,6,10.3240,0.5623,6,19,1:02.5757,22,1:02.7445,42,50:45.5648,Active,TRUE,1,19,23,Green,77,Callum,Ilott,IndyCar,D/C/F,Rookie,Juncos Hollinger Racing,28,28,"",8,120,0,P,103.555,103.276,89.363,0,0,-0.0001,,2,6,2.9279,28.9552,61.1668,10.7125,6.1521,3.8858,1501.65,58.2193,6.5695,155.755,4.699,13.18,8.3961,3.7473,10.5012,20.5187,6.7242,155.4,4.9408,10.0084,5.008,8.5351,10.0767,12.7747,4.1345,23.5445,34.257,2.965,29.2712,,,6.3253,,,,6.6029,155.755,4.8097,13.378,8.5683,3.8918,10.6341,,6.7423,152.333,,,,,,,,,,26,146,2072,,,2022-02-27T18:22:05.309269Z,,
0,0,4,7,10.7114,0.3874,7,1,1:01.5548,4,1:02.7941,42,50:45.9522,Active,TRUE,1,27,15,Green,3,Scott,McLaughlin,IndyCar,D/C/F,Veteran,Team Penske,30,30,"",9,134,0,P,105.272,103.194,89.351,1,6,1:01.5548,105.272,8,1,2.9349,28.4458,104.527,20.1908,6.0518,3.9744,2085.52,106.377,6.4788,156.89,4.5838,12.9155,8.2823,3.7309,10.4371,20.4118,6.6705,157.373,4.9434,9.9523,4.9642,8.4835,12.3404,12.6911,4.1126,13.4927,33.6835,2.9736,29.306,,,6.3437,,,,6.5637,156.62,4.8994,13.425,8.5256,3.9109,10.6141,,6.7032,152.305,,,,,,,,,,2,12,2022,,,2022-02-27T18:22:05.309269Z,,
9,0,4,8,11.2730,0.5616,8,10,1:01.9698,12,1:02.6582,42,50:46.5138,Active,TRUE,1,27,15,Green,10,Alex,Palou,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,24,24,"",10,117,0,P,104.567,103.418,89.335,0,0,-0.0001,,4,10,2.8893,28.7576,100.988,19.9245,6.1523,4.2316,2076.8,107.426,6.5223,156.41,4.6538,13.1225,8.454,3.7789,10.4735,20.4616,6.6262,156.56,4.9712,9.9881,5.0023,8.5324,11.9742,12.7064,4.0886,13.4695,33.394,2.9503,29.2932,,,6.2827,,,,6.5585,152.022,4.8461,13.5017,8.6556,3.9109,10.6127,,6.7018,155.282,,,,,,,,,,9,25,2018,,,2022-02-27T18:22:05.309269Z,,
2,0,4,9,11.8864,0.6134,9,3,1:01.8434,5,1:02.7544,42,50:47.1272,Active,TRUE,1,27,15,Green,26,Colton,Herta,IndyCar,D/H/F,Veteran,Andretti Autosport,22,22,"",11,121,0,P,104.781,103.26,89.317,0,0,-0.0001,,10,3,2.8911,28.6769,103.457,21.639,6.1445,4.5096,2084.5,106.675,6.5015,157.95,4.5892,13.0387,8.414,3.7112,10.419,20.3528,6.5122,159.396,4.8382,9.8675,4.9829,8.5314,12.5225,12.7595,4.0921,13.4606,35.0996,2.9193,29.195,,,6.2316,,,,6.5711,155.755,4.8273,13.473,8.6457,3.8421,10.5503,,6.7082,147.341,,,,,,,,,,17,3,879,,,2022-02-27T18:22:05.309269Z,,
1,0,4,10,14.0027,2.1163,10,2,1:01.6007,18,1:02.7332,42,50:49.2435,Active,TRUE,1,27,15,Green,12,Will,Power,IndyCar,D/C/F,Veteran,Team Penske,20,20,"",12,104,0,A,105.194,103.295,89.255,0,0,-0.0001,,10,4,2.8102,28.4418,103.535,19.9598,6.0537,4.4269,2084.92,106.433,6.4786,157.343,4.547,12.9233,8.3216,3.7356,10.4071,20.3617,6.5693,162.016,4.9171,9.9224,4.9532,8.4281,12.4177,12.6304,4.0765,13.4927,33.4525,2.9587,29.1389,,,6.2092,,,,6.5423,154.112,4.7929,13.4287,8.6358,3.7876,,,,,,,,,,,,,,11,12,461,,,2022-02-27T18:22:05.309269Z,,
