resultID,deleted,marker,rank,diff,gap,overallRank,startPosition,bestLapTime,bestLap,lastLapTime,laps,totalTime,status,onTrack,pitStops,lastPitLap,sincePitLap,flagStatus,no,firstName,lastName,className,equipment,license,team,totalEntrantPoints,totalDriverPoints,comment,oldRank,OverTake_Remain,OverTake_Active,Tire,BestSpeed,LastSpeed,AverageSpeed,NTRank,NTLap,NTBestTime,NTBestSpeed,Passes,Passed,Best_TSF_SPD,Best_S1,Best_I1,Best_L4,Best_L5,Best_L7,Best_L3,Best_S2,Best_S3A,Best_S3,Best_S3B,Best_S4,Best_S5A,Best_S5,Best_I2,Best_S5B,Best_S6,Best_T6_SPD,Best_S7,Best_I3,Best_T7_SPD,Best_S8,Best_L6,Best_S9,Best_PIC,Best_P1,Best_L2,Best_P2,TSF_SPD,S1,I1,L4,L5,L7,L3,S2,S3A,S3,S3B,S4,S5A,S5,I2,S5B,S6,T6,S7,I3,T7,S8,L6,S9,PIC,P1,L2,P2,EntrantID,TeamID,DriverID,T6_SPD,T7_SPD,TSF,Best_TSF,time_stamp
2,0,1,1,0.0000,0.0000,1,3,1:07.9026,23,1:08.3212,83,1:44:52.9711,Active,True,2,61,22,Green,10,Alex,Palou,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,53,53,"",1,61,0,P,121.939,121.192,109.208,3,24,1:07.9026,121.939,7,2,163.383,1.8321,31.3145,66.9390,12.7260,2057.6400,71.0043,9.7717,6.5263,12.0904,5.3992,7.3626,7.1407,11.0860,16.5936,3.8886,5.4837,172.666,5.3276,19.7470,137.297,5.1052,13.0986,9.1036,8.0383,22.9886,29.8724,6.8838,160.908,1.8578,"","","","","",9.9388,6.7874,"","","","","","","","","","","","","","","","","","","",8,25,2018,,,,,2021-04-18T21:29:11.706149Z
3,0,1,2,1.8038,1.8038,2,4,1:07.8606,56,1:08.0007,83,1:44:54.7749,Active,True,2,62,21,Green,12,Will,Power,IndyCar,D/C/F,Veteran,Team Penske,41,41,"",2,104,0,P,122.015,121.763,109.176,6,33,1:08.3825,121.084,5,1,164.560,1.8070,31.2525,66.3156,12.2280,1989.0900,70.3837,9.7602,6.6631,12.1231,5.3877,7.2879,7.1672,11.1169,16.5799,3.8454,5.3735,175.831,5.3686,19.8082,137.021,5.2537,12.7844,9.0687,7.6948,12.8519,29.4534,16.5967,161.107,1.8490,"","","","","",9.9760,"","","","","","","","","","","",19.8270,"","","",9.0687,"","","","",9,12,461,,,,,2021-04-18T21:29:11.706149Z
4,0,1,3,3.5382,1.7344,3,5,1:07.7347,57,1:07.8462,83,1:44:56.5093,Active,True,2,61,22,Green,9,Scott,Dixon,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,35,35,"",3,94,0,P,122.242,122.041,109.146,0,0,-0.0001,,7,,161.935,1.8478,31.2664,66.6397,12.0615,1986.3200,69.7657,9.7507,6.6700,12.1506,5.4364,7.3273,7.1991,11.1517,16.6486,3.8802,5.4646,173.247,5.2897,19.7046,138.132,5.2611,12.7311,8.9687,7.7061,12.7743,29.6603,16.8814,161.050,1.8700,"","","","","",9.7507,"","","","","","","","","","","",19.7570,"","","",9.1335,"","","","",7,25,326,,,,,2021-04-18T21:29:11.706149Z
0,0,1,4,7.4035,3.8653,4,1,1:06.8182,65,1:07.7544,83,1:45:00.3746,Active,True,3,66,17,Green,5,Pato,O'Ward,IndyCar,D/C/F,Veteran,Arrow McLaren SP,34,34,"",4,1,0,P,123.918,122.206,109.079,1,39,1:07.1298,123.343,14,4,165.364,1.8024,30.8129,65.2812,11.8664,1634.6700,69.9395,9.6520,6.4757,11.9688,5.3286,7.2745,7.1170,10.9868,16.4908,3.8592,5.4754,174.714,5.2828,19.4841,136.418,5.2663,12.3996,8.7936,7.6089,12.7933,29.3223,16.5115,161.391,1.8532,"","","","","",9.8014,"","","","","","","","","","","",19.7658,"","","",9.0178,"","","","",4,24,852,,,,,2021-04-18T21:29:11.706149Z
15,0,1,5,11.9874,4.5839,5,16,1:07.2274,36,1:07.9405,83,1:45:04.9585,Active,True,3,63,20,Green,14,Sebastien,Bourdais,IndyCar,D/C/F,Veteran,AJ Foyt Enterprises,31,31,"",5,38,0,P,123.164,121.871,109.000,2,38,1:07.2274,123.164,14,1,165.724,1.8402,30.9258,65.4316,11.8988,1474.6000,69.6738,9.7342,6.4821,11.9617,5.4695,7.3039,7.1599,11.0321,16.3977,3.8413,5.3374,175.048,5.3510,19.6904,136.091,5.1741,12.5785,9.0571,7.7225,22.6267,29.5101,6.8834,161.391,1.8586,"","","","","","","","","","","","","","","","","",19.8117,"",5.2841,"",9.1430,"","","","",10,2,371,,,,,2021-04-18T21:29:11.706149Z
13,0,1,6,14.3582,2.3708,6,14,1:07.1993,63,1:07.9902,83,1:45:07.3293,Active,True,4,64,19,Green,21,Rinus,VeeKay,IndyCar,D/C/F,Veteran,Ed Carpenter Racing,29,29,"",6,56,0,P,123.216,121.782,108.959,0,0,-0.0001,,15,5,165.244,1.8007,30.8754,65.5149,12.2433,488.4330,70.2262,9.6313,6.5826,12.0321,5.4495,7.3536,7.1725,11.0233,16.4532,3.8485,5.4188,175.308,5.3132,19.5419,136.364,5.2706,12.8252,8.8757,7.8098,23.6542,30.5012,6.8470,159.615,1.8576,"","","","","","","","","","","","","","","","","",19.9011,"",5.3598,"",9.1534,"","","","",14,139,1010,,,,,2021-04-18T21:29:11.706149Z
5,0,0,7,18.8292,4.4710,7,6,1:07.8895,39,1:08.2609,83,1:45:11.8003,Active,True,2,60,23,Green,8,Marcus,Ericsson,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,26,26,"",7,59,0,P,121.963,121.299,108.882,0,0,-0.0001,,8,4,163.881,1.8352,31.3700,66.6545,12.2934,1912.0600,70.4361,9.8515,6.5020,12.1381,5.4300,7.3213,7.1261,11.0753,16.5441,3.8720,5.4688,172.162,5.3810,19.7812,137.159,5.2510,13.0700,9.0302,7.9885,23.8599,30.7107,6.8452,159.950,1.9395,31.5900,"","","","",9.9548,6.7675,12.2125,5.4450,7.4832,7.1549,11.1144,16.6277,3.9595,5.5133,,5.4599,20.0432,,5.5222,"",9.0611,"","","","",6,25,1087,165.364,135.523,,,2021-04-18T21:29:11.706149Z
17,0,0,8,19.4092,0.5800,8,18,1:07.8023,61,1:08.1196,83,1:45:12.3803,Active,True,3,62,21,Green,15,Graham,Rahal,IndyCar,D/H/F,Veteran,Rahal Letterman Lanigan Racing,24,24,"",8,96,0,P,122.120,121.551,108.872,0,0,-0.0001,,12,2,166.540,1.8336,31.2361,65.9276,12.2802,608.3230,70.3973,9.8118,6.6041,12.1386,5.4050,7.3140,7.1654,11.1224,16.5948,3.8660,5.4056,175.271,5.3328,19.6999,136.774,5.3021,12.6662,8.9477,7.6774,12.8308,28.4731,15.4771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,21,400,,,,,2021-04-18T21:29:11.706149Z
1,0,0,9,1 LAPS,1.2011,9,2,1:07.3828,63,1:08.4799,82,1:44:05.4618,Active,True,3,65,17,Green,27,Alexander,Rossi,IndyCar,D/H/F,Veteran,Andretti Autosport,22,22,"",9,28,0,P,122.880,120.911,108.713,0,0,-0.0001,,12,,163.295,1.8317,31.0476,65.6284,12.0786,1499.5500,69.9046,9.8014,6.5439,11.9434,5.3643,7.3606,7.1127,11.0038,16.5129,3.8748,5.4795,172.306,5.3564,19.5854,138.778,5.2530,12.6226,8.9526,7.7390,21.8350,28.7025,6.8675,160.625,1.8623,31.4675,"","","","",9.9249,6.6824,12.1771,5.4947,7.5032,7.2256,11.1645,16.7301,3.9389,5.5656,,5.4993,"",,5.3390,"","","","","","",17,3,522,170.949,136.064,,,2021-04-18T21:29:11.706149Z
6,0,0,10,1 LAPS,19.1363,10,7,1:08.0389,56,1:08.6770,82,1:44:24.5981,Active,True,2,62,20,Green,51,Romain,Grosjean,IndyCar,D/H/F,Rookie,Dale Coyne Racing w/Rick Ware Racing,20,20,"",10,83,0,P,121.695,120.564,108.380,7,73,1:08.4376,120.986,6,5,160.936,1.8554,31.4279,66.7709,12.3922,1992.8700,72.1489,9.7719,6.6442,12.2472,5.4157,7.3970,7.1765,11.1633,16.6971,3.9576,5.4989,172.992,5.3227,19.7378,135.362,5.2467,13.0618,9.0073,8.1279,25.0328,31.8876,6.8548,159.978,1.8640,31.7955,"","","","",9.9682,6.7562,12.3245,5.5683,7.6388,7.6660,11.7186,"",4.0526,"","","","","","","","","","","","",22,129,2047,,,,,2021-04-18T21:29:11.706149Z
10,0,0,11,1 LAPS,2.3029,11,11,1:07.8373,58,1:08.6118,82,1:44:26.9010,Active,True,3,62,20,Green,60,Jack,Harvey,IndyCar,D/H/F,Veteran,Meyer Shank Racing,19,19,"",11,99,0,P,122.057,120.679,108.341,4,51,1:08.0688,121.642,4,5,162.859,1.8458,31.2044,68.1542,12.3029,1478.4100,70.7879,9.7601,6.6881,12.1138,5.4064,7.4165,7.1741,11.1207,16.7039,3.9025,5.5615,171.233,5.3932,19.8353,136.610,5.3735,13.2258,8.9356,7.9917,22.7377,29.5961,6.8567,160.738,1.8633,31.5835,"","","","",9.9133,6.7993,12.2998,5.5005,7.5071,7.3213,11.2689,"",3.9476,"","","","","","","","","","","","",24,148,850,,,,,2021-04-18T21:29:11.706149Z
14,0,0,12,1 LAPS,10.5183,12,15,1:08.0267,58,1:08.7222,82,1:44:37.4193,Active,True,3,64,18,Green,22,Simon,Pagenaud,IndyCar,D/C/F,Veteran,Team Penske,18,18,"",12,23,0,P,121.717,120.485,108.159,5,24,1:08.2538,121.312,12,2,163.441,1.8411,31.3126,66.3017,12.0684,1445.5500,70.4023,9.8971,6.6081,12.1049,5.4098,7.3076,7.2415,11.1734,16.6460,3.8593,5.4726,173.794,5.4352,19.9276,134.827,5.3574,12.8326,9.0105,7.7904,22.0187,28.9108,6.8885,160.512,1.8701,31.5864,"","","","",10.0264,6.6863,12.1766,5.4903,7.5133,"","","","","","","","","","","","","","","","",15,12,658,,,,,2021-04-18T21:29:11.706149Z
18,0,0,13,1 LAPS,4.3615,13,19,1:07.6178,65,1:08.8017,82,1:44:41.7808,Active,True,3,66,16,Green,30,Takuma,Sato,IndyCar,D/H/F,Veteran,Rahal Letterman Lanigan Racing,17,17,"",13,43,0,A,122.453,120.346,108.084,0,0,-0.0001,,14,3,165.544,1.8131,31.1471,66.4470,11.9775,1452.0900,70.2035,9.8163,6.5742,12.0953,5.4194,7.2978,7.2740,11.2022,16.6878,3.9089,5.4856,172.270,5.3186,19.7829,136.966,5.3219,12.7456,8.9890,7.8200,22.6311,29.5045,6.8690,159.142,1.8761,"","","","","",10.0913,6.7716,12.2256,5.4540,"","","","","","","","","","","","","","","","","",20,21,543,,,,,2021-04-18T21:29:11.706149Z
11,0,0,14,1 LAPS,3.9042,14,12,1:07.9414,57,1:08.4481,82,1:44:45.6850,Active,True,3,66,16,Green,3,Scott,McLaughlin,IndyCar,D/C/F,Rookie,Team Penske,16,16,"",14,45,0,P,121.870,120.968,108.017,0,0,-0.0001,,9,1,163.062,1.8362,31.3635,66.8336,12.7187,1170.6300,71.5942,9.8977,6.6249,12.0531,5.4117,7.3673,7.2314,11.1672,16.7013,3.8822,5.4450,174.271,5.3002,19.6892,135.820,5.3647,12.7458,8.9854,7.6685,22.4699,29.3575,6.8875,159.894,1.8733,"","","","","",9.9535,6.6414,12.0531,5.4117,"","","","","","","","","","","","","","","","","",2,12,2022,,,,,2021-04-18T21:29:11.706149Z
12,0,0,15,1 LAPS,4.4549,15,13,1:08.1302,62,1:08.3867,82,1:44:50.1399,Active,True,3,67,15,Green,18,Ed,Jones,IndyCar,D/H/F,Veteran,Dale Coyne Racing with Vasser Sullivan,15,15,"",15,35,0,A,121.532,121.076,107.940,0,0,-0.0001,,7,,163.940,1.8155,31.4154,66.8793,12.1191,1243.1400,70.0662,9.8257,6.6014,12.1942,5.4853,7.3550,7.2445,11.1346,16.6476,3.8760,5.4892,172.054,5.3634,19.8236,136.692,5.3467,13.1326,9.0222,8.2038,23.3808,30.2606,6.8439,162.309,1.8430,"","","","","",9.9814,6.6908,"","","","","","","","","","","","","","","","","","","",12,129,918,,,,,2021-04-18T21:29:11.706149Z
