resultID,deleted,marker,rank,diff,gap,overallRank,startPosition,bestLapTime,bestLap,lastLapTime,laps,totalTime,status,onTrack,pitStops,lastPitLap,sincePitLap,flagStatus,no,firstName,lastName,className,equipment,license,team,totalEntrantPoints,totalDriverPoints,comment,oldRank,OverTake_Remain,OverTake_Active,Tire,BestSpeed,LastSpeed,AverageSpeed,NTRank,NTLap,NTBestTime,Best_TSF_SPD,Best_S1,Best_I1,Best_L4,Best_L5,Best_L7,Best_L3,Best_S2A,Best_S2,Best_S2B,Best_S3A,Best_S3,Best_S3B,Best_S4,Best_T4_SPD,Best_S5A,Best_S5,Best_I2,Best_S5B,Best_S5C,Best_S6A,Best_S6,Best_S6B,Best_T6_SPD,Best_S7A,Best_S7,Best_I3,Best_S7B,Best_S8,Best_L6,Best_PIC_SPD,Best_P1,Best_S9,Best_L2,Best_P2,TSF,S1,I1,L4,L5,L7,L3,S2A,S2,S2B,S3A,S3,S3B,S4,T4,S5A,S5,I2,S5B,S5C,S6A,S6,S6B,T6,S7A,S7,I3,S7B,S8,L6,PIC,P1,S9,L2,P2,EntrantID,TeamID,DriverID,NTBestSpeed,time_stamp,Best_PIC,TSF_SPD,T4_SPD,T6_SPD,Best_TSF,Passes,Passed,PIC_SPD
6,0,7,1,0.0000,0.0000,1,7,1:08.0256,20,1:08.0256,20,30:42.4875,In Pit,False,4,15,5,Finish,9,Scott,Dixon,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,296,296,"",15,6,0,A,119.496,119.496,88.237,0,0,-0.0001,139.550,3.4197,28.1896,67.1332,12.0722,73.1485,70.6077,5.6548,9.1980,3.5432,7.1236,13.3408,6.2172,2.1291,179.820,5.7412,14.3214,24.0678,4.5858,3.9944,4.2671,9.7464,5.4793,123.723,2.6675,7.0143,15.7682,4.2945,4.8513,5.4734,50.768,8.9984,3.8560,31.1349,22.1365,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",7,25,326,,2021-07-04T16:02:28.217616Z,,,,,,,,
15,0,7,2,0.0489,0.0489,2,16,1:08.0745,16,1:09.4199,19,31:03.9724,In Pit,False,4,12,7,Finish,26,Colton,Herta,IndyCar,D/H/F,Veteran,Andretti Autosport,242,242,"",1,0,0,P,119.410,117.096,82.859,0,0,-0.0001,139.908,3.4156,28.1816,66.6957,12.2449,69.6130,70.4003,5.6961,9.2628,3.5667,7.1542,13.3815,6.2273,2.1217,181.134,5.8277,14.5111,24.2123,4.6422,3.9647,4.1855,9.6429,5.3955,125.334,2.6354,6.9048,15.6505,4.2679,4.8490,5.3969,50.931,8.9293,3.8324,32.1380,23.1229,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",16,3,879,,2021-07-04T16:02:28.217616Z,,,,,,,,
22,0,7,3,0.1234,0.0745,3,23,1:08.1490,16,1:49.0707,22,31:12.2535,In Pit,False,5,22,0,Finish,51,Romain,Grosjean,IndyCar,D/H/F,Rookie,Dale Coyne Racing w/Rick Ware Racing,159,125,"",2,0,0,P,119.280,74.528,95.518,0,0,-0.0001,138.300,3.4709,28.3285,65.2780,12.1762,77.4892,69.6429,5.6992,9.2906,3.5836,7.1176,13.4118,6.2108,2.0850,184.942,5.7217,14.3565,24.0059,4.7016,3.9332,4.2322,9.6494,5.3811,123.779,2.6857,6.9006,15.5155,4.2034,4.6867,5.1460,54.263,8.9605,3.8515,31.3459,22.3854,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",22,129,2047,,2021-07-04T16:02:28.217616Z,,,,,,,,
24,0,7,4,0.1384,0.0150,4,25,1:08.1640,14,1:26.0329,18,28:16.4093,In Pit,False,3,18,0,Checkered,59,Max,Chilton,IndyCar,D/C/F,Veteran,Carlin,80,65,"",2,0,0,P,119.254,94.485,86.252,0,0,-0.0001,139.147,3.4251,28.2194,66.5970,12.1678,67.2816,69.7888,5.6781,9.2315,3.5534,7.2143,13.4459,6.2316,2.1169,181.657,5.7611,14.3747,24.1811,4.6453,3.9247,4.3027,9.7866,5.4839,123.462,2.6664,7.0404,15.7635,4.2935,4.7694,5.4571,45.573,18.9201,3.8620,30.3318,11.4060,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",23,147,922,,2021-07-04T16:02:28.217616Z,,,,,,,,
18,0,7,5,0.2173,0.0789,5,19,1:08.2429,15,1:10.2402,18,30:57.9628,In Pit,False,4,11,7,Finish,29,James,Hinchcliffe,IndyCar,D/H/F,Veteran,Andretti Steinbrenner Autosport,118,118,"",4,4,0,P,119.116,115.729,78.752,2,10,1:09.5241,140.436,3.3982,28.3001,66.8704,12.1077,79.7523,70.6435,5.7297,9.2927,3.5630,7.1671,13.3995,6.2281,2.1168,181.335,5.7582,14.4545,24.2469,4.6766,3.9505,4.2251,9.7331,5.4736,124.080,2.6444,6.8966,15.6306,4.2316,4.8141,5.6477,46.097,23.3720,3.8591,34.8190,11.3802,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",19,3,480,116.921,2021-07-04T16:02:28.217616Z,,,,,,,,
7,0,7,6,0.2993,0.0820,6,8,1:08.3249,9,1:09.8358,20,30:03.2299,In Pit,False,2,1,19,Finish,10,Alex,Palou,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,349,349,"",5,0,0,P,118.973,116.399,90.158,1,11,1:09.5109,138.090,3.4768,28.3049,67.4058,13.4187,80.0748,74.6397,5.7350,9.3272,3.5790,7.1808,13.3975,6.2167,2.1032,182.508,5.7545,14.4876,24.2953,4.7290,3.9934,4.2680,9.7622,5.4758,123.481,2.6590,6.9274,15.5930,4.2684,4.7785,5.4399,47.616,8.9259,3.8871,60.3432,51.3859,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",8,25,2018,116.943,2021-07-04T16:02:28.217616Z,,,,,,,,
0,0,7,7,0.3024,0.0031,7,1,1:08.3280,10,1:18.2117,20,29:29.0805,In Pit,False,3,20,0,Checkered,2,Josef,Newgarden,IndyCar,D/C/F,Veteran,Team Penske,261,261,"",6,0,0,P,118.967,103.933,91.899,0,0,-0.0001,139.076,3.4410,28.2216,69.2397,11.9306,78.0736,71.3954,5.6727,9.2319,3.5592,7.1457,13.4065,6.2324,2.0831,184.525,5.7671,14.5207,24.3989,4.6941,4.0075,4.2913,9.8636,5.5561,122.244,2.6862,6.9583,15.7075,4.2603,4.8252,5.6257,46.626,8.9666,3.8955,30.0067,21.0149,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,12,606,,2021-07-04T16:02:28.217616Z,,,,,,,,
5,0,7,8,0.4058,0.1034,8,6,1:08.4314,8,1:08.8571,21,30:23.4771,In Pit,False,5,16,5,Checkered,8,Marcus,Ericsson,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,239,239,"",7,0,0,P,118.788,118.053,93.615,5,5,1:10.0314,138.440,3.4314,28.3750,66.4823,11.7346,83.8503,71.2625,5.6664,9.2385,3.5721,7.1479,13.3397,6.1918,2.1226,181.014,5.7584,14.5424,24.3257,4.6764,4.0398,4.2554,9.7833,5.4937,123.630,2.6950,6.9597,15.7296,4.2064,4.8419,5.4261,48.339,8.9034,3.8695,20.2481,11.3447,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,25,1087,116.074,2021-07-04T16:02:28.217616Z,,,,,,,,
1,0,7,9,0.4175,0.0117,9,2,1:08.4431,16,1:09.8920,23,30:51.5209,In Pit,False,4,13,10,Finish,3,Scott,McLaughlin,IndyCar,D/C/F,Rookie,Team Penske,180,180,"",8,0,0,P,118.767,116.305,100.978,7,4,1:12.0234,135.573,3.4942,28.5127,68.0726,12.0946,82.4483,70.3479,5.7281,9.3567,3.6286,7.1935,13.4936,6.2545,2.1082,181.980,5.6522,14.2516,23.9294,4.6044,3.9598,4.2106,9.6688,5.4582,122.080,2.6968,7.0401,15.7214,4.2957,4.7539,5.3575,50.064,18.4558,3.9274,30.3219,11.8661,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,12,2022,112.863,2021-07-04T16:02:28.217616Z,,,,,,,,
11,0,7,10,0.5223,0.1048,10,12,1:08.5479,18,1:11.0849,20,30:52.9157,In Pit,False,4,15,5,Finish,18,Ed,Jones,IndyCar,D/H/F,Veteran,Dale Coyne Racing with Vasser Sullivan,120,120,"",9,0,0,A,118.586,114.353,87.741,0,0,-0.0001,138.020,3.4759,28.4925,66.2166,12.4816,72.2315,70.3204,5.7045,9.3221,3.6071,7.2069,13.5596,6.2396,2.0992,182.916,5.7060,14.4339,24.2365,4.7512,3.9766,4.3212,9.7847,5.4554,123.481,2.6965,6.9627,15.7437,4.2512,4.8395,5.5710,47.616,8.9020,3.8436,31.5490,22.4775,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",12,129,918,,2021-07-04T16:02:28.217616Z,,,,,,,,
3,0,7,11,0.5417,0.0194,11,4,1:08.5673,8,1:09.4965,22,30:35.2382,In Pit,False,3,2,20,Finish,5,Pato,O'Ward,IndyCar,D/C/F,Veteran,Arrow McLaren SP,321,321,"",10,0,0,P,118.552,116.967,97.444,0,0,-0.0001,137.787,3.4884,28.4601,66.8422,12.8338,73.1246,73.7825,5.6494,9.3514,3.6266,7.2339,13.4927,6.2519,2.1231,181.094,5.8491,14.5739,24.2716,4.7249,3.9920,4.2805,9.6977,5.4172,123.686,2.6759,6.9580,15.7671,4.2605,4.8386,5.7812,44.355,8.9485,3.9080,33.2708,24.1819,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4,24,852,,2021-07-04T16:02:28.217616Z,,,,,,,,
25,0,7,12,0.6240,0.0823,12,26,1:08.6496,7,1:17.2644,15,30:56.5381,In Pit,False,5,15,0,Checkered,60,Jack,Harvey,IndyCar,D/H/F,Veteran,Meyer Shank Racing,159,159,"",11,12,0,P,118.410,105.208,65.677,0,0,-0.0001,140.629,3.4081,28.5182,66.0539,12.3522,70.0078,72.2840,5.7539,9.3781,3.6008,7.3667,13.5857,6.2190,2.1119,181.859,5.7943,14.5600,24.3619,4.6952,4.0640,4.2204,9.7589,5.5385,124.476,2.6587,6.9484,15.7652,4.2897,4.9573,5.3879,47.590,8.9231,3.8142,30.2446,21.2674,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",24,148,850,,2021-07-04T16:02:28.217616Z,,,,,,,,
17,0,7,13,0.7813,0.1573,13,18,1:08.8069,13,1:09.8708,16,30:04.4131,In Pit,False,4,10,6,Checkered,28,Ryan,Hunter-Reay,IndyCar,D/H/F,Veteran,Andretti Autosport,139,139,"",12,5,0,P,118.139,116.340,72.079,0,0,-0.0001,139.526,3.4608,28.6297,66.9375,12.3504,70.0951,73.7777,5.8185,9.4744,3.6210,7.2328,13.5022,6.2470,2.1445,178.059,5.8820,14.6751,24.5474,4.6967,4.0531,4.3517,9.8723,5.4648,125.739,2.6447,6.9821,15.6214,4.3374,4.7880,5.3594,52.858,8.9337,3.8513,30.7586,21.7907,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",18,3,442,,2021-07-04T16:02:28.217616Z,,,,,,,,
19,0,7,14,0.8020,0.0207,14,20,1:08.8276,17,1:08.8276,17,30:33.0877,In Pit,False,5,13,4,Checkered,30,Takuma,Sato,IndyCar,D/H/F,Veteran,Rahal Letterman Lanigan Racing,206,206,"",22,16,0,A,118.104,118.104,75.386,0,0,-0.0001,136.455,3.5167,28.6057,67.8445,12.4191,70.3985,73.4298,5.7309,9.3289,3.5980,7.2353,13.6027,6.3011,2.1444,179.151,5.7375,14.4026,24.2609,4.6830,3.9821,4.3433,9.8583,5.4967,123.686,2.6689,6.9985,15.9610,4.3296,4.9624,5.8818,43.659,18.8840,3.9131,30.3281,11.4233,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",20,21,543,,2021-07-04T16:02:28.217616Z,,,,,,,,
