resultID,deleted,marker,rank,diff,gap,overallRank,startPosition,bestLapTime,bestLap,lastLapTime,laps,totalTime,status,onTrack,pitStops,lastPitLap,sincePitLap,flagStatus,no,firstName,lastName,className,equipment,license,team,totalEntrantPoints,totalDriverPoints,comment,oldRank,OverTake_Remain,OverTake_Active,Tire,NTRank,NTLap,NTBestTime,Best_TSF_SPD,Best_S1,Best_I1,Best_L4,Best_L5,Best_L7,Best_L3,Best_S2A,Best_S2,Best_S2B,Best_T2_SPD,Best_S3A,Best_S3,Best_S3B,Best_S3C,Best_S3D,Best_S4,Best_I2,Best_T4_SPD,Best_S5A,Best_S5,Best_S5B,Best_S6,Best_S7A,Best_S7,Best_I3,Best_S7B,Best_T7_SPD,Best_S8,Best_L6,Best_PIC,Best_S9,Best_P1,Best_L2,Best_P2,TSF_SPD,S1,I1,L4,L5,L7,L3,S2A,S2,S2B,T2_SPD,S3A,S3,S3B,S3C,S3D,S4,I2,T4_SPD,S5A,S5,S5B,S6,S7A,S7,I3,S7B,T7_SPD,S8,L6,PIC,S9,P1,L2,P2,EntrantID,TeamID,DriverID,LastSpeed,time_stamp,Passed,Passes,BestSpeed,AverageSpeed,NTBestSpeed,T2,T4,T7,TSF
0,0,0,1,0.0000,0.0000,1,1,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Warmup,2,Josef,Newgarden,IndyCar,D/C/F,Veteran,Team Penske,255,255,"",0,0,0,P,0,0,-0.0001,70.412,5.1066,55.2921,"",22.9512,"",130.2030,7.0365,18.5308,11.4943,89.267,10.0568,31.6547,6.8311,8.7825,5.9843,14.1758,47.9880,94.863,8.8939,18.7310,9.8371,15.0812,8.0320,13.8745,24.9744,5.8425,83.607,3.1314,"","",7.9685,"","","",70.412,5.1066,55.2921,"",22.9512,"",130.2030,7.0365,18.5308,11.4943,89.267,10.0568,31.6547,6.8311,8.7825,5.9843,14.1758,47.9880,94.863,8.8939,18.7310,9.8371,15.0812,8.0320,13.8745,24.9744,5.8425,83.607,3.1314,"","",7.9685,"","","",1,12,606,,2021-06-13T16:47:47.561328Z,,,,,,,,,
1,0,0,2,0.0000,0.0000,2,2,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Warmup,26,Colton,Herta,IndyCar,D/H/F,Veteran,Andretti Autosport,210,210,"",0,0,0,A,0,0,-0.0001,74.966,5.1403,"","",23.6666,"",130.1250,6.7498,18.4199,11.6701,77.899,11.0656,33.1015,6.3146,8.0065,5.6141,15.5270,48.9812,82.456,8.7853,17.3734,8.5881,16.0808,7.8126,13.2271,24.3758,5.4145,70.596,3.4436,"","",7.7051,"","","",74.966,5.1403,"","",23.6666,"",130.1250,6.7498,18.4199,11.6701,77.899,11.0656,33.1015,6.3146,8.0065,5.6141,15.5270,48.9812,82.456,8.7853,17.3734,8.5881,16.0808,7.8126,13.2271,24.3758,5.4145,70.596,3.4436,"","",7.7051,"","","",16,3,879,,2021-06-13T16:47:47.561328Z,,,,,,,,,
2,0,0,3,0.0000,0.0000,3,3,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Warmup,21,Rinus,VeeKay,IndyCar,D/C/F,Veteran,Ed Carpenter Racing,266,266,"",0,0,0,A,0,0,-0.0001,67.451,5.0248,"","",23.4091,"",129.8080,6.1659,18.9804,12.8145,82.507,11.3092,32.6071,5.5503,7.7046,5.3673,16.3776,49.7672,58.472,8.4215,16.6020,8.1805,16.7876,7.8219,12.6113,24.0245,4.7894,67.500,3.5796,"","",7.8336,"","","",67.451,5.0248,"","",23.4091,"",129.8080,6.1659,18.9804,12.8145,82.507,11.3092,32.6071,5.5503,7.7046,5.3673,16.3776,49.7672,58.472,8.4215,16.6020,8.1805,16.7876,7.8219,12.6113,24.0245,4.7894,67.500,3.5796,"","",7.8336,"","","",14,139,1010,,2021-06-13T16:47:47.561328Z,,,,,,,,,
3,0,0,4,0.0000,0.0000,4,4,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Warmup,10,Alex,Palou,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,295,295,"",0,150,0,A,0,0,-0.0001,71.332,4.8074,"","",23.3379,"",129.7120,6.3963,19.1055,12.7092,76.387,11.7065,32.4190,5.4133,7.2288,5.3401,16.4331,50.3870,75.623,8.5464,16.6579,8.1115,17.2960,7.5847,12.0675,23.5683,4.4828,88.330,3.5345,"","",7.9663,"","","",71.332,4.8074,"","",23.3379,"",129.7120,6.3963,19.1055,12.7092,71.601,11.7065,32.4190,5.4133,7.2288,5.3401,16.4331,50.3870,75.623,8.5464,16.6579,8.1115,17.2960,7.5847,12.0675,23.5683,4.4828,88.330,3.5345,"","",7.9663,"","","",8,25,2018,,2021-06-13T16:47:47.561328Z,,,,,,,,,
4,0,0,5,0.0000,0.0000,5,5,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Warmup,51,Romain,Grosjean,IndyCar,D/H/F,Rookie,Dale Coyne Racing w/Rick Ware Racing,153,119,"",0,0,0,A,0,0,-0.0001,62.947,5.2570,"","",23.9246,"",128.9190,5.8141,19.1366,13.3225,95.107,11.6376,30.9983,5.3436,6.8680,5.0178,17.0998,50.8782,60.275,8.4872,16.1748,7.6876,17.6036,7.0891,11.3617,23.1174,4.2726,93.643,3.3064,"","",8.4493,"","","",62.947,5.2570,"","",23.9246,"",128.9190,5.8141,19.1366,13.3225,95.107,11.6376,30.9983,5.3436,6.8680,5.0178,17.0998,50.8782,60.275,8.4872,16.1748,7.6876,17.6036,7.0891,11.3617,23.1174,4.2726,93.643,3.3064,"","",8.4493,"","","",22,129,2047,,2021-06-13T16:47:47.561328Z,,,,,,,,,
5,0,0,6,0.0000,0.0000,6,6,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Warmup,9,Scott,Dixon,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,265,265,"",0,150,0,A,0,0,-0.0001,66.671,5.8482,"","",24.2258,"",128.6290,6.6534,20.3673,13.7139,86.221,10.6244,32.1250,5.6823,7.1347,4.6973,16.4308,49.3408,68.245,9.4957,17.0903,7.5946,15.8197,8.0562,12.5101,22.9372,4.4539,97.948,2.8494,"","",7.5777,"","","",66.671,5.8482,"","",24.2258,"",128.6290,6.6534,20.3673,13.7139,86.221,10.6244,32.1250,5.6823,7.1347,4.6973,16.4308,49.3408,68.245,9.4957,17.0903,7.5946,15.8197,8.0562,12.5101,22.9372,4.4539,97.948,2.8494,"","",7.5777,"","","",7,25,326,,2021-06-13T16:47:47.561328Z,,,,,,,,,
6,0,0,7,0.0000,0.0000,7,7,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Warmup,27,Alexander,Rossi,IndyCar,D/H/F,Veteran,Andretti Autosport,154,154,"",0,0,0,A,0,0,-0.0001,48.864,5.8381,"","",23.5779,"",129.5300,5.6750,19.2365,13.5615,71.004,11.7843,33.2743,5.3588,7.5142,4.6709,17.1955,48.3435,62.712,10.1835,17.6369,7.4534,13.5111,8.9371,13.7961,24.3347,4.8590,92.550,2.5438,"","",7.9948,"","","",48.864,5.8381,"","",23.5779,"",129.5300,5.6750,19.2365,13.5615,71.004,11.7843,33.2743,5.3588,7.5142,4.6709,17.1955,48.3435,62.712,10.1835,17.6369,7.4534,13.5111,8.9371,13.7961,24.3347,4.8590,92.550,2.5438,"","",7.9948,"","","",17,3,522,,2021-06-13T16:47:47.561328Z,,,,,,,,,
7,0,0,8,0.0000,0.0000,8,8,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Warmup,20,Conor,Daly,IndyCar,D/C/F,Veteran,Ed Carpenter Racing,173,126,"",0,0,0,A,0,0,-0.0001,53.012,6.4284,"","",23.6152,"",129.3160,5.3041,19.1454,13.8413,64.861,11.6179,33.1802,5.4280,7.5357,4.6549,16.9444,48.4422,65.003,10.4062,17.8499,7.4437,13.6479,8.9487,14.1638,24.0780,5.2151,88.444,2.5288,"","",7.3854,"","","",53.012,6.4284,"","",23.6152,"",129.3160,5.3041,19.1454,13.8413,64.861,11.6179,33.1802,5.4280,7.5357,4.6549,16.9444,48.4422,65.003,10.4062,17.8499,7.4437,13.6479,8.9487,14.1638,24.0780,5.2151,88.444,2.5288,"","",7.3854,"","","",13,139,580,,2021-06-13T16:47:47.561328Z,,,,,,,,,
8,0,0,9,0.0000,0.0000,9,9,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Warmup,15,Graham,Rahal,IndyCar,D/H/F,Veteran,Rahal Letterman Lanigan Racing,201,201,"",0,150,0,A,0,0,-0.0001,77.085,6.1447,"","",23.5117,"",129.5110,6.1379,18.5953,12.4574,62.651,12.4768,33.3796,5.8584,7.6481,4.6393,16.7340,48.0555,60.119,9.9745,18.1317,8.1572,13.1898,8.7497,14.4944,24.5641,5.7447,74.605,3.2878,"","",6.7819,"","","",77.085,6.1447,"","",23.5117,"",129.5110,6.1379,18.5953,12.4574,59.664,12.4768,33.3796,5.8584,7.6481,4.6393,16.7340,48.0555,60.119,9.9745,18.1317,8.1572,13.1898,8.7497,14.4944,24.5641,5.7447,74.605,3.2878,"","",6.7819,"","","",11,21,400,,2021-06-13T16:47:47.561328Z,,,,,,,,,
9,0,0,10,0.0000,0.0000,10,10,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Warmup,22,Simon,Pagenaud,IndyCar,D/C/F,Veteran,Team Penske,239,239,"",0,0,0,A,0,0,-0.0001,86.343,5.2443,"","",23.8236,"",129.6610,6.6408,18.9473,12.3065,67.750,12.1080,32.6579,6.0853,7.8159,4.6420,16.6363,48.6958,69.795,10.4923,18.8988,8.4065,13.1607,8.1577,13.9280,24.4834,5.7703,69.213,3.6386,"","",6.9168,"","","",86.343,5.2443,"","",23.8236,"",129.6610,6.6408,18.9473,12.3065,67.750,12.1080,32.6579,6.0853,7.8159,4.6420,16.6363,48.6958,69.795,10.4923,18.8988,8.4065,13.1607,8.1577,13.9280,24.4834,5.7703,69.213,3.6386,"","",6.9168,"","","",15,12,658,,2021-06-13T16:47:47.561328Z,,,,,,,,,
