resultID,deleted,marker,rank,diff,gap,overallRank,startPosition,bestLapTime,bestLap,lastLapTime,laps,totalTime,status,onTrack,pitStops,lastPitLap,sincePitLap,flagStatus,no,firstName,lastName,className,equipment,license,team,comment,oldRank,OverTake_Remain,OverTake_Active,Tire,NTRank,NTLap,NTBestTime,Best_S7,Best_L6,Best_I3,Best_S8,Best_P1,Best_L2,Best_S1,Best_I1,Best_L4,Best_P2,Best_S2,Best_L5,Best_L7,Best_L3,Best_S3,Best_T3,Best_S4A,Best_S4,Best_S4B,Best_S5A,Best_S5,Best_I2,Best_S5B,Best_T5,Best_S6A,Best_S6,Best_S6B,S7,L6,I3,S8,P1,L2,S1,I1,L4,P2,S2,L5,L7,L3,S3,T3,S4A,S4,S4B,S5A,S5,I2,S5B,T5,S6A,S6,S6B,EntrantID,TeamID,DriverID,Best_T5_SPD,T5_SPD,Best_T3_SPD,T3_SPD,time_stamp,BestSpeed,LastSpeed,AverageSpeed,NTBestSpeed
8,0,7,1,0.0000,0.0000,1,9,0.0000,0,0.0000,0,1:07.8915,In Pit,False,0,0,0,Green,10,Alex,Palou,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,"",0,0,0,P,0,0,-0.0001,"","","","",13.5066,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",9,25,2018,,,,,2022-02-25T20:42:11.120507Z,,,,
1,0,7,2,0.0000,0.0000,8,2,0.0000,0,0.0000,0,0.0000,In Pit,False,0,0,0,Green,3,Scott,McLaughlin,IndyCar,D/C/F,Rookie,Team Penske,"",0,0,0,P,0,0,-0.0001,"",13.0694,"","",13.4307,"","","","","","","",82.8901,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,12,2022,,,,,2022-02-25T20:42:11.120507Z,,,,
3,0,7,4,0.0000,0.0000,3,4,0.0000,0,0.0000,0,0.0000,In Pit,False,0,0,0,Green,5,Pato,O'Ward,IndyCar,D/C/F,Veteran,Arrow McLaren SP,"",0,0,0,P,0,0,-0.0001,"","","","",13.4769,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4,24,852,,,,,2022-02-25T20:42:11.120507Z,,,,
5,0,7,6,0.0000,0.0000,14,6,0.0000,0,0.0000,0,0.0000,In Pit,False,0,0,0,Green,7,Felix,Rosenqvist,IndyCar,D/C/F,Veteran,Arrow McLaren SP,"",0,0,0,P,0,0,-0.0001,"",12.9111,"","","","","","","","","","",83.8440,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,24,963,,,,,2022-02-25T20:42:11.120507Z,,,,
6,0,7,7,0.0000,0.0000,6,7,0.0000,0,0.0000,0,0.0000,In Pit,False,0,0,0,Green,8,Marcus,Ericsson,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,"",0,0,0,P,0,0,-0.0001,"",13.5492,"","",13.4748,"","","","","","","",82.4883,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",7,25,1087,,,,,2022-02-25T20:42:11.120507Z,,,,
7,0,7,8,0.0000,0.0000,4,8,0.0000,0,0.0000,0,0.0000,In Pit,False,0,0,0,Green,9,Scott,Dixon,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,"",0,0,0,P,0,0,-0.0001,"","","","",13.3864,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",8,25,326,,,,,2022-02-25T20:42:11.120507Z,,,,
10,0,7,11,0.0000,0.0000,9,11,0.0000,0,0.0000,0,0.0000,In Pit,False,0,0,0,Green,12,Will,Power,IndyCar,D/C/F,Veteran,Team Penske,"",0,0,0,P,0,0,-0.0001,"",13.3018,"","",13.4673,"","","","","","","",82.7196,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",11,12,461,,,,,2022-02-25T20:42:11.120507Z,,,,
12,0,7,13,0.0000,0.0000,7,13,0.0000,0,0.0000,0,0.0000,In Pit,False,0,0,0,Green,15,Graham,Rahal,IndyCar,D/H/F,Veteran,Rahal Letterman Lanigan Racing,"",0,0,0,P,0,0,-0.0001,"",13.4504,"","",13.4310,"","","","","","","",82.5785,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",13,21,400,,,,,2022-02-25T20:42:11.120507Z,,,,
14,0,7,15,0.0000,0.0000,12,15,0.0000,0,0.0000,0,0.0000,In Pit,False,0,0,0,Green,20,Conor,Daly,IndyCar,D/C/F,Veteran,Ed Carpenter Racing,"",0,0,0,P,0,0,-0.0001,"",12.7543,"","","","","","","","","","",83.0923,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",15,139,580,,,,,2022-02-25T20:42:11.120507Z,,,,
25,0,7,16,0.0000,0.0000,16,26,0.0000,0,0.0000,0,1:33.3449,In Pit,False,0,0,0,Green,77,Callum,Ilott,IndyCar,D/C/F,Rookie,Juncos Hollinger Racing,"",0,0,0,P,0,0,-0.0001,"",13.2305,"","","","","","","","","","",84.1733,"","","","","","","","",31.1892,"","","",15.3131,7.2468,"","","","","","","","","","","","","","","","","","","","","","","","","","","",26,146,2072,,,,,2022-02-25T20:42:11.120507Z,,,,
24,0,7,17,0.0000,0.0000,17,25,0.0000,0,0.0000,0,1:36.0600,In Pit,False,0,0,0,Green,60,Simon,Pagenaud,IndyCar,D/H/F,Veteran,Meyer Shank Racing,"",0,0,0,P,0,0,-0.0001,"",13.7347,"","",13.9485,"","","","","","","",84.7330,"","","","","","","","",31.8764,"","","",14.8399,7.4945,"","","","","","","","","","","","","","","","","","","","","","","","","","","",25,148,658,,,,,2022-02-25T20:42:11.120507Z,,,,
2,0,7,18,0.0000,0.0000,18,3,0.0000,0,0.0000,0,1:38.8297,In Pit,False,0,0,0,Green,4,Dalton,Kellett,IndyCar,D/C/F,Veteran,AJ Foyt Enterprises,"",0,0,0,P,0,0,-0.0001,"",12.5455,"","","","","","","","","","",79.6896,"","","","","","","","",30.8953,"","","",14.1232,6.6255,"","","","","","","","","","","","","","","","","","","","","","","","","","","",3,2,719,,,,,2022-02-25T20:42:11.120507Z,,,,
