1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
9,2,2,2,2,10,10,10,10,10,10,2,2,2,2,2,12,12,12,9,9,9,9,10,10,10,10,10,10,30,30,30,30,30,30,30,30,30,30,30,30,30,30
10,10,10,10,10,2,2,2,2,2,2,10,10,12,12,12,10,10,10,28,10,10,10,28,28,28,28,28,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10
88,88,88,88,88,30,30,30,12,12,12,12,12,10,10,10,2,30,30,10,28,28,28,30,30,30,30,30,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
28,28,28,28,28,88,12,12,30,30,30,30,30,30,30,30,30,22,22,30,30,30,30,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
31,30,30,30,30,12,88,88,88,88,22,22,22,22,22,22,22,2,88,22,22,22,22,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
30,5,5,5,5,28,28,28,28,22,88,88,88,5,5,5,5,5,15,21,5,5,15,5,5,5,5,5,5,5,5,5,5,5,5,26,26,26,26,26,26,26,26
5,12,12,12,12,5,5,22,22,5,5,5,5,88,31,31,31,31,18,26,15,15,5,21,21,21,21,21,21,26,26,26,26,26,26,5,5,5,5,5,5,5,5
15,20,20,20,20,22,22,5,5,20,20,20,20,31,88,88,88,88,7,5,21,21,21,26,26,26,26,26,26,21,21,21,21,21,21,21,21,21,21,21,21,21,21
12,15,15,15,15,20,20,20,20,15,15,15,31,20,20,20,15,15,27,15,88,88,88,88,88,88,88,88,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
22,22,22,22,22,7,15,15,15,18,18,18,15,15,15,15,18,18,5,88,26,26,26,18,18,18,18,18,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
20,7,7,7,7,15,18,18,18,31,31,31,18,18,18,18,7,7,28,19,18,18,18,31,31,31,31,31,31,31,31,31,31,7,7,7,7,7,7,7,7,7,7
7,18,18,18,18,18,7,31,31,7,7,7,7,7,7,7,59,59,31,18,31,31,31,19,19,19,19,19,7,7,7,7,7,31,31,31,31,31,31,31,31,31,31
18,31,31,31,31,98,98,7,7,28,28,28,28,28,28,14,14,14,21,31,19,19,19,7,7,7,7,7,19,19,19,19,19,14,14,14,14,14,14,14,14,14,14
21,98,98,98,98,31,31,98,98,21,21,21,21,21,21,59,4,4,26,7,7,7,7,14,14,14,14,14,14,14,14,14,14,19,19,19,19,19,98,98,98,98,98
98,21,21,21,21,21,21,21,21,98,14,14,14,14,26,21,28,28,14,14,14,14,14,59,59,59,59,59,98,98,98,98,98,98,98,98,98,98,59,59,59,59,59
59,59,59,59,59,14,14,14,14,14,98,19,19,19,14,28,21,21,19,59,59,59,59,98,98,98,98,98,59,59,59,59,59,59,59,59,59,59,19,19,12,12,12
4,14,14,14,14,59,19,19,19,19,19,59,26,26,59,4,19,26,59,4,4,4,98,4,4,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,19,19,19
14,26,26,26,26,19,59,59,59,59,59,26,59,59,4,26,26,19,4,98,98,98,4,12,12,4,4,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,
19,19,19,19,19,26,26,26,26,26,26,4,4,4,19,19,98,98,98,12,12,12,12,20,20,20,20,20,20,4,,,,,,,,,,,,,
26,4,4,4,4,4,4,4,4,4,4,98,98,98,98,98,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,
