0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,15,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,15,15,15,18,18,2,2,2,2,2,2,2,2,22,22,22,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,22,22
9,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,10,10,10,10,20,20,20,20,20,10,10,18,31,31,31,31,31,31,31,31,31,31,31,9,20,60,60,60,60,60,60,9,18,18,30,2,31,31,31,31,31,31,31,22,15,15,15,22,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,22,22,22,22,9,9
60,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,60,60,60,60,60,60,60,60,60,21,15,9,59,59,59,59,59,59,59,59,59,5,5,20,60,20,22,22,22,22,22,18,30,30,2,31,5,5,5,5,5,5,5,31,19,19,19,60,21,21,21,21,21,4,4,4,4,4,4,22,22,22,22,22,60,60,60,60,60,60
88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,20,20,20,20,10,10,10,10,10,15,18,30,15,4,4,4,4,4,5,5,5,9,9,60,22,22,20,21,21,21,21,22,2,2,19,5,9,9,9,9,9,9,9,9,2,2,2,21,4,4,4,4,4,20,22,22,22,22,22,4,4,4,4,4,4,4,4,4,4,4
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,15,15,15,15,15,15,21,21,21,18,30,19,30,5,5,5,5,5,4,4,4,4,4,21,21,21,21,15,15,15,15,30,19,19,31,30,18,22,22,22,22,22,22,15,12,12,12,15,20,20,20,20,20,22,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21
12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,22,22,22,22,22,21,15,15,15,3,19,10,4,9,9,9,9,9,9,9,9,20,20,22,10,10,15,18,18,18,18,2,31,31,15,9,22,60,60,60,60,60,60,5,31,31,31,2,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,20,20
15,12,12,12,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,18,30,2,2,5,20,20,20,20,20,20,20,20,60,60,10,15,15,10,30,30,30,30,19,5,5,5,22,60,59,59,59,59,15,15,19,5,5,5,4,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12
22,22,22,21,12,12,12,12,12,12,22,22,22,22,22,22,18,18,18,18,30,30,18,18,30,19,31,31,18,60,60,60,60,60,60,60,60,10,10,15,30,30,30,3,3,2,2,31,9,9,9,60,59,15,15,15,15,59,59,12,9,9,9,12,19,19,19,19,19,19,19,19,19,19,12,12,12,12,12,12,12,12,12,12,12,10
7,7,21,22,22,22,22,22,22,22,12,12,12,12,12,12,12,12,12,12,12,18,30,30,3,2,26,59,9,10,10,10,10,10,10,10,10,21,21,30,18,18,18,2,2,3,3,60,22,22,22,59,15,21,21,21,21,21,21,60,60,60,60,20,5,5,5,5,5,12,12,12,12,12,19,19,19,10,10,10,10,10,10,10,10,15
18,21,7,7,7,7,7,7,7,7,18,18,18,2,18,18,30,30,30,30,18,12,3,3,19,26,59,4,19,21,21,21,21,21,21,21,21,22,22,18,3,3,3,19,19,19,19,5,60,60,60,19,21,18,18,18,18,18,18,30,21,21,21,31,12,12,12,12,12,5,10,10,10,10,10,10,10,19,19,19,19,19,19,19,19,19
