0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,12,12,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,10,10,10,10,10,10,10,12,12,12,9,9,22,22,22,22,22,22,28,10,10,10,10,21,21,21,21,21,12,12,12,12,12,12,12,12,10,10,10,10,10,10,28,28,28,28,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,27,9,9,9,9,9,9,9,9,9,10,2,28,28,28,28,28,28,10,28,60,21,21,9,9,9,9,9,10,10,10,10,10,10,10,10,12,12,12,12,12,12,2,2,22,9,19,19,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
22,22,22,22,22,22,22,22,22,22,22,22,10,10,9,9,9,9,9,27,27,27,27,27,27,21,21,2,2,22,88,88,88,88,88,88,22,18,21,9,9,12,12,12,12,12,27,27,27,27,27,27,27,27,27,27,27,27,28,28,22,22,21,22,28,28,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12
18,18,18,18,18,18,18,18,18,18,18,18,9,9,28,28,28,21,21,21,21,21,21,21,21,27,19,19,22,28,15,10,10,10,10,10,88,60,9,12,12,27,27,27,27,27,21,28,28,28,28,28,28,28,28,28,28,28,2,2,12,21,9,60,60,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,27
10,10,10,10,10,10,10,10,10,10,10,10,28,28,2,21,21,19,19,19,19,19,19,19,19,19,27,22,28,88,10,15,15,15,18,18,18,21,12,27,27,28,28,28,28,28,28,2,2,2,2,2,2,2,2,2,2,2,22,22,21,9,2,88,2,12,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,22
88,9,9,9,9,9,9,9,9,9,9,9,22,60,60,19,19,2,2,2,2,2,2,2,2,2,2,28,88,15,18,18,18,18,60,60,60,9,27,28,28,2,2,2,2,2,2,22,22,22,22,22,22,22,22,22,22,22,21,21,88,88,88,19,12,27,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21
9,88,88,88,88,88,88,88,88,88,88,88,88,21,21,14,14,22,22,22,22,22,22,22,22,22,22,88,15,10,60,60,60,60,21,21,21,12,28,22,22,22,22,22,22,22,22,88,88,88,88,88,21,21,21,21,21,21,88,88,9,60,60,15,27,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,88
60,60,60,60,60,60,60,60,28,28,28,28,60,98,19,2,2,14,28,28,28,28,28,28,28,28,28,21,18,18,21,21,21,21,15,9,9,27,18,60,88,88,88,88,88,88,88,21,21,21,21,21,88,88,88,88,88,88,27,60,60,15,15,21,22,21,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,15
28,28,28,28,28,28,28,28,60,60,60,60,21,19,14,22,22,28,14,88,88,88,88,88,88,88,88,15,60,60,12,12,12,12,9,12,12,20,22,88,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,15,15,19,19,2,21,88,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60
5,21,21,20,20,20,20,20,20,20,20,20,98,14,22,60,15,15,88,14,15,15,15,15,15,15,15,18,21,21,9,9,9,9,12,27,27,19,88,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,19,19,18,18,12,88,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,18
7,15,20,21,21,21,21,21,21,21,21,21,19,22,98,15,88,88,15,15,14,18,18,18,18,18,18,60,27,27,27,27,27,27,27,19,19,22,15,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,12,12,27,15,15,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,19
21,59,15,98,98,98,98,98,98,98,98,98,18,18,18,88,18,18,18,18,18,14,60,60,60,60,60,27,19,19,19,19,19,19,19,20,20,88,20,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,27,27,27,27,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,20
19,20,98,15,15,15,15,15,15,59,59,59,14,88,88,18,60,60,60,60,60,60,14,14,14,14,20,20,20,20,20,20,20,20,20,59,59,15,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
15,98,59,59,59,59,59,59,59,19,19,19,20,15,15,98,98,20,20,20,20,20,20,20,20,20,59,59,59,59,59,59,59,59,59,98,15,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,30,98,98,98,
59,19,19,19,19,19,19,19,19,4,4,14,59,20,20,20,20,98,98,59,59,59,59,59,59,59,14,98,98,98,98,98,98,98,98,15,98,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,98,98,98,98,98,98,98,98,98,59,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,30,30,30,30,30,30,30,30,30,98,59,59,59,
30,4,4,4,4,4,4,4,4,15,14,4,15,26,26,26,26,26,59,98,98,98,98,98,98,98,98,4,4,4,4,4,4,4,4,4,14,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,4,4,4,4,4,4,4,4,4,4,59,14,14,59,59,59,59,59,59,59,59,59,59,30,30,4,4,4,4,4,4,4,59,59,59,4,31,31,
20,26,26,26,26,26,26,26,26,26,26,15,26,59,59,59,59,59,26,26,26,4,4,4,4,4,4,31,31,31,31,31,31,31,14,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,31,31,31,31,31,31,31,31,31,31,14,59,59,31,31,31,31,31,30,30,30,30,30,59,59,59,59,59,59,59,59,59,4,4,4,31,4,4,
98,14,14,14,14,14,14,14,14,14,15,26,4,4,4,4,4,4,4,4,4,26,31,31,31,31,31,26,26,26,26,26,26,14,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,14,30,30,30,30,30,30,14,14,14,31,31,31,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,30,30,
26,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,26,26,26,26,26,30,30,30,14,14,14,26,26,31,31,31,31,31,31,31,31,31,30,30,30,30,30,30,30,30,30,14,14,14,14,14,14,30,30,30,30,30,30,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,
4,5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,14,14,14,30,30,30,30,31,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,
31,30,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,
14,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
