0,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31,32,,33,,34,,35,,36,,37,,38,,39,,40,,41,,42,,43,,44,,45,,46,,47,,48,,49,,50,,51,,52,,53,,54,,55,,56,,57,,58,,59,,60,,61,,62,,63,,64,,65,,66,,,67,68,69,,,70,71,72,,73,,74,,75,,76,,77,,78,,79,,80,,81,,82,,83,,84,,85,,86,,87,,88,,89,,90,,91,,92,,93,,94,,95,,96,,97,,98,,99,,100,,101,,102,,103,,104,,105,,106,,107,,108,109,,110
12,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,10,,10,,10,,2,,27,,27,,12,,12,,12,,12,,12,,10,,10,,10,,10,,10,,10,,10,,10,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,2,2,,,2,2,2,,2,,2,,2,,2,,2,,2,,2,,10,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,2,,2
2,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,2,,2,,2,,9,,2,,12,,10,,10,,10,,10,,10,,12,,12,,12,,12,,12,,12,,12,,12,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,2,,9,,9,,9,,9,,98,,98,,98,,98,,98,,98,,9,,9,,9,,9,,9,,9,,,9,9,9,,,9,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,9,,9
10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,9,,9,,9,,27,,9,,10,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,9,,10,,98,,98,,98,,12,,12,,12,,9,,9,,9,,12,,12,,12,,12,,12,,12,,,12,12,12,,,12,12,12,,12,,12,,12,,12,,12,,12,,12,,12,,10,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,12,,12
9,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,27,,27,,27,,28,,28,,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,12,,98,,21,,21,,12,,9,,9,,9,,12,,12,,12,,10,,10,,10,,10,,10,,10,,,10,10,10,,,10,10,10,,10,,10,,10,,10,,10,,10,,10,,2,,12,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,10,,10
28,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,28,,28,,28,,10,,12,,9,,14,,14,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,21,,12,,12,,21,,10,,10,,10,,10,,10,,10,,27,,27,,27,,27,,27,,27,,,27,27,27,,,27,27,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,27,,27
27,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,12,,20,,12,,12,,10,,14,,27,,27,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,22,,22,,22,,22,,12,,10,,10,,10,,15,,27,,27,,27,,27,,27,,5,,5,,5,,5,,5,,5,,,5,5,5,,,5,5,5,,5,,5,,5,,5,,5,,22,,22,,22,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,5,,5
60,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,20,,12,,14,,14,,14,,28,,28,,81,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,22,,22,,22,,14,,14,,98,,98,,15,,15,,15,,15,,27,,15,,5,,5,,5,,5,,15,,15,,22,,22,,22,,22,,,22,22,22,,,22,22,22,,22,,22,,22,,22,,22,,5,,5,,5,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,22,,22
23,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,5,,14,,81,,81,,81,,81,,81,,60,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,23,,23,,23,,22,,22,,22,,22,,22,,22,,22,,22,,22,,26,,26,,14,,98,,98,,21,,21,,27,,27,,27,,27,,5,,5,,15,,15,,15,,15,,98,,22,,15,,15,,15,,15,,,15,15,15,,,30,30,30,,30,,30,,88,,60,,60,,60,,21,,21,,15,,15,,15,,15,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,88,,88
5,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,5,,22,,81,,60,,60,,60,,60,,60,,15,,20,,20,,20,,20,,20,,23,,23,,23,,23,,23,,23,22,,22,,22,,30,,30,,30,,30,,30,,30,,30,,7,,7,,14,,14,,98,,21,,21,,59,,15,,5,,5,,5,,5,,22,,22,,22,,22,,22,,22,,22,,30,,30,,30,,30,,30,,,30,30,30,,,88,88,88,,88,,88,,60,,98,,98,,21,,15,,15,,88,,88,,88,,88,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,19,,19,,19,,19,,19,,19,,19,,19,19,,19
15,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,20,,14,,60,,15,,15,,15,,15,,15,,5,,23,,23,,23,,23,,23,,22,,22,,22,,22,,22,,22,15,,30,,30,,7,,7,,7,,7,,7,,7,,7,,26,,26,,98,,98,,21,,59,,59,,15,,5,,22,,22,,22,,22,,30,,30,,30,,30,,30,,30,,30,,88,,88,,88,,88,,88,,,88,88,88,,,60,60,60,,60,,60,,26,,21,,21,,14,,88,,88,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,15,,60,,60,,60,,60,,60,,60,,60,60,,60
88,22,,22,,20,,20,,20,,20,,20,,20,,20,,20,,20,,22,,81,,15,,5,,5,,5,,5,,5,,20,,22,,22,,22,,22,,22,,98,,98,,98,,98,,30,,30,30,,7,,7,,26,,26,,26,,88,,88,,88,,88,,14,,14,,5,,21,,59,,15,,15,,5,,59,,59,,59,,59,,59,,88,,88,,88,,88,,88,,88,,88,,60,,60,,60,,60,,60,,,60,60,60,,,19,19,19,,19,,26,,98,,14,,14,,98,,19,,19,,21,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,21,,21,,21,,21,,21,,21,,21,21,,21
