0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
21,88,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,1,1,1,1,1,18,1,88,88,88,88,88,88,88,88,88,88,88,88,88,1,1,1,1,1,1,1,15,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,1,1,10,15,15,15,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,21,88,88,88,88,88,88,88,88,88,88,88,1,1,1,1,12,12,12,12,12,1,88,1,1,1,1,1,1,1,1,1,1,1,1,1,21,10,10,10,15,15,15,88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88,10,15,10,1,1,1,88,88,88,88,88,88,88,88,88,88,88,88,88,27,27,27,27,27,27
88,1,1,1,1,1,1,1,1,1,1,1,1,12,12,12,12,21,10,10,55,55,88,18,21,21,21,21,21,21,21,21,21,21,21,21,21,88,12,15,15,10,88,88,1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,12,12,1,88,88,88,10,10,10,10,10,10,10,10,10,10,10,10,27,88,88,21,21,21,21
12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,10,10,15,15,18,18,55,21,27,27,27,27,27,27,27,27,27,27,27,27,27,9,21,12,98,18,21,21,21,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,27,27,88,10,10,10,12,12,21,27,27,27,27,27,27,27,27,27,10,21,21,88,88,88,88
98,98,27,27,27,27,27,27,27,27,27,27,10,98,98,98,98,98,98,55,15,88,21,27,10,10,10,10,9,9,9,9,9,9,9,9,9,10,9,98,18,88,27,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15,1,12,12,12,12,21,21,27,21,21,21,21,21,21,21,21,21,21,10,10,10,10,10,10
60,27,98,98,98,98,10,10,10,10,10,10,98,88,15,15,15,15,55,18,88,21,27,10,9,9,9,9,10,10,10,10,10,10,10,10,10,12,15,18,88,98,18,27,9,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,21,88,21,21,21,21,27,27,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
10,60,60,60,60,10,98,98,98,98,98,98,60,9,55,55,55,55,18,21,21,27,10,9,12,12,12,12,12,12,12,12,12,12,12,12,12,27,98,88,4,21,10,9,27,9,9,9,9,9,9,9,9,15,15,15,15,15,15,15,15,59,59,27,27,27,27,15,15,15,15,15,15,15,15,15,15,9,9,9,9,9,9,9,15,15
27,5,5,5,10,60,60,60,60,60,60,60,5,59,18,18,18,18,21,88,27,10,9,12,8,8,8,8,8,8,8,8,8,8,8,60,60,15,18,4,21,27,9,12,12,55,15,15,15,15,15,15,15,9,9,9,9,9,9,9,9,88,21,9,9,9,9,9,9,9,9,9,9,9,9,9,9,15,15,15,15,15,15,15,60,60
59,15,15,10,5,5,5,5,5,5,5,5,27,15,14,26,26,88,88,27,41,9,12,8,98,60,60,60,60,60,60,60,60,60,60,15,15,59,88,21,27,9,12,55,55,15,8,8,8,8,8,8,8,8,8,8,8,8,8,8,60,9,4,8,8,8,8,8,8,8,8,8,60,60,60,60,60,60,60,60,60,60,60,60,9,9
5,10,10,15,15,15,28,28,28,9,9,9,9,60,26,4,4,41,27,41,10,98,98,98,60,98,98,98,98,98,98,98,98,98,15,59,59,98,4,27,9,12,55,8,8,8,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,98,60,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,8,8,8,8,8,8
15,59,28,28,28,28,18,18,18,59,59,59,59,55,9,41,41,27,41,98,9,8,8,60,22,22,22,22,22,22,22,22,15,15,98,98,98,60,59,9,12,55,8,60,60,60,59,59,59,59,59,59,59,59,59,59,59,59,59,59,8,98,18,4,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
9,28,9,9,9,9,9,9,9,15,15,15,15,5,4,88,88,26,9,9,98,22,60,22,59,59,59,59,59,59,59,15,59,59,59,8,18,18,30,55,55,8,60,59,59,59,55,98,98,98,98,98,98,98,98,98,98,98,98,98,98,18,9,59,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,20,20,20,20,20,20,20
28,9,18,18,18,18,59,59,59,8,55,55,55,14,59,14,27,4,8,8,8,60,22,59,15,15,15,15,15,15,15,59,20,20,20,18,4,4,27,8,8,4,59,98,98,98,98,20,20,20,20,20,20,20,20,20,20,20,20,20,18,4,8,98,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,98,4,4,4,4,4,4
20,8,59,59,59,59,15,15,15,55,14,14,14,26,41,27,9,9,22,22,22,59,59,15,20,20,20,20,20,20,20,20,18,18,18,4,26,26,26,60,60,60,98,20,20,20,20,18,18,18,18,18,18,18,18,18,18,18,18,18,4,30,60,20,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,26,26,26,26,26,26
8,18,55,55,8,8,8,8,8,14,26,26,26,18,30,9,8,8,59,60,60,15,15,20,18,18,18,18,18,18,18,18,4,4,4,26,30,30,55,30,59,59,20,18,18,18,18,4,4,4,4,4,4,4,4,4,4,4,4,4,26,8,55,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,18,18,18,18,18,
14,55,8,8,55,55,55,55,55,26,4,18,18,4,88,30,22,22,60,59,59,20,20,4,4,4,4,4,4,4,4,4,22,26,26,20,7,55,8,59,20,20,4,4,4,4,4,22,22,22,22,22,22,22,22,22,22,22,26,26,30,26,30,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,18,18,22,22,22,22,22,
55,14,14,14,14,14,14,14,14,20,18,4,4,41,27,8,59,59,20,20,20,41,4,28,28,28,28,26,26,26,26,26,26,28,5,5,5,8,60,20,22,22,22,22,22,22,22,26,26,26,26,26,26,26,26,26,26,26,30,30,20,55,20,30,30,30,30,30,30,30,30,18,18,18,18,18,18,18,22,22,55,55,55,55,55,
26,26,26,26,26,26,26,26,26,4,7,7,7,30,5,59,20,60,4,4,4,4,28,26,26,26,26,28,28,28,28,28,28,5,28,30,55,14,41,22,26,26,26,26,26,26,26,5,5,30,30,30,30,30,30,30,30,30,22,28,55,7,26,5,18,18,18,18,18,18,18,30,55,55,55,55,55,55,55,55,30,30,30,30,30,
7,22,22,22,20,20,20,20,20,18,41,41,41,7,8,22,60,20,28,28,28,28,26,24,24,24,5,5,5,5,5,5,5,30,30,7,8,7,20,26,5,5,5,5,5,5,5,30,30,28,28,28,28,28,28,28,28,28,28,55,7,14,22,18,55,55,55,55,55,55,55,55,30,30,30,30,30,30,30,30,28,28,28,28,28,
18,24,24,20,22,22,22,22,4,7,28,30,30,27,22,20,14,28,26,26,26,26,24,55,5,5,24,30,30,30,30,30,30,7,7,55,14,41,14,5,30,30,30,30,30,30,30,28,28,7,7,7,55,55,55,55,55,55,55,7,14,20,5,55,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,7,7,7,7,7,
24,20,20,24,24,4,4,4,7,41,30,28,22,8,20,60,28,14,14,14,24,24,5,5,30,30,30,24,24,24,24,24,24,55,55,28,41,20,22,28,28,28,28,28,28,28,28,7,7,55,55,55,7,7,7,7,7,7,7,14,28,22,28,28,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14,14,14,14,14,
22,4,4,4,4,7,7,7,24,28,8,22,8,22,60,5,24,24,24,24,14,14,14,30,7,7,7,7,7,7,7,7,7,14,14,14,20,22,5,7,7,7,7,7,7,7,7,55,55,5,14,14,14,14,14,14,14,14,14,22,22,5,7,7,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,5,5,5,5,5,
