1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
12.00000000,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.00000000,12,12,12,12,12,12,12,12,12.00000000,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.00000000,12,12,12
88.00000000,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,27,27,27,27,27,27.00000000,27,27,27,27,27,27,27,27,27.00000000,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,88,88,88,88,88,88,88,88.00000000,88,88,88
27.00000000,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,10,88,88,88,88,88,88.00000000,88,88,88,88,88,88,88,88,88.00000000,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,27,27,27,27,27,27,27,27.00000000,27,27,27
5.00000000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,26,5,5,5,5,5,5.00000000,5,5,5,5,5,5,5,5,5.00000000,5,5,5,5,5,5,5,5,5,5,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00000000,1,1,1
55.00000000,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,1,1,1,1,1,27,1,1,1,1,1,1.00000000,1,1,1,1,1,1,1,1,1.00000000,1,1,1,1,1,1,1,1,9,9,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00000000,5,5,5
15.00000000,18,18,18,18,18,60,60,60,60,60,60,60,60,60,60,60,60,60,1,55,60,60,55,10,5,7,7,7,7,28,60.00000000,60,60,60,60,60,60,60,60,60.00000000,60,60,60,60,60,60,60,60,55,55,10,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60.00000000,60,60,60
18.00000000,15,15,60,60,60,18,18,18,18,18,1,1,1,1,1,1,1,1,60,60,55,55,15,55,1,28,28,28,28,60,55.00000000,15,15,15,15,15,15,15,15,15.00000000,15,15,15,15,15,15,15,15,1,10,5,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15.00000000,15,15,15
28.00000000,60,60,15,15,15,15,15,15,1,1,18,18,18,18,18,18,18,18,18,18,18,15,18,26,7,60,60,60,60,55,15.00000000,55,55,55,9,9,9,9,9,9.00000000,9,9,9,9,9,9,9,9,60,28,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.00000000,9,9,9
60.00000000,28,98,98,98,1,1,1,1,15,15,15,15,15,15,15,15,15,15,15,15,15,18,60,15,28,55,55,55,55,15,28.00000000,9,9,9,55,55,55,55,55,55.00000000,55,55,55,55,55,55,55,55,15,1,60,28,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55.00000000,55,55,55
98.00000000,98,1,1,1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,18,60,15,15,15,15,7,9.00000000,18,18,18,18,18,22,22,22,22.00000000,22,22,22,22,22,22,22,18,18,18,15,55,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22.00000000,22,22,22
1.00000000,1,28,28,28,28,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,55,18,18,18,9,9,18.00000000,26,22,22,22,22,18,18,18,18.00000000,18,18,18,18,18,18,18,26,26,26,9,7,4,4,4,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.00000000,10,10,10
9.00000000,9,9,9,9,9,28,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,98,15,9,9,9,18,18,26.00000000,22,26,26,26,26,26,26,26,26.00000000,26,26,26,26,26,26,26,22,10,7,55,22,10,10,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18.00000000,18,18,18
10.00000000,10,10,10,10,10,10,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,21,18,26,26,26,26,26,22.00000000,4,10,10,10,10,10,10,10,10.00000000,10,10,10,10,10,10,10,10,28,60,22,4,26,18,18,18,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26.00000000,26,26,26
21.00000000,21,26,26,26,26,26,28,21,21,21,21,21,21,21,21,30,30,30,30,30,30,30,30,8,4,22,22,22,22,22,4.00000000,10,20,20,20,20,20,20,20,20.00000000,20,20,20,20,20,20,20,8,14,15,4,10,18,26,26,26,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.00000000,30,30,30
30.00000000,26,21,21,21,21,21,21,30,30,30,30,30,30,30,30,21,21,21,21,21,21,21,21,14,9,4,4,4,4,4,30.00000000,30,30,30,30,30,30,8,8,8.00000000,8,8,8,8,8,8,8,30,7,14,26,26,20,8,8,8,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30.00000000,28,8,8
26.00000000,30,30,30,30,30,30,30,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,30,30,30,30,30,30,30,8.00000000,20,8,8,8,8,8,30,30,30.00000000,30,30,30,30,30,30,30,21,8,22,18,18,8,20,30,30,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28.00000000,8,28,28
8.00000000,7,7,7,7,7,7,8,4,4,22,22,22,22,22,22,22,22,22,22,22,22,22,14,7,22,8,10,10,10,10,10.00000000,8,21,21,21,21,21,21,21,21.00000000,21,21,21,21,21,21,21,28,21,4,20,20,30,30,20,28,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21.00000000,21,21,21
59.00000000,8,8,8,8,8,8,4,22,22,14,14,14,14,14,14,14,14,14,14,14,14,14,22,28,8,10,21,21,8,8,20.00000000,21,14,14,14,14,14,14,14,14.00000000,14,14,14,14,14,28,28,14,59,20,8,8,28,28,28,20,20,20,20,20,20,20,20,20,59,59,59,59,59,59,59.00000000,14,14,14
7.00000000,14,14,14,4,4,4,14,14,14,24,24,24,24,20,20,20,20,20,20,20,20,20,59,60,21,21,8,8,21,20,21.00000000,14,98,98,98,59,59,28,28,28.00000000,28,28,28,28,28,14,14,59,30,8,30,30,21,21,21,21,59,59,59,59,59,59,59,59,20,20,20,14,14,14,14.00000000,59,59,59
22.00000000,22,4,4,14,14,14,22,24,24,20,20,20,20,24,24,24,24,24,24,24,59,59,20,59,14,14,20,20,20,21,14.00000000,98,59,59,59,28,28,59,59,59.00000000,59,59,59,59,59,59,59,7,22,30,21,21,7,59,59,59,7,14,14,14,14,14,14,14,14,14,14,20,20,20,20.00000000,20,20,
14.00000000,4,22,22,22,22,22,24,20,20,59,59,59,59,59,59,59,59,59,59,59,24,24,24,4,20,20,14,14,14,14,98.00000000,59,28,28,28,98,98,98,98,98.00000000,7,7,7,7,7,7,7,20,98,21,14,59,59,7,7,7,14,7,7,7,7,7,7,7,7,7,7,7,7,7,7.00000000,7,7,
24.00000000,24,24,24,24,24,24,20,59,59,4,7,7,7,7,7,7,7,7,7,7,7,7,7,22,98,98,98,98,98,98,59.00000000,28,7,7,7,7,7,7,7,7.00000000,98,98,98,98,98,98,98,98,4,59,59,14,14,14,14,14,4,98,98,98,98,98,98,98,98,98,98,98,98,98,98.00000000,98,98,
20.00000000,59,41,41,41,41,41,59,28,7,7,4,28,28,28,28,28,28,28,28,28,28,28,28,24,41,41,41,41,41,59,7.00000000,7,4,24,24,24,24,24,24,24.00000000,24,24,24,24,24,24,24,24,24,98,98,98,98,98,98,98,98,4,4,4,4,4,4,4,4,4,4,4,4,4,4.00000000,4,4,
4.00000000,41,59,59,20,20,20,7,7,28,28,28,4,4,4,4,4,4,4,4,4,4,4,4,20,59,59,59,59,59,24,24.00000000,24,24,4,4,4,4,4,4,4.00000000,4,4,4,4,4,4,4,4,20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.00000000,24,24,
41.00000000,20,20,20,59,59,59,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,24,24,24,24,24,41,41.00000000,41,41,41,41,41,41,41,41,41.00000000,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41.00000000,41,,
