0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,88,88,88,88,88,88,88,88,88,88,88,88,88,88,15,8,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
18,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,98,98,98,98,98,98,98,98,98,98,88,88,88,88,88,88,30,27,27,27,27,27,27,27,27,27,27,27,27,28,88,1,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
9,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,88,88,88,88,88,88,88,88,88,88,98,98,98,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,15,28,12,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
55,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,9,9,9,9,9,27,27,27,27,27,27,27,27,28,28,28,28,15,15,15,15,15,15,15,15,15,15,15,15,22,8,15,15,9,9,9,9,9,9,9,9,9,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,28,28,28,28,27,9,28,28,28,28,28,28,28,15,15,15,15,22,22,22,22,22,22,22,22,22,22,22,22,27,1,88,9,15,15,15,15,15,15,15,15,15,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
22,18,18,15,15,15,15,15,8,8,8,8,8,8,8,8,27,27,27,27,28,28,22,15,15,15,15,15,15,22,22,22,22,8,8,8,8,8,8,8,8,8,8,8,8,8,12,27,8,8,8,8,8,8,8,8,8,8,9,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
98,15,15,8,8,8,8,8,15,15,15,15,15,15,15,1,22,22,22,22,22,22,15,22,22,22,22,22,22,8,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,22,28,22,22,22,22,22,22,22,22,22,22,22,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
28,8,8,1,1,1,1,1,1,1,1,1,1,1,1,12,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,1,1,12,12,12,12,12,12,12,12,12,12,12,12,12,5,30,12,12,12,12,12,12,12,12,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,21,21,21,21,21,21,21,21,21,21,21,21,30,1,1,1,1,15,15,1,1,1,1,1,1,1,12,12,12,12,21,21,21,21,21,21,21,21,21,21,21,21,21,59,9,30,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
27,21,21,26,26,12,12,12,12,12,12,12,12,12,12,7,15,15,15,15,1,1,12,12,12,12,12,12,12,21,21,21,21,59,59,59,59,59,59,59,59,59,59,5,5,5,27,22,1,5,5,5,5,5,5,5,5,5,5,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,9
