0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,12,12,12,12,5,5,5,5,5,5,5,10,10,5,5,5,5,5,5,5,5,5,5,5,10,10,5,5,5,5,5,5,5,5,5,5,5,10,10
88,55,88,88,88,88,88,88,55,55,55,55,55,10,10,5,8,18,18,5,5,12,18,10,10,10,10,10,5,8,10,10,10,10,10,10,10,10,10,10,10,5,8,10,10,10,10,10,10,10,10,10,10,10,5,5
55,88,55,55,55,55,55,55,88,88,88,88,10,8,8,8,59,59,5,18,18,18,10,55,55,55,27,8,8,5,27,27,27,27,27,27,27,27,27,27,27,27,5,27,27,27,27,27,27,27,27,27,27,27,27,27
28,9,9,9,9,9,9,9,9,9,9,9,21,4,30,30,30,5,55,55,55,55,55,27,27,27,55,27,30,27,18,18,18,18,18,18,88,88,88,88,8,8,27,8,8,8,8,8,8,8,8,8,8,8,8,8
15,12,12,12,10,10,10,10,10,10,10,10,27,21,4,59,12,14,10,10,10,10,27,88,88,88,8,30,4,18,12,12,88,88,88,88,18,8,8,8,88,4,88,88,88,88,88,88,88,88,88,88,88,88,88,88
9,21,10,10,21,21,21,21,21,21,21,21,8,27,59,12,18,55,88,88,27,27,12,9,8,8,30,4,59,12,9,88,12,12,8,8,8,18,18,9,55,55,18,18,18,18,18,18,18,18,18,18,18,18,18,18
10,10,21,21,27,27,27,27,27,27,27,27,26,30,12,18,14,10,27,27,88,88,88,8,1,30,88,55,27,14,88,9,9,8,12,12,9,9,9,1,4,59,55,55,55,55,55,55,55,55,55,55,55,55,55,55
12,27,27,27,8,8,8,8,8,8,8,8,88,26,18,14,5,88,14,9,9,9,9,1,30,1,4,59,18,9,8,8,8,9,9,9,12,1,1,30,9,26,30,30,30,30,30,30,30,30,30,30,30,30,30,30
60,8,8,8,1,1,1,1,1,26,26,26,9,60,60,55,55,9,9,8,8,8,8,21,21,4,26,26,12,88,1,1,1,1,1,1,1,30,30,55,1,88,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,1,1,26,26,26,26,26,4,4,4,4,55,14,7,88,27,8,1,1,1,1,30,9,26,59,18,14,1,30,30,30,30,30,30,30,12,55,4,30,60,12,4,4,4,4,4,4,4,4,4,4,4,4,4
18,4,26,26,4,4,4,4,4,1,98,98,30,59,55,88,9,8,1,21,21,21,21,4,4,21,98,12,9,30,55,55,55,55,55,55,55,55,4,21,21,18,4,12,12,12,12,12,12,12,12,12,12,12,12,12
30,26,4,4,98,98,98,98,98,98,1,30,60,12,7,9,27,1,21,26,26,30,30,18,26,98,22,14,88,55,14,4,4,4,4,4,4,4,12,22,59,30,21,21,21,21,21,21,21,21,21,21,21,9,9,9
4,98,98,98,30,22,22,22,22,30,30,22,59,18,88,27,7,26,26,30,30,4,4,26,98,22,60,9,1,4,4,21,21,21,21,21,21,21,21,18,22,1,22,22,22,22,22,9,9,9,9,9,9,21,22,22
1,30,30,30,22,30,30,30,30,22,22,60,12,14,9,26,1,21,30,4,4,26,26,98,22,59,12,88,55,21,21,26,26,26,26,22,22,22,22,12,26,12,9,9,9,9,9,22,22,22,22,22,22,22,21,21
21,22,22,22,7,59,59,59,59,59,59,59,18,7,27,1,26,7,4,98,98,98,98,22,59,60,18,1,21,26,26,22,22,22,22,26,26,59,59,59,60,98,14,59,59,59,59,59,59,59,59,59,59,59,59,59
8,7,14,7,59,60,60,60,60,60,60,12,98,88,26,21,21,30,7,60,60,60,60,60,60,12,14,21,26,98,22,98,59,59,59,59,59,26,26,26,98,21,59,26,26,26,26,26,26,26,26,26,26,26,26,26
26,18,7,59,60,7,14,18,12,12,12,18,14,9,1,4,4,4,98,22,22,22,22,59,12,18,9,98,98,22,98,59,98,60,60,60,60,60,60,60,18,22,26,60,60,60,60,60,60,60,60,60,60,60,60,60
7,59,59,60,18,14,7,20,18,18,18,14,22,1,21,20,98,98,60,7,59,59,59,12,18,14,1,22,22,59,59,60,60,98,98,98,98,98,98,98,12,14,60,14,20,20,20,98,98,98,98,98,98,20,20,20
98,14,60,18,12,20,20,12,14,14,14,1,7,20,20,98,20,60,22,59,7,14,14,14,14,9,21,60,60,60,60,20,20,14,14,14,14,14,14,14,14,9,20,20,98,98,98,14,14,14,14,20,20,98,98,
20,60,20,14,14,18,18,14,7,7,7,7,20,98,98,60,60,22,59,14,14,20,20,20,20,20,20,20,20,20,20,14,14,7,7,20,20,20,20,20,20,20,98,98,14,14,14,20,20,20,20,14,14,14,14,
59,20,18,20,20,12,12,7,20,20,20,20,1,22,22,22,22,20,20,20,20,7,7,7,7,7,7,7,7,7,7,7,7,20,20,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
