0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,12,12,12,12,12,12,12,12,12,12,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
60,28,28,28,28,28,28,28,15,15,15,15,15,1,28,18,18,18,18,18,18,18,18,18,18,18,18,60,60,12,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
28,15,15,15,15,15,15,15,28,28,28,18,18,28,60,12,12,12,12,12,12,12,12,12,12,12,12,12,59,9,18,18,18,18,18,18,18,18,18,28,28,28,28,28,28,55,28,28,55,55,55,55,55,55,55,55
15,18,18,18,18,18,18,18,18,18,18,28,28,60,9,55,55,55,55,55,55,55,55,55,55,55,28,28,12,18,28,28,28,28,28,28,28,28,28,88,55,55,55,55,55,28,55,55,28,28,28,28,28,28,28,28
12,60,60,60,60,60,60,60,60,60,60,60,60,9,88,28,28,28,28,28,28,28,28,28,28,28,60,8,9,28,60,60,60,60,60,60,60,60,55,15,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
18,88,88,9,9,9,9,9,9,9,9,9,9,88,10,60,60,60,60,60,60,60,60,60,60,60,15,15,18,60,55,55,55,55,55,55,55,55,88,1,1,1,18,1,18,18,18,18,18,18,18,18,18,18,18,18
88,9,9,88,88,88,88,88,88,88,88,88,88,10,8,9,9,9,9,9,9,9,9,9,9,88,8,18,28,55,88,88,88,88,88,88,88,88,15,22,18,18,15,18,15,15,15,15,15,15,15,15,15,15,15,15
10,12,12,10,10,10,10,10,10,10,10,10,10,8,1,88,88,88,88,88,88,88,88,88,88,10,88,59,27,88,15,15,15,15,15,15,15,15,1,8,15,15,1,15,22,22,8,8,8,8,8,8,8,8,8,5
9,55,55,55,55,55,55,55,55,55,55,55,5,5,59,5,10,10,10,10,10,10,10,10,10,15,10,7,55,15,22,22,22,22,22,22,22,22,8,5,22,22,22,22,8,5,22,22,22,22,5,5,5,5,5,30
98,10,10,12,12,12,12,12,12,12,12,12,8,18,26,10,5,5,5,5,5,5,15,15,15,22,22,9,88,10,5,5,1,1,1,1,1,1,22,30,8,8,8,8,30,8,5,5,5,5,30,30,30,30,30,8
