0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
12,12,12,12,12,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,88,88,15,15,88,88,88,88,88,88,88,55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,27,27,27,27,12,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,26,26,26,88,88,15,15,28,28,26,26,26,55,55,55,55,88,88,88,88,88,88,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
88,88,88,88,88,88,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,15,15,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,1,1,88,27,5,28,28,7,7,55,55,55,1,1,1,1,1,9,9,9,9,9,88,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
26,26,26,26,26,26,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,5,60,26,26,21,21,21,21,21,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88,88,5,5,15,7,7,8,8,1,1,1,5,5,5,5,5,5,5,5,5,5,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
60,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60,30,60,21,1,1,1,1,1,1,60,60,60,60,60,60,60,60,60,60,60,60,5,5,5,5,5,5,5,5,5,5,5,5,9,98,28,26,27,88,88,15,5,5,9,9,9,9,9,55,55,55,55,55,14,55,55,55,55,55,55,55,55,28,28,28,28,28,28,28
5,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,7,15,21,1,60,60,60,60,60,60,21,21,21,15,15,15,5,15,15,15,15,5,9,9,9,9,9,9,9,9,9,9,9,9,1,15,7,27,8,26,26,28,9,9,60,60,30,22,22,14,14,14,14,14,55,28,28,28,28,28,28,28,28,22,22,22,22,22,22,22
14,14,14,14,14,14,14,14,14,14,14,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,30,22,30,60,12,15,15,15,15,15,15,15,15,5,5,5,15,5,5,5,5,15,15,15,98,98,98,98,98,98,98,98,98,98,98,28,27,8,26,55,55,5,98,98,30,30,60,14,14,28,28,28,28,28,28,22,22,22,22,22,22,22,22,8,8,8,8,8,8,8
1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,30,30,15,5,1,12,15,5,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9,9,60,98,15,15,15,15,15,15,15,15,15,15,15,7,8,55,55,1,1,9,60,60,22,22,22,59,59,22,22,22,22,22,22,4,10,10,10,10,10,8,8,4,4,4,4,4,4,4
21,21,21,21,21,21,21,21,21,21,21,21,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,30,18,15,22,4,22,5,5,14,14,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7,60,60,28,28,28,28,28,28,28,28,28,28,60,98,1,1,5,5,98,30,30,26,26,14,28,28,4,4,4,4,4,4,10,4,8,8,8,8,4,4,15,15,15,15,15,15,15
7,7,7,7,7,7,7,7,7,7,7,7,9,9,30,30,30,30,30,30,30,30,30,30,30,30,30,30,18,15,22,12,21,12,14,14,9,9,7,7,7,7,7,7,28,28,28,28,28,28,28,28,28,30,28,28,7,7,7,7,7,7,7,7,7,7,8,55,5,5,9,9,60,22,22,14,14,59,4,4,15,15,15,15,15,15,15,8,4,4,4,4,15,15,30,30,30,30,30,30,30
9,9,9,9,9,9,9,9,9,9,9,9,30,30,18,18,18,18,18,18,18,18,18,18,18,18,18,18,15,22,28,28,28,5,9,9,7,7,30,30,22,28,28,28,30,30,30,30,30,30,30,30,30,28,7,7,60,60,60,60,60,60,60,60,60,60,14,60,9,9,98,98,30,14,14,59,59,28,15,15,10,59,59,59,10,10,8,15,15,15,15,15,30,30,55,88,88,88,88,88,88
22,30,30,30,30,30,30,30,30,30,30,30,20,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,22,28,18,4,7,14,7,7,8,8,22,22,30,30,30,30,22,22,22,22,22,22,22,22,22,98,30,30,30,30,30,30,30,30,30,30,30,30,9,1,4,98,60,60,22,59,59,28,28,4,8,8,59,10,10,10,59,8,30,30,30,30,30,30,88,88,88,59,59,59,59,59,59
30,20,20,20,20,20,20,20,20,20,20,20,18,18,22,22,22,22,22,22,22,22,22,22,22,22,22,22,28,4,4,21,12,9,30,8,30,30,18,18,18,22,22,22,14,14,14,14,14,14,14,14,14,22,22,22,22,22,22,22,22,22,22,8,8,8,55,9,59,60,30,30,14,4,4,4,4,15,7,7,8,8,8,8,8,30,88,88,88,88,88,88,59,59,59,55,55,55,55,55,55
