0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,9,60,45,45,45,15,15,15,15,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,51,51,51,51,7,7,7,7,15,15,15,15,15,15,15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,18,7,7,15,15,26,26,26,26,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,30,30,30,30,2,2,2,2,2,26,26,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,51,60,11,15,26,26,45,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
22,7,7,7,7,7,7,51,51,51,51,51,51,51,51,51,51,51,51,9,30,30,30,3,3,3,3,9,9,9,9,26,2,2,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,18,30,45,26,2,2,2,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7,51,51,51,51,51,51,7,7,7,7,7,7,7,7,7,7,7,7,30,3,3,3,12,12,12,12,7,26,26,26,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,60,7,18,60,9,9,9,10,10,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
51,22,22,22,22,22,22,22,22,22,26,26,26,26,26,26,26,26,22,3,12,12,12,77,77,77,77,26,29,29,29,29,29,29,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,51,30,51,4,6,10,10,10,22,22,22,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
29,29,29,29,29,29,29,29,26,26,22,22,22,22,22,22,22,22,29,2,77,77,77,11,11,11,11,12,10,10,10,10,10,10,27,27,27,27,27,27,27,27,27,27,51,51,51,51,51,51,51,51,51,27,7,11,15,59,22,22,22,27,27,27,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
5,10,10,10,10,10,26,26,29,29,29,29,29,29,29,29,29,29,10,22,11,11,11,20,20,20,20,29,22,22,22,22,22,22,51,51,51,51,51,51,51,51,51,51,27,27,27,27,27,27,27,27,27,14,29,45,59,2,27,27,27,60,60,60,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
18,18,26,26,26,26,10,10,10,10,10,10,10,10,10,10,10,10,30,12,20,20,20,51,60,15,15,10,27,27,27,27,27,27,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18,10,4,26,9,60,60,60,14,14,14,14,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
10,26,18,18,18,30,30,30,30,30,30,30,30,30,30,30,30,30,3,29,60,60,60,60,4,4,4,22,51,51,51,51,51,51,21,21,21,21,21,21,21,18,18,18,18,18,18,18,18,18,18,18,18,60,27,15,30,11,14,14,14,30,30,30,30,18,18,18,18,18,18,18,12,12,12,12,12,12,12,12,12,12,12,12,12,12
28,30,30,30,30,3,3,3,3,3,3,3,3,3,3,3,3,3,26,10,4,4,4,4,15,2,2,27,14,14,14,14,14,14,15,18,18,18,18,18,18,60,60,60,60,60,60,60,60,60,60,60,60,30,20,59,6,4,30,30,30,18,18,18,18,12,12,12,12,12,12,12,18,18,18,3,3,3,3,3,3,3,3,3,3,3
12,28,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,12,77,15,15,15,15,2,9,9,51,21,21,21,21,21,21,18,60,60,60,60,60,60,21,12,12,12,12,12,12,12,12,12,12,12,7,2,26,2,10,18,18,18,12,12,12,12,3,3,3,3,3,3,3,3,3,3,18,18,18,18,18,18,18,18,18,18,18
3,3,8,8,8,27,27,27,27,27,27,27,27,27,27,27,27,27,77,11,2,2,2,2,9,59,59,14,48,48,48,48,48,18,60,30,30,30,30,30,30,12,30,30,30,30,30,30,30,30,30,30,30,3,11,6,9,22,12,12,12,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
26,8,27,27,27,77,77,77,77,77,77,77,77,77,12,12,12,12,11,20,9,9,9,9,59,45,45,21,18,18,18,18,18,60,30,7,7,7,7,7,12,30,7,7,7,7,7,7,7,7,7,7,7,22,45,2,10,27,7,3,3,7,7,7,7,29,29,29,29,29,29,29,29,29,11,11,11,11,11,11,11,11,11,11,11,29
27,27,77,77,77,12,12,12,12,12,12,12,12,12,77,77,77,77,20,60,18,18,18,59,45,26,26,59,60,60,60,60,60,30,7,12,12,12,12,12,7,7,3,3,3,3,3,3,3,3,3,3,3,20,4,20,22,14,3,7,7,29,29,29,29,11,11,11,11,11,11,11,11,11,29,29,29,29,29,29,29,29,29,29,29,59
30,77,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,60,15,59,59,59,45,26,29,29,45,7,7,7,7,30,7,12,3,3,3,3,3,3,3,21,20,20,20,20,20,20,20,20,20,20,11,15,10,51,30,29,29,29,11,11,11,11,4,4,4,4,4,4,59,59,59,59,59,59,59,59,59,15,15,15,15,15,15
8,12,15,11,11,20,20,20,20,20,20,20,20,20,20,20,20,20,4,4,45,45,45,26,29,10,10,48,30,30,30,30,7,12,3,20,20,20,20,20,20,20,20,11,11,11,11,11,11,11,11,11,11,45,59,22,27,18,6,20,20,4,4,4,4,59,59,59,59,59,59,4,15,15,15,15,15,15,15,15,59,59,59,59,59,48
77,15,11,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,8,18,26,26,26,29,10,22,22,18,12,12,12,12,12,48,20,11,11,11,11,11,11,11,11,21,45,45,45,45,45,45,45,45,45,12,14,29,14,12,20,11,11,59,59,59,59,6,6,6,6,6,6,15,4,4,4,4,4,4,4,4,4,4,48,48,48,11
15,11,20,21,21,60,60,60,60,60,60,60,60,60,60,60,60,60,27,59,29,29,29,10,22,8,27,60,3,3,3,3,3,3,48,48,45,45,45,45,45,45,45,45,4,4,4,4,4,4,4,4,4,4,3,27,12,29,11,4,4,6,6,6,6,48,15,15,15,15,15,6,6,6,6,6,6,6,6,48,48,48,4,4,4,4
11,20,21,60,60,4,4,4,4,4,14,14,14,14,14,14,14,14,15,45,10,10,10,22,8,27,51,30,20,20,20,20,20,20,11,45,4,4,4,4,4,4,4,4,21,59,59,59,59,59,59,59,59,59,6,14,29,3,4,59,59,48,48,48,48,15,48,48,48,48,48,48,48,48,48,48,48,48,48,6,6,6,6,6,6,6
20,21,60,4,4,48,14,14,14,14,4,4,4,4,4,4,4,4,18,26,22,22,22,8,27,51,14,3,11,11,11,11,11,11,6,4,59,59,59,59,59,59,59,59,59,21,21,15,15,15,15,15,15,15,48,12,3,20,59,6,6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
14,60,59,48,48,14,48,48,48,48,48,48,48,48,48,48,48,15,59,8,8,8,8,27,14,14,21,20,77,77,77,77,77,77,45,59,48,48,48,48,48,48,48,48,48,48,48,21,48,48,48,48,48,6,22,3,20,51,48,48,48,28,28,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,,
59,59,4,15,14,18,5,5,5,5,5,5,5,5,5,5,15,48,45,27,27,27,27,18,51,21,48,11,59,59,59,59,59,45,4,6,6,6,15,15,15,15,15,15,15,15,15,48,6,6,6,6,6,48,12,48,48,48,28,28,28,45,45,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
21,4,48,14,15,15,15,15,15,15,15,15,15,15,15,15,5,18,21,21,21,21,21,14,21,60,18,77,4,4,4,45,45,4,59,15,15,15,6,6,6,6,6,6,6,6,6,6,28,28,28,28,28,28,28,28,28,28,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,,,,,,,,
60,48,45,59,5,5,18,18,18,18,18,18,18,18,18,18,18,5,14,14,14,14,14,21,48,48,60,4,45,45,45,4,4,59,28,28,28,28,28,28,28,28,28,28,28,28,28,28,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,45,5,45,59,59,59,59,59,59,59,59,59,59,59,59,59,59,48,48,48,48,48,48,18,18,28,28,28,28,28,28,28,28,77,77,77,77,77,77,77,77,77,77,77,77,77,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,5,14,5,45,45,45,45,45,45,45,45,45,45,45,45,45,45,28,28,28,28,28,28,28,28,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,14,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
