1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31,,32,,33,,34,,35,,36,,37,,38,,39,,40,,41,,42,,43,,44,,45,,46,,47,,48,,49,,50,,51,,52,,53,,54,,55,,56,,57,,58,,59,,60,,61,,62,,63,,64,,65,,66,,67,,68,,69,,70,
27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,6,,6,,6,,6,,6,,6,,28,,28,,28,,28,,28,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,28,,28,,28,,28,,28,,28,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,28,,28,,28,,28,,28,,28,,28,
6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,28,,28,,28,,28,,28,,28,,27,,27,,27,,27,,27,,28,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,28,,27,,27,,27,,27,,27,,27,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,12,,12,,12,,12,,12,,12,,12,
12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,9,,9,,10,,10,,10,,10,,10,,10,,10,,10,,10,,59,,27,,27,,27,,27,,27,,27,,14,,22,,12,,12,,12,,12,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,10,,10,,10,,10,,10,,10,,10,
9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,10,,10,,9,,9,,9,,9,,9,,9,,9,,18,,18,,18,,14,,14,,14,,14,,14,,14,,6,,14,,10,,10,,10,,10,,18,,18,,9,,9,,9,,9,,9,,9,,9,,9,,9,,6,,6,,14,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,9,,9,,9,,9,,9,,9,,9,
5,,5,,5,,5,,5,,5,,5,,5,,5,,10,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,4,,6,,22,,22,,22,,22,,22,,22,,22,,12,,18,,18,,18,,18,,9,,9,,18,,28,,28,,28,,28,,28,,28,,28,,28,,10,,14,,10,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,15,,15,,15,,15,,15,,15,,15,
10,,10,,10,,10,,10,,10,,10,,10,,10,,15,,98,,98,,98,,98,,98,,98,,18,,18,,18,,4,,59,,28,,12,,12,,12,,12,,12,,12,,12,,10,,22,,9,,9,,9,,28,,28,,28,,15,,15,,15,,15,,15,,15,,15,,15,,9,,10,,9,,14,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,6,,6,,6,,6,,6,,6,,6,
98,,15,,15,,15,,15,,15,,15,,15,,15,,98,,26,,26,,4,,4,,4,,18,,4,,4,,4,,19,,23,,10,,10,,10,,10,,10,,10,,10,,10,,18,,9,,15,,15,,15,,15,,15,,15,,6,,6,,6,,6,,6,,6,,6,,6,,59,,9,,15,,15,,98,,98,,98,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,14,,14,,14,,14,,14,,14,,14,
15,,26,,26,,26,,26,,26,,98,,98,,98,,26,,6,,4,,18,,18,,18,,4,,19,,19,,19,,98,,6,,14,,18,,18,,18,,18,,18,,18,,18,,9,,26,,4,,6,,6,,6,,6,,6,,59,,59,,59,,59,,59,,59,,59,,59,,14,,15,,26,,26,,6,,6,,6,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,23,,23,,23,,23,,23,,23,,23,
26,,98,,98,,98,,98,,98,,26,,26,,26,,22,,4,,20,,19,,19,,19,,19,,98,,98,,98,,59,,28,,5,,59,,9,,9,,9,,9,,9,,9,,26,,4,,6,,4,,4,,4,,4,,4,,23,,23,,23,,23,,23,,23,,23,,23,,15,,22,,98,,98,,14,,14,,14,,98,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,27,,98,,98,,98,,98,,98,,98,
22,,22,,22,,22,,22,,28,,28,,28,,28,,4,,20,,18,,20,,59,,59,,59,,59,,59,,59,,23,,5,,22,,9,,26,,26,,26,,26,,26,,26,,4,,15,,59,,59,,59,,59,,59,,59,,4,,14,,14,,14,,14,,14,,14,,14,,22,,26,,6,,6,,59,,59,,59,,59,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,98,,22,,22,,22,,22,,22,,22,
28,,28,,28,,28,,28,,22,,22,,22,,22,,20,,88,,19,,59,,23,,23,,23,,23,,23,,23,,6,,14,,4,,26,,4,,4,,4,,4,,4,,4,,15,,6,,23,,23,,23,,23,,23,,23,,14,,4,,4,,4,,4,,4,,4,,4,,26,,98,,22,,59,,26,,23,,23,,23,,59,,59,,59,,59,,59,,59,,59,,59,,98,,98,,22,,26,,26,,26,,59,,59,,59,
20,,20,,20,,20,,4,,4,,4,,4,,4,,5,,18,,59,,23,,6,,6,,6,,6,,6,,6,,5,,1,,1,,4,,15,,15,,15,,15,,15,,15,,6,,59,,5,,5,,5,,5,,14,,14,,5,,5,,5,,5,,5,,5,,5,,5,,98,,59,,59,,23,,23,,22,,22,,22,,98,,98,,98,,98,,98,,98,,98,,98,,26,,26,,26,,59,,59,,59,,26,,26,,27,
4,,4,,4,,4,,20,,20,,20,,20,,20,,88,,19,,23,,6,,5,,5,,5,,5,,5,,5,,28,,22,,9,,15,,59,,59,,59,,59,,59,,59,,59,,23,,14,,14,,14,,14,,5,,5,,1,,1,,1,,1,,1,,1,,1,,22,,23,,23,,23,,22,,22,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,59,,59,,59,,27,,27,,27,,27,,27,,26,
19,,88,,88,,88,,88,,88,,88,,88,,88,,19,,59,,6,,5,,28,,28,,28,,28,,28,,28,,14,,15,,23,,23,,23,,23,,23,,23,,23,,23,,23,,5,,1,,1,,1,,1,,1,,1,,30,,30,,30,,30,,30,,22,,22,,1,,5,,20,,20,,20,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,
88,,1,,1,,1,,1,,1,,1,,1,,1,,18,,23,,5,,28,,20,,14,,14,,14,,14,,14,,1,,30,,26,,5,,5,,5,,5,,5,,5,,5,,5,,14,,30,,30,,30,,30,,30,,30,,22,,22,,22,,22,,22,,30,,30,,30,,1,,4,,4,,4,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
1,,14,,14,,14,,14,,14,,14,,14,,19,,59,,22,,28,,26,,14,,1,,1,,1,,1,,1,,9,,19,,30,,98,,98,,98,,98,,98,,98,,98,,1,,1,,26,,22,,22,,22,,22,,22,,26,,26,,26,,26,,26,,26,,26,,26,,30,,1,,1,,1,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,
14,,30,,30,,30,,30,,30,,30,,30,,18,,23,,5,,14,,14,,1,,22,,22,,22,,22,,22,,22,,98,,15,,1,,1,,1,,1,,1,,1,,1,,30,,30,,22,,20,,26,,26,,26,,26,,18,,98,,98,,98,,98,,98,,98,,98,,4,,5,,5,,5,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,,
30,,18,,19,,19,,19,,19,,19,,19,,59,,1,,28,,22,,1,,22,,30,,30,,30,,30,,30,,30,,9,,98,,88,,30,,30,,30,,30,,30,,30,,20,,20,,20,,26,,20,,98,,98,,98,,98,,20,,20,,20,,20,,20,,20,,20,,20,,30,,30,,30,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,,
23,,19,,59,,59,,59,,59,,59,,59,,23,,28,,14,,1,,22,,30,,26,,26,,26,,26,,26,,26,,26,,88,,30,,20,,20,,20,,20,,20,,20,,98,,98,,98,,98,,98,,20,,20,,20,,20,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,,
59,,59,,18,,18,,18,,18,,18,,18,,14,,14,,1,,88,,30,,26,,88,,88,,88,,88,,88,,88,,88,,20,,20,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,,
18,,23,,23,,23,,23,,23,,23,,23,,30,,30,,30,,30,,88,,88,,20,,20,,20,,20,,20,,20,,20,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,,,,,,
21,,21,,21,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,,,,,,,,
32,,32,,32,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
