track,raceNumber,year,type,fin,st,num,driver,sponsor,C/E/T,laps,money,status,led,pts,ledPts,ledMostPts,polePoints,atp,atp25,xPtsATP,xPtsATP25,xPts,passesFor,passesAgainst,lapOneChange,inTopFive,fastLapRank,date
St. Petersburg,1,2018,street,1,14,18,Sebastien Bourdais,SealMaster   (Dale Coyne w/Vasser-Sullivan),D/H/F,110,,running,30,51,1,0,0,6.432432432,3,28,35,29,43,30,-7,70,,3/11/2018
St. Petersburg,1,2018,street,2,24,15,Graham Rahal,United Rentals / Mi-Jack   (Rahal Letterman Lanigan Racing),D/H/F,110,,running,0,40,0,0,0,8.711711712,4,22,32,22,47,25,6,47,,3/11/2018
St. Petersburg,1,2018,street,3,12,27,Alexander Rossi,NAPA Auto Parts   (Andretti Autosport),D/H/F,110,,running,5,36,1,0,0,3.063063063,2.068965517,35,40,36,24,15,5,100,,3/11/2018
St. Petersburg,1,2018,street,4,7,5,James Hinchcliffe,Arrow / Lucas Oil   (Schmidt Peterson Motorsports),D/H/F,110,,running,0,32,0,0,0,5.864864865,5.034482759,28,30,28,22,19,3,77,,3/11/2018
St. Petersburg,1,2018,street,5,6,28,Ryan Hunter-Reay,DHL   (Andretti Autosport),D/H/F,110,,running,1,31,1,0,0,9.702702703,5.379310345,20,30,21,39,38,-17,27,,3/11/2018
St. Petersburg,1,2018,street,6,9,9,Scott Dixon,PNC Bank   (Chip Ganassi),D/H/F,110,,running,0,28,0,0,0,9.900900901,7.793103448,20,24,20,36,33,3,0,,3/11/2018
St. Petersburg,1,2018,street,7,13,1,Josef Newgarden,Hitachi   (Roger Penske),D/C/F,110,,running,0,26,0,0,0,11.64864865,8.724137931,18,22,18,38,32,1,0,,3/11/2018
St. Petersburg,1,2018,street,8,17,10,Ed Jones,NTT Data   (Chip Ganassi),D/H/F,110,,running,0,24,0,0,0,10.30630631,7.517241379,20,24,20,36,27,7,6,,3/11/2018
St. Petersburg,1,2018,street,9,18,98,Marco Andretti,Ruoff Home Mortgage / Curb   (AHA with Curb-Agajanian),D/H/F,110,,running,0,22,0,0,0,10.44144144,11,20,19,20,45,36,2,13,,3/11/2018
St. Petersburg,1,2018,street,10,2,12,Will Power,Verizon   (Roger Penske),D/C/F,110,,running,0,20,0,0,0,12.21621622,10.13793103,18,20,18,37,45,-9,0,,3/11/2018
St. Petersburg,1,2018,street,11,10,14,Tony Kanaan,ABC Supply Co.   (A.J. Foyt),D/C/F,110,,running,0,19,0,0,0,12.5045045,11.89655172,17,18,17,40,41,-12,0,,3/11/2018
St. Petersburg,1,2018,street,12,5,30,Takuma Sato,Mi-Jack / Panasonic   (Rahal Letterman Lanigan Racing),D/H/F,110,,running,0,18,0,0,0,12.91891892,15.10344828,17,15,17,31,38,0,12,,3/11/2018
St. Petersburg,1,2018,street,13,11,22,Simon Pagenaud,Menards   (Roger Penske),D/C/F,110,,running,0,17,0,0,0,13.32432432,14.20689655,17,16,17,30,32,3,0,,3/11/2018
St. Petersburg,1,2018,street,14,8,88,Gabby Chaves,Harding Group   (Harding Racing),D/C/F,110,,running,0,16,0,0,0,12.46846847,13.37931034,18,17,18,30,36,-1,1,,3/11/2018
St. Petersburg,1,2018,street,15,16,21,Spencer Pigot,Autogeek   (Ed Carpenter Racing),D/C/F,109,,running,0,15,0,0,0,12.5,15.21428571,18,15,18,47,46,2,19,,3/11/2018
St. Petersburg,1,2018,street,16,15,26,Zach Veach,Group One Thousand One   (Andretti Autosport),D/H/F,109,,running,0,14,0,0,0,16.11818182,17.53571429,14,12,14,39,40,2,0,,3/11/2018
St. Petersburg,1,2018,street,17,22,19,Zachary Claman De Melo,Paysafe   (Dale Coyne),D/H/F,109,,running,0,13,0,0,0,13.10909091,16.71428571,17,13,17,42,37,5,17,,3/11/2018
