Driver,Team,Strategist
   Josef Newgarden,Penske,Tim Cindric
   Matheus Leist,AJ Foyt ,George Klotz
   James Hinchcliffe,Arrow Schmidt Peterson Motorsports,Taylor Kiel
   Marcus Ericsson,Arrow Schmidt Peterson Motorsports,Billy Vincent
   Scott Dixon,Chip Ganassi Racing,Mike Hull/Chip Ganassi
   Felix Rosenqvist,Chip Ganassi Racing,Barry Wanser
   Will Power,Penske,Roger Penske/Ron Ruzeweski
   Tony Kanaan,AJ Foyt ,Scott Harner
   Graham Rahal,RLL Racing,Ricardo Nault
   Sebastien Bourdais,Dale Coyne Racing,Dale Coyne
   Santino Ferrucci,Dale Coyne Racing,Terry Brown
   Ed Jones,Ed Carpenter Racing,Tim Broyles
   Spencer Pigot,Ed Carpenter Racing,Brent Harvey
   Simon Pagenaud,Penske,Kyle Moyer
   Zach Veach,Andretti Autosport,Josh Freund
   Alexander Rossi,Andretti Autosport,Rob Edwards
   Ryan Hunter-Reay,Andretti Autosport,Ray Gosselin
   Takuma Sato,RLL Racing,Derek Davidson
   Patricio O'Ward,Carlin,Matt Greasley
   Kyle Kaiser,Juncos Racing,
   Max Chilton,Carlin,Barry Waddell
   Jack Harvey,Arrow Schmidt Peterson Motorsports,Ryan McCarthy
   Colton Herta,Harding Steinbrenner Racing,Davey Hamilton
   Marco Andretti,Andretti Autorsport,Bryan Herta
   Charlie Kimball,Carlin,Matt Greasley
   Ben Hanley,Dragon Speed,Leon Gutfreund
   Ed Carpenter,Ed Carpenter Racing,Tim Broyles
