resultID,deleted,marker,rank,diff,gap,overallRank,startPosition,bestLapTime,bestLap,lastLapTime,laps,totalTime,status,onTrack,pitStops,lastPitLap,sincePitLap,flagStatus,no,firstName,lastName,className,equipment,license,team,comment,oldRank,OverTake_Remain,OverTake_Active,Tire,NTRank,NTLap,NTBestTime,Best_S7,Best_L6,Best_I3,Best_S8,Best_P1,Best_L2,Best_S1,Best_I1,Best_L4,Best_P2,Best_S2,Best_L5,Best_L7,Best_L3,Best_S3,Best_T3,Best_S4A,Best_S4,Best_S4B,Best_S5A,Best_S5,Best_I2,Best_S5B,Best_T5,Best_S6A,Best_S6,Best_S6B,S7,L6,I3,S8,P1,L2,S1,I1,L4,P2,S2,L5,L7,L3,S3,T3,S4A,S4,S4B,S5A,S5,I2,S5B,T5,S6A,S6,S6B,EntrantID,TeamID,DriverID,time_stamp,Best_T3_SPD,T3_SPD,Best_T5_SPD,T5_SPD,BestSpeed,LastSpeed,AverageSpeed,NTBestSpeed
26,0,0,1,0.0000,0.0000,1,1,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,10,Alex,Palou,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","","","",4.8042,"","","","","","","","","","","","","","","","","","","","","","","","","","",4.8042,"","","","","","","","","","","","","","","",9,25,2018,2022-02-26T14:00:12.695283Z,,,,,,,,
27,0,0,2,0.0000,0.0000,2,2,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,2,Josef,Newgarden,IndyCar,D/C/F,Veteran,Team Penske,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,606,2022-02-26T14:00:12.695283Z,,,,,,,,
28,0,7,3,0.0000,0.0000,3,3,0.0000,0,0.0000,0,0.0000,IN PIT,False,0,0,0,Green,3,Scott,McLaughlin,IndyCar,D/C/F,Veteran,Team Penske,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,2022,2022-02-26T14:00:12.695283Z,,,,,,,,
29,0,7,4,0.0000,0.0000,4,4,0.0000,0,0.0000,0,0.0000,IN PIT,False,0,0,0,Green,4,Dalton,Kellett,IndyCar,D/C/F,Veteran,AJ Foyt Enterprises,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,719,2022-02-26T14:00:12.695283Z,,,,,,,,
30,0,0,5,0.0000,0.0000,5,5,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,5,Pato,O'Ward,IndyCar,D/C/F,Veteran,Arrow McLaren SP,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,24,852,2022-02-26T14:00:12.695283Z,,,,,,,,
31,0,0,6,0.0000,0.0000,6,6,0.0000,0,0.0000,0,0.0000,IN PIT,True,0,0,0,Warmup,06,Helio,Castroneves,IndyCar,D/H/F,Veteran,Meyer Shank Racing,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,148,254,2022-02-26T14:00:12.695283Z,,,,,,,,
32,0,0,7,0.0000,0.0000,7,7,0.0000,0,0.0000,0,0.0000,IN PIT,True,0,0,0,Warmup,7,Felix,Rosenqvist,IndyCar,D/C/F,Veteran,Arrow McLaren SP,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,24,963,2022-02-26T14:00:12.695283Z,,,,,,,,
33,0,0,8,0.0000,0.0000,8,8,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,8,Marcus,Ericsson,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,25,1087,2022-02-26T14:00:12.695283Z,,,,,,,,
34,0,0,9,0.0000,0.0000,9,9,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,9,Scott,Dixon,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,25,326,2022-02-26T14:00:12.695283Z,,,,,,,,
35,0,7,10,0.0000,0.0000,10,10,0.0000,0,0.0000,0,0.0000,IN PIT,False,0,0,0,Green,11,Tatiana,Calderon,IndyCar,D/C/F,Rookie,AJ Foyt Enterprises,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,596,2022-02-26T14:00:12.695283Z,,,,,,,,
36,0,7,11,0.0000,0.0000,11,11,0.0000,0,0.0000,0,0.0000,IN PIT,False,0,0,0,Green,12,Will,Power,IndyCar,D/C/F,Veteran,Team Penske,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,461,2022-02-26T14:00:12.695283Z,,,,,,,,
37,0,7,12,0.0000,0.0000,12,12,0.0000,0,0.0000,0,0.0000,In Pit,False,0,0,0,Green,14,Kyle,Kirkwood,IndyCar,D/C/F,Rookie,AJ Foyt Enterprises,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,954,2022-02-26T14:00:12.695283Z,,,,,,,,
38,0,7,13,0.0000,0.0000,13,13,0.0000,0,0.0000,0,0.0000,Active,False,0,0,0,Green,15,Graham,Rahal,IndyCar,D/H/F,Veteran,Rahal Letterman Lanigan Racing,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,21,400,2022-02-26T14:00:12.695283Z,,,,,,,,
39,0,0,14,0.0000,0.0000,14,14,0.0000,0,0.0000,0,0.0000,IN PIT,True,0,0,0,Warmup,18,David,Malukas,IndyCar,D/H/F,Rookie,Dale Coyne Racing with HMD,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,129,1014,2022-02-26T14:00:12.695283Z,,,,,,,,
40,0,7,15,0.0000,0.0000,15,15,0.0000,0,0.0000,0,0.0000,In Pit,False,0,0,0,Green,20,Conor,Daly,IndyCar,D/C/F,Veteran,Ed Carpenter Racing,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,139,580,2022-02-26T14:00:12.695283Z,,,,,,,,
41,0,0,16,0.0000,0.0000,16,16,0.0000,0,0.0000,0,0.0000,IN PIT,True,0,0,0,Warmup,21,Rinus,VeeKay,IndyCar,D/C/F,Veteran,Ed Carpenter Racing,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,139,1010,2022-02-26T14:00:12.695283Z,,,,,,,,
