resultID,deleted,marker,rank,diff,gap,overallRank,startPosition,bestLapTime,bestLap,lastLapTime,laps,totalTime,status,onTrack,pitStops,lastPitLap,sincePitLap,flagStatus,no,firstName,lastName,className,equipment,license,team,totalEntrantPoints,totalDriverPoints,comment,oldRank,OverTake_Remain,OverTake_Active,Tire,NTRank,NTLap,NTBestTime,Best_TSF,Best_S1,Best_I1,Best_L4,Best_L5,Best_L7,Best_L3,Best_S2,Best_S3,Best_S4,Best_T4_SPD,Best_S5,Best_I2,Best_S6,Best_S7,Best_S8,Best_S9,Best_T9,Best_S10,Best_I3,Best_S11,Best_S12,Best_S13,Best_S14,Best_L6,Best_PIC,Best_PIB,Best_S15,Best_P1,Best_L2,Best_P2,TSF,S1,I1,L4,L5,L7,L3,S2,S3,S4,T4_SPD,S5,I2,S6,S7,S8,S9,T9,S10,I3,S11,S12,S13,S14,L6,PIC,PIB,S15,P1,L2,P2,EntrantID,TeamID,DriverID,time_stamp,Best_T9_SPD,T9_SPD,Best_TSF_SPD,TSF_SPD,LastSpeed,Passed,Passes,BestSpeed,AverageSpeed,NTBestSpeed,T4
0,0,0,1,0.0000,0.0000,1,1,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Warmup,2,Josef,Newgarden,IndyCar,D/C/F,Veteran,Team Penske,299,299,"",0,2,0,A,0,0,-0.0001,"","","","",15.8806,"","","",14.7406,17.8561,93.410,17.0257,"",16.6164,11.4817,"","","","","","","","","","","","","","","","","","","","",15.8806,"","","",14.7406,17.8561,93.410,17.0257,"",16.6164,11.4817,"","","","","","","","","","","","","","","","",1,12,606,2021-06-20T16:41:16.231173Z,,,,,,,,,,,
1,0,0,2,0.0000,0.0000,2,2,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Warmup,26,Colton,Herta,IndyCar,D/H/F,Veteran,Andretti Autosport,242,242,"",0,0,0,A,0,0,-0.0001,"","","","",14.8440,"","","",14.7755,20.1751,82.570,15.0387,"",17.3686,11.4684,"","","","","","","","","","","","","","","","","","","","",14.8440,"","","",14.7755,20.1751,82.570,15.0387,"",17.3686,11.4684,"","","","","","","","","","","","","","","","",16,3,879,2021-06-20T16:41:16.231173Z,,,,,,,,,,,
2,0,0,3,0.0000,0.0000,3,3,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Warmup,60,Jack,Harvey,IndyCar,D/H/F,Veteran,Meyer Shank Racing,181,181,"",0,200,0,A,0,0,-0.0001,"","","","",15.1728,"","","",14.5329,20.3562,89.507,14.2679,"",17.8709,11.3158,"","","","","","","","","","","","","","","","","","","","",15.1728,"","","",14.5329,20.3562,89.507,14.2679,"",17.8709,11.3158,"","","","","","","","","","","","","","","","",24,148,850,2021-06-20T16:41:16.231173Z,,,,,,,,,,,
3,0,0,4,0.0000,0.0000,4,4,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Warmup,12,Will,Power,IndyCar,D/C/F,Veteran,Team Penske,201,201,"",0,0,0,P,0,0,-0.0001,"","","","",15.7221,"","","",13.6576,20.8488,88.157,15.6391,"",16.4764,11.0690,"","","","","","","","","","","","","","","","","","","","",15.7221,"","","",13.6576,20.8488,88.157,15.6391,"",16.4764,11.0690,"","","","","","","","","","","","","","","","",9,12,461,2021-06-20T16:41:16.231173Z,,,,,,,,,,,
4,0,0,5,0.0000,0.0000,5,5,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Warmup,10,Alex,Palou,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,328,328,"",0,0,0,P,0,0,-0.0001,"","","","",15.1803,"","","",13.0356,20.6899,111.575,15.9226,"",16.6574,10.8565,"","","","","","","","","","","","","","","","","","","","",15.1803,"","","",13.0356,20.6899,111.575,15.9226,"",16.6574,10.8565,"","","","","","","","","","","","","","","","",8,25,2018,2021-06-20T16:41:16.231173Z,,,,,,,,,,,
5,0,0,6,0.0000,0.0000,6,6,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Warmup,22,Simon,Pagenaud,IndyCar,D/C/F,Veteran,Team Penske,271,271,"",0,0,0,A,0,0,-0.0001,"","","","",17.0933,"","","",12.3244,21.8890,85.916,14.8856,"",15.7821,11.9115,"","","","","","","","","","","","","","","","","","","","",17.0933,"","","",12.3244,21.8890,85.916,14.8856,"",15.7821,11.9115,"","","","","","","","","","","","","","","","",15,12,658,2021-06-20T16:41:16.231173Z,,,,,,,,,,,
6,0,0,7,0.0000,0.0000,7,7,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Warmup,51,Romain,Grosjean,IndyCar,D/H/F,Rookie,Dale Coyne Racing w/Rick Ware Racing,155,121,"",0,18,0,A,0,0,-0.0001,"","","","",15.8281,"","","",12.3543,21.9775,83.369,14.2155,"",16.5298,11.9002,"","","","","","","","","","","","","","","","","","","","",15.8281,"","","",12.3543,21.9775,83.369,14.2155,"",16.5298,11.9002,"","","","","","","","","","","","","","","","",22,129,2047,2021-06-20T16:41:16.231173Z,,,,,,,,,,,
7,0,0,8,0.0000,0.0000,8,8,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Warmup,28,Ryan,Hunter-Reay,IndyCar,D/H/F,Veteran,Andretti Autosport,146,146,"",0,0,0,A,0,0,-0.0001,"","","","",16.7646,"","","",14.2882,21.1096,76.810,16.0579,"",13.8836,"","","","","","","","","","","","","","","","","","","","","",16.7646,"","","",14.2882,21.1096,76.810,16.0579,"",13.8836,"","","","","","","","","","","","","","","","","",18,3,442,2021-06-20T16:41:16.231173Z,,,,,,,,,,,
8,0,0,9,0.0000,0.0000,9,9,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Warmup,27,Alexander,Rossi,IndyCar,D/H/F,Veteran,Andretti Autosport,167,167,"",0,0,0,P,0,0,-0.0001,"","","","",18.0719,"","","",13.0582,20.9921,83.098,15.8722,"",15.1770,"","","","","","","","","","","","","","","","","","","","","",18.0719,"","","",13.0582,20.9921,83.098,15.8722,"",15.1770,"","","","","","","","","","","","","","","","","",17,3,522,2021-06-20T16:41:16.231173Z,,,,,,,,,,,
9,0,0,10,0.0000,0.0000,10,10,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Warmup,5,Pato,O'Ward,IndyCar,D/C/F,Veteran,Arrow McLaren SP,319,319,"",0,0,0,P,0,0,-0.0001,"","","","",18.0540,"","","",14.7739,21.2643,86.699,15.1257,"",13.5686,"","","","","","","","","","","","","","","","","","","","","",18.0540,"","","",14.7739,21.2643,86.699,15.1257,"",13.5686,"","","","","","","","","","","","","","","","","",4,24,852,2021-06-20T16:41:16.231173Z,,,,,,,,,,,
