Car,Driver Name,Lap,LapTime,MPH,S1,P2,STOPTIME,I1,L4_SFtoPI,S2,L5,L7,L3_POtoSF,S3,T3,S4A,S4,S4B,S5A,S5,I2,S5B,T5,S6A,S6,S6B,S7,L6,I3,P1,L2_PItoPO,S8,Status,TOD,TIRE,OT Remain,OT Used
3,McLaughlin,1,63.113,102.673,3.1443,0,0,29.8483,0,6.5174,0,2085.52,0,6.9526,0.5338,4.8184,13.234,8.4156,3.7657,10.5016,20.5736,6.7359,0.5304,5.0465,10.072,5.0255,8.5067,0,12.6911,0,0,4.1844,,41:10.3,A,150,0
3,McLaughlin,2,62.4068,103.835,2.9617,0,0,28.9821,0,6.2117,0,0,0,6.6209,0.5304,4.7701,13.1878,8.4177,3.7946,10.538,20.6391,6.7434,0.5298,5.0567,10.1011,5.0444,8.5677,0,12.7856,0,0,4.2179,,42:12.7,A,148,2
3,McLaughlin,3,61.9548,104.592,2.9439,0,0,28.7491,0,6.1584,0,0,0,6.5375,0.5276,4.7285,13.1093,8.3808,3.7309,10.4371,20.442,6.7062,0.5279,4.9883,10.0049,5.0166,8.5391,0,12.7637,0,0,4.2246,,43:14.6,A,148,0
3,McLaughlin,4,61.5548,105.272,2.9364,0,0,28.4458,0,6.0952,0,0,0,6.4987,0.5241,4.5838,12.9155,8.3317,3.7408,10.4555,20.4118,6.7147,0.5279,4.9434,9.9563,5.0129,8.4835,0,12.6972,0,0,4.2137,,44:16.2,A,148,0
3,McLaughlin,5,61.8591,104.754,2.9733,0,0,28.4739,0,6.0518,0,0,0,6.4788,0.5223,4.6877,12.97,8.2823,3.7956,10.5471,20.5825,6.7515,0.5346,4.9749,10.0354,5.0605,8.5875,0,12.8027,0,0,4.2152,,45:18.1,A,148,0
3,McLaughlin,6,62.0224,104.478,3.0147,0,0,28.7038,0,6.1148,0,0,0,6.4956,0.5323,4.7683,13.0787,8.3104,3.7606,10.4993,20.523,6.7387,0.5502,4.9591,10.0237,5.0646,8.5896,0,12.7956,0,0,4.206,,46:20.1,A,148,0
3,McLaughlin,7,61.8505,104.769,2.9653,0,0,28.6516,0,6.0858,0,0,0,6.5268,0.537,4.7616,13.0737,8.3121,3.7459,10.4944,20.448,6.7485,0.5501,4.9444,9.9536,5.0092,8.5401,0,12.7509,0,0,4.2108,,47:21.9,A,148,0
3,McLaughlin,8,62.0784,104.384,2.9916,0,0,28.7144,0,6.1338,0,0,0,6.521,0.5443,4.7683,13.068,8.2997,3.7792,10.5567,20.5813,6.7775,0.5548,4.9664,10.0246,5.0582,8.5659,0,12.7827,0,0,4.2168,,48:24.0,A,148,0
3,McLaughlin,9,62.1848,104.206,2.9851,0,0,28.6829,0,6.1141,0,0,0,6.5409,0.5399,4.7356,13.0428,8.3072,3.7922,10.5682,20.6425,6.776,0.5678,5.0181,10.0743,5.0562,8.6426,0,12.8594,0,0,4.2168,,49:26.2,A,148,0
3,McLaughlin,10,62.075,104.39,2.9669,0,0,28.7294,0,6.1465,0,0,0,6.5576,0.5399,4.7358,13.0584,8.3226,3.7698,10.509,20.5534,6.7392,0.5495,5.001,10.0444,5.0434,8.5858,0,12.7922,0,0,4.2064,,50:28.3,A,148,0
