Section,Rank,Car,Driver,C/A/E/T,Time,Speed,Lap
Full Lap,1,12,"Power, Will",D/C/C/F,01:08.2763,121.272,85
Full Lap,2,27,"Andretti, Marco",D/H/H/F,01:08.4985,120.879,71
Full Lap,3,9,"Dixon, Scott",D/H/H/F,01:08.7840,120.377,28
Full Lap,4,2,"Newgarden, Josef",D/C/C/F,01:08.8132,120.326,21
Full Lap,5,7,"Aleshin, Mikhail",D/H/H/F,01:08.8169,120.319,20
Full Lap,6,98,"Rossi, Alexander",D/H/H/F,01:09.0716,119.876,16
Full Lap,7,3,"Castroneves, Helio",D/C/C/F,01:09.1543,119.732,31
Full Lap,8,1,"Pagenaud, Simon",D/C/C/F,01:09.1880,119.674,52
Full Lap,9,83,"Kimball, Charlie",D/H/H/F,01:09.2098,119.636,69
Full Lap,10,20,"Pigot, Spencer",D/C/C/F,01:09.2478,119.571,75
Full Lap,11,5,"Hinchcliffe, James",D/H/H/F,01:09.3776,119.347,52
Full Lap,12,4,"Daly, Conor",D/C/C/F,01:09.4275,119.261,29
Full Lap,13,18,"Bourdais, Sebastien",D/H/H/F,01:09.5401,119.068,49
Full Lap,14,10,"Kanaan, Tony",D/H/H/F,01:09.5455,119.059,45
Full Lap,15,8,"Chilton, Max",D/H/H/F,01:09.6038,118.959,51
Full Lap,16,26,"Sato, Takuma",D/H/H/F,01:09.6827,118.824,28
Full Lap,17,28,"Hunter-Reay, Ryan",D/H/H/F,01:09.6867,118.818,74
Full Lap,18,15,"Rahal, Graham",D/H/H/F,01:09.8315,118.571,44
Full Lap,19,19,"Jones, Ed (R)",D/H/H/F,01:09.9995,118.287,16
Full Lap,20,21,"Veach, Zach (R)",D/C/C/F,01:10.0527,118.197,54
Full Lap,21,14,"Munoz, Carlos",D/C/C/F,01:10.0644,118.177,19
Sector 1,1,18,"Bourdais, Sebastien",D/H/H/F,00:01.8750,162.182,87
Sector 1,2,27,"Andretti, Marco",D/H/H/F,00:01.8820,161.579,72
Sector 1,3,83,"Kimball, Charlie",D/H/H/F,00:01.8832,161.476,57
Sector 1,4,9,"Dixon, Scott",D/H/H/F,00:01.8900,160.895,51
Sector 1,5,10,"Kanaan, Tony",D/H/H/F,00:01.8928,160.657,89
Sector 1,6,8,"Chilton, Max",D/H/H/F,00:01.8938,160.572,42
Sector 1,7,98,"Rossi, Alexander",D/H/H/F,00:01.8942,160.538,42
Sector 1,8,7,"Aleshin, Mikhail",D/H/H/F,00:01.8956,160.419,50
Sector 1,9,20,"Pigot, Spencer",D/C/C/F,00:01.8979,160.225,20
Sector 1,10,5,"Hinchcliffe, James",D/H/H/F,00:01.9000,160.048,43
Sector 1,11,15,"Rahal, Graham",D/H/H/F,00:01.9005,160.006,89
Sector 1,12,28,"Hunter-Reay, Ryan",D/H/H/F,00:01.9145,158.836,87
Sector 1,13,26,"Sato, Takuma",D/H/H/F,00:01.9159,158.720,46
Sector 1,14,19,"Jones, Ed (R)",D/H/H/F,00:01.9176,158.579,10
Sector 1,15,12,"Power, Will",D/C/C/F,00:01.9192,158.447,86
Sector 1,16,4,"Daly, Conor",D/C/C/F,00:01.9215,158.257,86
Sector 1,17,3,"Castroneves, Helio",D/C/C/F,00:01.9279,157.732,21
Sector 1,18,21,"Veach, Zach (R)",D/C/C/F,00:01.9326,157.348,13
Sector 1,19,2,"Newgarden, Josef",D/C/C/F,00:01.9329,157.324,61
Sector 1,20,1,"Pagenaud, Simon",D/C/C/F,00:01.9331,157.307,61
Sector 1,21,14,"Munoz, Carlos",D/C/C/F,00:01.9395,156.788,60
Sector 1,22,14,"Munoz, Carlos",D/C/C/F,00:01.9395,156.788,1
Sector 2,1,9,"Dixon, Scott",D/H/H/F,00:09.7053,106.924,33
Sector 2,2,12,"Power, Will",D/C/C/F,00:09.7560,106.368,81
Sector 2,3,20,"Pigot, Spencer",D/C/C/F,00:09.7588,106.338,75
Sector 2,4,83,"Kimball, Charlie",D/H/H/F,00:09.7634,106.287,19
Sector 2,5,2,"Newgarden, Josef",D/C/C/F,00:09.7727,106.186,46
Sector 2,6,98,"Rossi, Alexander",D/H/H/F,00:09.8034,105.854,16
Sector 2,7,7,"Aleshin, Mikhail",D/H/H/F,00:09.8054,105.832,19
Sector 2,8,1,"Pagenaud, Simon",D/C/C/F,00:09.8065,105.820,50
Sector 2,9,3,"Castroneves, Helio",D/C/C/F,00:09.8269,105.601,71
