Section,Rank,Car,Driver,C/E/T,Time,Speed,Lap
Full Lap,1,10,"Rosenqvist, Felix (R)",D/H/F,01:09.2296,119.602,10
Full Lap,2,18,"Bourdais, Sebastien",D/H/F,01:09.2750,119.524,6
Full Lap,3,5,"Hinchcliffe, James",D/H/F,01:09.3276,119.433,3
Full Lap,4,9,"Dixon, Scott",D/H/F,01:09.4373,119.244,6
Full Lap,5,28,"Hunter-Reay, Ryan",D/H/F,01:09.4452,119.231,6
Full Lap,6,88,"Herta, Colton (R)",D/H/F,01:09.4987,119.139,4
Full Lap,7,31,"O'Ward, Patricio (R)",D/C/F,01:09.5007,119.135,15
Full Lap,8,30,"Sato, Takuma",D/H/F,01:09.5479,119.055,2
Full Lap,9,27,"Rossi, Alexander",D/H/F,01:09.8022,118.621,3
Full Lap,10,22,"Pagenaud, Simon",D/C/F,01:09.8294,118.575,4
Full Lap,11,98,"Andretti, Marco",D/H/F,01:09.9137,118.432,2
Full Lap,12,12,"Power, Will",D/C/F,01:09.9440,118.380,6
Full Lap,13,14,"Kanaan, Tony",D/C/F,01:09.9707,118.335,4
Full Lap,14,2,"Newgarden, Josef",D/C/F,01:10.1168,118.089,2
Full Lap,15,7,"Ericsson, Marcus (R)",D/H/F,01:10.1253,118.074,6
Full Lap,16,21,"Pigot, Spencer",D/C/F,01:10.1428,118.045,3
Full Lap,17,26,"Veach, Zach",D/H/F,01:10.2569,117.853,7
Full Lap,18,59,"Chilton, Max",D/C/F,01:10.2630,117.843,7
Full Lap,19,60,"Harvey, Jack",D/H/F,01:10.3180,117.751,3
Full Lap,20,20,"Jones, Ed",D/C/F,01:10.6279,117.234,2
Full Lap,21,15,"Rahal, Graham",D/H/F,01:10.7382,117.051,6
Full Lap,22,19,"Ferrucci, Santino (R)",D/H/F,01:10.7595,117.016,2
Full Lap,23,81,"Hanley, Ben (R)",D/C/F,01:11.4122,115.947,4
Full Lap,24,4,"Leist, Matheus",D/C/F,01:33.6477,88.416,0
Sector 1,1,88,"Herta, Colton (R)",D/H/F,00:01.8677,162.816,13
Sector 1,2,18,"Bourdais, Sebastien",D/H/F,00:01.8694,162.668,6
Sector 1,3,28,"Hunter-Reay, Ryan",D/H/F,00:01.8720,162.442,4
Sector 1,4,9,"Dixon, Scott",D/H/F,00:01.8739,162.277,3
Sector 1,5,27,"Rossi, Alexander",D/H/F,00:01.8742,162.251,4
Sector 1,6,30,"Sato, Takuma",D/H/F,00:01.8754,162.147,3
Sector 1,7,98,"Andretti, Marco",D/H/F,00:01.8764,162.061,6
Sector 1,8,15,"Rahal, Graham",D/H/F,00:01.8767,162.035,7
Sector 1,9,5,"Hinchcliffe, James",D/H/F,00:01.8807,161.690,3
Sector 1,10,26,"Veach, Zach",D/H/F,00:01.8808,161.682,4
Sector 1,11,19,"Ferrucci, Santino (R)",D/H/F,00:01.8855,161.279,7
Sector 1,12,20,"Jones, Ed",D/C/F,00:01.8865,161.193,5
Sector 1,13,10,"Rosenqvist, Felix (R)",D/H/F,00:01.8871,161.142,10
Sector 1,14,14,"Kanaan, Tony",D/C/F,00:01.8902,160.878,4
Sector 1,15,31,"O'Ward, Patricio (R)",D/C/F,00:01.8979,160.225,5
Sector 1,16,7,"Ericsson, Marcus (R)",D/H/F,00:01.8984,160.183,13
Sector 1,17,60,"Harvey, Jack",D/H/F,00:01.8989,160.141,7
Sector 1,18,12,"Power, Will",D/C/F,00:01.9048,159.645,10
Sector 1,19,21,"Pigot, Spencer",D/C/F,00:01.9057,159.569,3
Sector 1,20,2,"Newgarden, Josef",D/C/F,00:01.9059,159.552,5
Sector 1,21,22,"Pagenaud, Simon",D/C/F,00:01.9069,159.469,4
Sector 1,22,59,"Chilton, Max",D/C/F,00:01.9092,159.277,5
Sector 1,23,81,"Hanley, Ben (R)",D/C/F,00:01.9150,158.794,4
Sector 1,24,4,"Leist, Matheus",D/C/F,00:02.8549,106.515,0
Sector 2,1,12,"Power, Will",D/C/F,00:10.0223,103.542,5
Sector 2,2,10,"Rosenqvist, Felix (R)",D/H/F,00:10.0347,103.414,10
Sector 2,3,31,"O'Ward, Patricio (R)",D/C/F,00:10.0775,102.975,5
Sector 2,4,88,"Herta, Colton (R)",D/H/F,00:10.1081,102.663,4
Sector 2,5,9,"Dixon, Scott",D/H/F,00:10.1299,102.442,6
Sector 2,6,30,"Sato, Takuma",D/H/F,00:10.1377,102.363,3
Sector 2,7,5,"Hinchcliffe, James",D/H/F,00:10.1410,102.330,3
Sector 2,8,22,"Pagenaud, Simon",D/C/F,00:10.1514,102.225,4
Sector 2,9,26,"Veach, Zach",D/H/F,00:10.1801,101.937,4
Sector 2,10,2,"Newgarden, Josef",D/C/F,00:10.1841,101.897,4
Sector 2,11,28,"Hunter-Reay, Ryan",D/H/F,00:10.1845,101.893,6
Sector 2,12,98,"Andretti, Marco",D/H/F,00:10.1852,101.886,2
Sector 2,13,14,"Kanaan, Tony",D/C/F,00:10.2077,101.661,4
Sector 2,14,27,"Rossi, Alexander",D/H/F,00:10.2205,101.534,7
Sector 2,15,7,"Ericsson, Marcus (R)",D/H/F,00:10.2207,101.532,6
Sector 2,16,60,"Harvey, Jack",D/H/F,00:10.2224,101.515,3
Sector 2,17,19,"Ferrucci, Santino (R)",D/H/F,00:10.2306,101.434,7
Sector 2,18,18,"Bourdais, Sebastien",D/H/F,00:10.2655,101.089,6
Sector 2,19,20,"Jones, Ed",D/C/F,00:10.2696,101.048,2
Sector 2,20,21,"Pigot, Spencer",D/C/F,00:10.2824,100.923,3
Sector 2,21,59,"Chilton, Max",D/C/F,00:10.3284,100.473,4
Sector 2,22,15,"Rahal, Graham",D/H/F,00:10.4678,99.135,7
Sector 2,23,81,"Hanley, Ben (R)",D/C/F,00:10.4984,98.846,5
Sector 2,24,4,"Leist, Matheus",D/C/F,00:13.8004,75.195,0
Sector 3,1,10,"Rosenqvist, Felix (R)",D/H/F,00:12.3378,110.249,2
Sector 3,2,88,"Herta, Colton (R)",D/H/F,00:12.3956,109.735,3
Sector 3,3,21,"Pigot, Spencer",D/C/F,00:12.4207,109.513,3
Sector 3,4,5,"Hinchcliffe, James",D/H/F,00:12.4405,109.339,2
Sector 3,5,18,"Bourdais, Sebastien",D/H/F,00:12.4551,109.210,6
Sector 3,6,31,"O'Ward, Patricio (R)",D/C/F,00:12.4647,109.126,2
Sector 3,7,98,"Andretti, Marco",D/H/F,00:12.4694,109.085,5
Sector 3,8,9,"Dixon, Scott",D/H/F,00:12.4941,108.870,4
