Section,Rank,Car,Driver,C/E/T,Time,Speed,Lap
Full Lap,1,12,"Power, Will",D/C/F,01:47.4401,114.259,7
Full Lap,2,10,"Rosenqvist, Felix (R)",D/H/F,01:47.6150,114.073,7
Full Lap,3,27,"Rossi, Alexander",D/H/F,01:47.9311,113.739,10
Full Lap,4,28,"Hunter-Reay, Ryan",D/H/F,01:48.1209,113.540,9
Full Lap,5,20,"Jones, Ed",D/C/F,01:48.1597,113.499,10
Full Lap,6,26,"Veach, Zach",D/H/F,01:48.1988,113.458,8
Full Lap,7,22,"Pagenaud, Simon",D/C/F,01:48.2728,113.380,10
Full Lap,8,30,"Sato, Takuma",D/H/F,01:48.3484,113.301,10
Full Lap,9,2,"Newgarden, Josef",D/C/F,01:48.4497,113.195,9
Full Lap,10,18,"Bourdais, Sebastien",D/H/F,01:48.4585,113.186,9
Full Lap,11,31,"O'Ward, Patricio (R)",D/C/F,01:48.5212,113.121,10
Full Lap,12,5,"Hinchcliffe, James",D/H/F,01:48.5311,113.110,10
Full Lap,13,15,"Rahal, Graham",D/H/F,01:48.5328,113.109,10
Full Lap,14,60,"Harvey, Jack",D/H/F,01:48.5541,113.086,11
Full Lap,15,59,"Chilton, Max",D/C/F,01:48.5643,113.076,10
Full Lap,16,9,"Dixon, Scott",D/H/F,01:48.5735,113.066,8
Full Lap,17,7,"Ericsson, Marcus (R)",D/H/F,01:48.9461,112.680,10
Full Lap,18,4,"Leist, Matheus",D/C/F,01:49.0534,112.569,9
Full Lap,19,98,"Andretti, Marco",D/H/F,01:49.1639,112.455,9
Full Lap,20,21,"Pigot, Spencer",D/C/F,01:49.2359,112.381,7
Full Lap,21,19,"Ferrucci, Santino (R)",D/H/F,01:49.2512,112.365,9
Full Lap,22,32,"Kaiser, Kyle (R)",D/C/F,01:50.5787,111.016,10
Full Lap,23,14,"Kanaan, Tony",D/C/F,01:51.6903,109.911,0
Sector 1,1,60,"Harvey, Jack",D/H/F,00:01.6522,164.244,1
Sector 1,2,4,"Leist, Matheus",D/C/F,00:01.6548,163.986,4
Sector 1,3,20,"Jones, Ed",D/C/F,00:01.6550,163.966,5
Sector 1,4,30,"Sato, Takuma",D/H/F,00:01.6555,163.916,3
