Section,Technical,Car,Driver,C/E/T,Time,Speed,Lap
Full Lap,Full Lap,10,"Rosenqvist, Felix (R)",D/H/F,01:01.8215,104.818,16
Full Lap,Full Lap,28,"Hunter-Reay, Ryan",D/H/F,01:02.0636,104.409,12
Full Lap,Full Lap,7,"Ericsson, Marcus (R)",D/H/F,01:02.0811,104.380,15
Full Lap,Full Lap,9,"Dixon, Scott",D/H/F,01:02.1309,104.296,8
Full Lap,Full Lap,27,"Rossi, Alexander",D/H/F,01:02.1470,104.269,5
Full Lap,Full Lap,30,"Sato, Takuma",D/H/F,01:02.1571,104.252,4
Full Lap,Full Lap,2,"Newgarden, Josef",D/C/F,01:02.1740,104.224,11
Full Lap,Full Lap,15,"Rahal, Graham",D/H/F,01:02.1852,104.205,12
Full Lap,Full Lap,26,"Veach, Zach",D/H/F,01:02.1925,104.193,2
Full Lap,Full Lap,12,"Power, Will",D/C/F,01:02.2758,104.053,4
Full Lap,Full Lap,18,"Bourdais, Sebastien",D/H/F,01:02.2884,104.032,8
Full Lap,Full Lap,22,"Pagenaud, Simon",D/C/F,01:02.3094,103.997,10
Full Lap,Full Lap,5,"Hinchcliffe, James",D/H/F,01:02.3140,103.989,13
Full Lap,Full Lap,21,"Pigot, Spencer",D/C/F,01:02.3703,103.896,14
Full Lap,Full Lap,23,"Kimball, Charles",D/C/F,01:02.4607,103.745,9
Full Lap,Full Lap,60,"Harvey, Jack",D/H/F,01:02.5047,103.672,4
Full Lap,Full Lap,88,"Herta, Colton (R)",D/H/F,01:02.5090,103.665,16
Full Lap,Full Lap,98,"Andretti, Marco",D/H/F,01:02.5566,103.586,7
Full Lap,Full Lap,14,"Kanaan, Tony",D/C/F,01:02.6139,103.491,9
Full Lap,Full Lap,4,"Leist, Matheus",D/C/F,01:02.6625,103.411,12
Full Lap,Full Lap,19,"Ferrucci, Santino (R)",D/H/F,01:02.7381,103.287,17
Full Lap,Full Lap,20,"Jones, Ed",D/C/F,01:02.7487,103.269,5
Full Lap,Full Lap,59,"Chilton, Max",D/C/F,01:02.8096,103.169,16
Full Lap,Full Lap,81,"Hanley, Ben (R)",D/C/F,01:04.9341,99.793,13
Sector 1,,10,"Rosenqvist, Felix (R)",D/H/F,00:02.8415,164.846,13
Sector 1,,98,"Andretti, Marco",D/H/F,00:02.8441,164.695,2
Sector 1,,27,"Rossi, Alexander",D/H/F,00:02.8488,164.423,5
Sector 1,,12,"Power, Will",D/C/F,00:02.8511,164.291,14
Sector 1,,4,"Leist, Matheus",D/C/F,00:02.8548,164.078,13
Sector 1,,60,"Harvey, Jack",D/H/F,00:02.8574,163.928,3
Sector 1,,28,"Hunter-Reay, Ryan",D/H/F,00:02.8600,163.779,12
Sector 1,,30,"Sato, Takuma",D/H/F,00:02.8629,163.614,16
Sector 1,,21,"Pigot, Spencer",D/C/F,00:02.8646,163.516,13
Sector 1,,14,"Kanaan, Tony",D/C/F,00:02.8648,163.505,13
Sector 1,,22,"Pagenaud, Simon",D/C/F,00:02.8693,163.249,5
Sector 1,,19,"Ferrucci, Santino (R)",D/H/F,00:02.8703,163.192,18
Sector 1,,2,"Newgarden, Josef",D/C/F,00:02.8713,163.135,11
Sector 1,,26,"Veach, Zach",D/H/F,00:02.8723,163.078,11
Sector 1,,18,"Bourdais, Sebastien",D/H/F,00:02.8774,162.789,4
Sector 1,,23,"Kimball, Charles",D/C/F,00:02.8836,162.439,15
Sector 1,,59,"Chilton, Max",D/C/F,00:02.8847,162.377,11
Sector 1,,5,"Hinchcliffe, James",D/H/F,00:02.8904,162.057,4
Sector 1,,9,"Dixon, Scott",D/H/F,00:02.8957,161.760,3
Sector 1,,20,"Jones, Ed",D/C/F,00:02.8994,161.554,8
Sector 1,,15,"Rahal, Graham",D/H/F,00:02.9083,161.059,2
Sector 1,,7,"Ericsson, Marcus (R)",D/H/F,00:02.9090,161.021,21
Sector 1,,88,"Herta, Colton (R)",D/H/F,00:02.9212,160.348,20
Sector 1,,81,"Hanley, Ben (R)",D/C/F,00:02.9387,159.393,12
Sector 2,,10,"Rosenqvist, Felix (R)",D/H/F,00:06.3279,83.828,16
Sector 2,,14,"Kanaan, Tony",D/C/F,00:06.3586,83.423,9
Sector 2,,18,"Bourdais, Sebastien",D/H/F,00:06.3762,83.193,12
Sector 2,,19,"Ferrucci, Santino (R)",D/H/F,00:06.3804,83.138,17
Sector 2,,23,"Kimball, Charles",D/C/F,00:06.3904,83.008,15
Sector 2,,88,"Herta, Colton (R)",D/H/F,00:06.4018,82.860,6
Sector 2,,2,"Newgarden, Josef",D/C/F,00:06.4029,82.846,8
Sector 2,,98,"Andretti, Marco",D/H/F,00:06.4064,82.801,7
Sector 2,,26,"Veach, Zach",D/H/F,00:06.4144,82.697,7
Sector 2,,28,"Hunter-Reay, Ryan",D/H/F,00:06.4189,82.639,12
Sector 2,,30,"Sato, Takuma",D/H/F,00:06.4246,82.566,4
Sector 2,,22,"Pagenaud, Simon",D/C/F,00:06.4421,82.342,4
Sector 2,,27,"Rossi, Alexander",D/H/F,00:06.4439,82.319,5
Sector 2,,12,"Power, Will",D/C/F,00:06.4522,82.213,3
Sector 2,,5,"Hinchcliffe, James",D/H/F,00:06.4522,82.213,7
Sector 2,,7,"Ericsson, Marcus (R)",D/H/F,00:06.4650,82.050,15
Sector 2,,4,"Leist, Matheus",D/C/F,00:06.4670,82.025,15
Sector 2,,9,"Dixon, Scott",D/H/F,00:06.4683,82.008,8
Sector 2,,20,"Jones, Ed",D/C/F,00:06.4774,81.893,4
Sector 2,,59,"Chilton, Max",D/C/F,00:06.4806,81.853,10
Sector 2,,21,"Pigot, Spencer",D/C/F,00:06.5009,81.597,13
Sector 2,,15,"Rahal, Graham",D/H/F,00:06.5372,81.144,12
Sector 2,,60,"Harvey, Jack",D/H/F,00:06.6096,80.255,4
Sector 2,,81,"Hanley, Ben (R)",D/C/F,00:06.6280,80.032,13
Sector 3,,60,"Harvey, Jack",D/H/F,00:06.4421,136.425,4
Sector 3,,5,"Hinchcliffe, James",D/H/F,00:06.4523,136.209,9
Sector 3,,15,"Rahal, Graham",D/H/F,00:06.4668,135.904,12
Sector 3,,26,"Veach, Zach",D/H/F,00:06.4757,135.717,7
Sector 3,,88,"Herta, Colton (R)",D/H/F,00:06.4891,135.437,20
Sector 3,,7,"Ericsson, Marcus (R)",D/H/F,00:06.4981,135.249,15
Sector 3,,27,"Rossi, Alexander",D/H/F,00:06.4985,135.241,3
Sector 3,,12,"Power, Will",D/C/F,00:06.5067,135.071,5
Sector 3,,22,"Pagenaud, Simon",D/C/F,00:06.5127,134.946,10
Sector 3,,21,"Pigot, Spencer",D/C/F,00:06.5200,134.795,13
Sector 3,,28,"Hunter-Reay, Ryan",D/H/F,00:06.5233,134.727,12
Sector 3,,9,"Dixon, Scott",D/H/F,00:06.5328,134.531,5
Sector 3,,2,"Newgarden, Josef",D/C/F,00:06.5400,134.383,5
Sector 3,,10,"Rosenqvist, Felix (R)",D/H/F,00:06.5437,134.307,16
Sector 3,,23,"Kimball, Charles",D/C/F,00:06.5552,134.071,4
Sector 3,,4,"Leist, Matheus",D/C/F,00:06.5671,133.828,5
Sector 3,,19,"Ferrucci, Santino (R)",D/H/F,00:06.5675,133.820,17
Sector 3,,18,"Bourdais, Sebastien",D/H/F,00:06.5794,133.578,8
Sector 3,,98,"Andretti, Marco",D/H/F,00:06.5956,133.250,8
Sector 3,,59,"Chilton, Max",D/C/F,00:06.5978,133.206,16
Sector 3,,30,"Sato, Takuma",D/H/F,00:06.6091,132.978,13
Sector 3,,14,"Kanaan, Tony",D/C/F,00:06.6202,132.755,3
Sector 3,,20,"Jones, Ed",D/C/F,00:06.6418,132.323,5
Sector 3,,81,"Hanley, Ben (R)",D/C/F,00:06.9143,127.108,12
Sector 4,,10,"Rosenqvist, Felix (R)",D/H/F,00:13.0175,81.446,17
Sector 4,,15,"Rahal, Graham",D/H/F,00:13.0521,81.230,12
Sector 4,,88,"Herta, Colton (R)",D/H/F,00:13.0811,81.050,16
Sector 4,,21,"Pigot, Spencer",D/C/F,00:13.0824,81.042,8
Sector 4,,2,"Newgarden, Josef",D/C/F,00:13.0906,80.991,11
Sector 4,,30,"Sato, Takuma",D/H/F,00:13.0996,80.936,13
Sector 4,,9,"Dixon, Scott",D/H/F,00:13.1008,80.928,8
Sector 4,,5,"Hinchcliffe, James",D/H/F,00:13.1258,80.774,8
Sector 4,,7,"Ericsson, Marcus (R)",D/H/F,00:13.1482,80.637,15
Sector 4,,12,"Power, Will",D/C/F,00:13.1548,80.596,4
Sector 4,,18,"Bourdais, Sebastien",D/H/F,00:13.1602,80.563,8
Sector 4,,28,"Hunter-Reay, Ryan",D/H/F,00:13.1627,80.548,8
Sector 4,,60,"Harvey, Jack",D/H/F,00:13.1731,80.484,4
Sector 4,,59,"Chilton, Max",D/C/F,00:13.1941,80.356,16
Sector 4,,20,"Jones, Ed",D/C/F,00:13.2150,80.229,5
Sector 4,,26,"Veach, Zach",D/H/F,00:13.2165,80.220,6
Sector 4,,4,"Leist, Matheus",D/C/F,00:13.2282,80.149,12
Sector 4,,22,"Pagenaud, Simon",D/C/F,00:13.2303,80.136,10
Sector 4,,14,"Kanaan, Tony",D/C/F,00:13.2373,80.094,9
Sector 4,,23,"Kimball, Charles",D/C/F,00:13.2451,80.047,9
Sector 4,,98,"Andretti, Marco",D/H/F,00:13.2473,80.033,7
Sector 4,,27,"Rossi, Alexander",D/H/F,00:13.2650,79.927,5
Sector 4,,19,"Ferrucci, Santino (R)",D/H/F,00:13.2892,79.781,14
Sector 4,,81,"Hanley, Ben (R)",D/C/F,00:13.7515,77.099,11
Sector 5,,26,"Veach, Zach",D/H/F,00:10.1524,111.483,2
Sector 5,,28,"Hunter-Reay, Ryan",D/H/F,00:10.1835,111.142,12
Sector 5,,27,"Rossi, Alexander",D/H/F,00:10.2389,110.541,2
Sector 5,,60,"Harvey, Jack",D/H/F,00:10.2445,110.481,2
Sector 5,,15,"Rahal, Graham",D/H/F,00:10.2530,110.389,3
Sector 5,,9,"Dixon, Scott",D/H/F,00:10.2618,110.294,8
Sector 5,,4,"Leist, Matheus",D/C/F,00:10.2698,110.208,2
Sector 5,,30,"Sato, Takuma",D/H/F,00:10.2718,110.187,3
Sector 5,,21,"Pigot, Spencer",D/C/F,00:10.2753,110.149,11
Sector 5,,5,"Hinchcliffe, James",D/H/F,00:10.2756,110.146,6
Sector 5,,59,"Chilton, Max",D/C/F,00:10.2771,110.130,3
Sector 5,,10,"Rosenqvist, Felix (R)",D/H/F,00:10.2845,110.051,16
Sector 5,,2,"Newgarden, Josef",D/C/F,00:10.2967,109.920,2
Sector 5,,14,"Kanaan, Tony",D/C/F,00:10.2989,109.897,6
Sector 5,,22,"Pagenaud, Simon",D/C/F,00:10.3038,109.845,10
Sector 5,,12,"Power, Will",D/C/F,00:10.3096,109.783,4
Sector 5,,7,"Ericsson, Marcus (R)",D/H/F,00:10.3134,109.742,14
Sector 5,,98,"Andretti, Marco",D/H/F,00:10.3162,109.713,2
Sector 5,,20,"Jones, Ed",D/C/F,00:10.3187,109.686,5
Sector 5,,18,"Bourdais, Sebastien",D/H/F,00:10.3236,109.634,4
Sector 5,,23,"Kimball, Charles",D/C/F,00:10.3262,109.606,2
Sector 5,,88,"Herta, Colton (R)",D/H/F,00:10.3355,109.508,16
Sector 5,,19,"Ferrucci, Santino (R)",D/H/F,00:10.4335,108.479,4
Sector 5,,81,"Hanley, Ben (R)",D/C/F,00:10.7084,105.694,10
Sector 6,,7,"Ericsson, Marcus (R)",D/H/F,00:09.7947,112.213,15
Sector 6,,9,"Dixon, Scott",D/H/F,00:09.8203,111.920,5
Sector 6,,28,"Hunter-Reay, Ryan",D/H/F,00:09.8424,111.669,8
Sector 6,,22,"Pagenaud, Simon",D/C/F,00:09.8447,111.643,14
Sector 6,,10,"Rosenqvist, Felix (R)",D/H/F,00:09.8534,111.544,17
Sector 6,,2,"Newgarden, Josef",D/C/F,00:09.8667,111.394,11
Sector 6,,5,"Hinchcliffe, James",D/H/F,00:09.8756,111.294,9
Sector 6,,18,"Bourdais, Sebastien",D/H/F,00:09.8995,111.025,8
Sector 6,,27,"Rossi, Alexander",D/H/F,00:09.9245,110.745,5
Sector 6,,21,"Pigot, Spencer",D/C/F,00:09.9341,110.638,8
Sector 6,,12,"Power, Will",D/C/F,00:09.9375,110.600,5
Sector 6,,14,"Kanaan, Tony",D/C/F,00:09.9441,110.527,3
Sector 6,,15,"Rahal, Graham",D/H/F,00:09.9456,110.510,12
Sector 6,,26,"Veach, Zach",D/H/F,00:09.9575,110.378,2
Sector 6,,23,"Kimball, Charles",D/C/F,00:09.9654,110.291,9
Sector 6,,30,"Sato, Takuma",D/H/F,00:09.9944,109.971,13
Sector 6,,98,"Andretti, Marco",D/H/F,00:09.9996,109.913,4
Sector 6,,60,"Harvey, Jack",D/H/F,00:10.0032,109.874,4
Sector 6,,20,"Jones, Ed",D/C/F,00:10.0554,109.304,11
Sector 6,,59,"Chilton, Max",D/C/F,00:10.0665,109.183,14
Sector 6,,4,"Leist, Matheus",D/C/F,00:10.0674,109.173,12
Sector 6,,19,"Ferrucci, Santino (R)",D/H/F,00:10.0726,109.117,17
Sector 6,,88,"Herta, Colton (R)",D/H/F,00:10.1546,108.236,17
Sector 6,,81,"Hanley, Ben (R)",D/C/F,00:10.4755,104.920,12
Sector 7,,9,"Dixon, Scott",D/H/F,00:08.6487,83.013,8
Sector 7,,26,"Veach, Zach",D/H/F,00:08.6527,82.975,7
