Section,Rank,Car,Driver,C/E/T,Time,Speed,Lap
Full Lap,1,28,"Hunter-Reay, Ryan",D/H/F,01:00.8966,106.410,2
Full Lap,2,2,"Newgarden, Josef",D/C/F,01:00.9005,106.403,12
Full Lap,3,30,"Sato, Takuma",D/H/F,01:00.9033,106.398,13
Full Lap,4,22,"Pagenaud, Simon",D/C/F,01:01.0500,106.143,12
Full Lap,5,12,"Power, Will",D/C/F,01:01.0750,106.099,12
Full Lap,6,20,"Jones, Ed",D/C/F,01:01.0987,106.058,9
Full Lap,7,9,"Dixon, Scott",D/H/F,01:01.1482,105.972,12
Full Lap,8,10,"Rosenqvist, Felix (R)",D/H/F,01:01.1677,105.938,11
Full Lap,9,88,"Herta, Colton (R)",D/H/F,01:01.2754,105.752,13
Full Lap,10,98,"Andretti, Marco",D/H/F,01:01.2914,105.724,10
Full Lap,11,4,"Leist, Matheus",D/C/F,01:01.3708,105.588,14
Full Lap,12,5,"Hinchcliffe, James",D/H/F,01:01.4006,105.536,9
Full Lap,13,26,"Veach, Zach",D/H/F,01:01.4795,105.401,8
Full Lap,14,7,"Ericsson, Marcus (R)",D/H/F,01:01.4867,105.389,12
Full Lap,15,18,"Bourdais, Sebastien",D/H/F,01:01.5141,105.342,2
Full Lap,16,15,"Rahal, Graham",D/H/F,01:01.5884,105.215,7
Full Lap,17,23,"Kimball, Charlie",D/C/F,01:01.6295,105.144,9
Full Lap,18,21,"Pigot, Spencer",D/C/F,01:01.6777,105.062,2
Full Lap,19,27,"Rossi, Alexander",D/H/F,01:01.7070,105.012,2
Full Lap,20,14,"Kanaan, Tony",D/C/F,01:01.7533,104.934,10
Full Lap,21,59,"Chilton, Max",D/C/F,01:02.0459,104.439,3
Full Lap,22,19,"Ferrucci, Santino (R)",D/H/F,01:02.2033,104.175,14
Full Lap,23,60,"Harvey, Jack",D/H/F,01:02.4158,103.820,5
Full Lap,24,81,"Hanley, Ben (R)",D/C/F,01:03.4980,102.050,4
Sector 1,1,10,"Rosenqvist, Felix (R)",D/H/F,00:02.8252,165.797,15
Sector 1,2,98,"Andretti, Marco",D/H/F,00:02.8293,165.557,10
Sector 1,3,2,"Newgarden, Josef",D/C/F,00:02.8328,165.352,16
Sector 1,4,27,"Rossi, Alexander",D/H/F,00:02.8352,165.212,12
Sector 1,5,28,"Hunter-Reay, Ryan",D/H/F,00:02.8355,165.195,6
Sector 1,6,9,"Dixon, Scott",D/H/F,00:02.8375,165.078,13
Sector 1,7,4,"Leist, Matheus",D/C/F,00:02.8406,164.898,14
Sector 1,8,14,"Kanaan, Tony",D/C/F,00:02.8414,164.852,13
Sector 1,9,26,"Veach, Zach",D/H/F,00:02.8418,164.828,11
Sector 1,10,88,"Herta, Colton (R)",D/H/F,00:02.8451,164.637,9
Sector 1,11,18,"Bourdais, Sebastien",D/H/F,00:02.8456,164.608,14
Sector 1,12,30,"Sato, Takuma",D/H/F,00:02.8461,164.579,2
